"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000130299",-0.661087752143259,-0.206261938652397,-0.454825813490862,3.96040788434204,6.6577522739607,0.00192701336223452
"ENSG00000130300",1.52763465686224,1.35218427140616,0.175450385456073,5.84021679790383,10.3793358276336,9.45083511395258e-05
"ENSG00000269720",-1.192175974485,-1.48889071964234,0.296714745157341,0.146101539231925,1.80054896122457,0.17050166611256
"ENSG00000130303",0.263810400585613,0.0179770548214223,0.245833345764191,6.14005806803184,2.59014139702508,0.0803369419599003
"ENSG00000141971",0.0358937107002542,-0.141517401410931,0.177411112111185,4.84287894497034,1.86048972538699,0.160920928655282
"ENSG00000188051",-0.541926917167766,0.270723213298591,-0.812650130466357,-0.191958023070891,1.06326338382894,0.349182831332315
"ENSG00000269035",-5.12548240610387e-15,0,-5.12548240610387e-15,-1.61522660110368,0,1
"ENSG00000171773",2.53183267342231,2.26166917544301,0.270163497979295,-1.51002216115913,12.5167113021209,0.0018120104416793
"ENSG00000130304",-0.0134561053128588,0.0867917934619772,-0.100247898774836,5.28929714100417,0.604039122256834,0.548573553845858
"ENSG00000130313",0.15434678537344,0.0247706588966267,0.129576126476813,5.42382939315156,1.46581816172087,0.235787297850368
"ENSG00000167483",-0.663390739593375,-0.104847723998237,-0.558543015595137,5.88572672054938,4.38342284158909,0.0154857176843169
"ENSG00000130309",0.0691108542507181,0.0107753617017405,0.0583354925489776,7.05024728252605,0.358187727750457,0.699831352613544
"ENSG00000130477",-2.19536876108172,-1.13686503820046,-1.05850372288126,0.0946742833307438,2.76251053788455,0.0679367543670271
"ENSG00000130479",0.196783542204247,0.028106528082513,0.168677014121734,6.18282814381263,2.25100787363282,0.110581886652187
"ENSG00000130475",-0.141526554014399,-0.0935775866411684,-0.0479489673732304,6.84356528641147,1.02381490571263,0.362941184209619
"ENSG00000179913",-0.211588067440242,0.390834033678271,-0.602422101118513,0.182652566629925,0.511368061342881,0.601227996917979
"ENSG00000248099",-0.352134694200221,-0.3270950635238,-0.0250396306764207,1.2228887816922,0.230130525085269,0.794847791637501
"ENSG00000105639",0.204040120416661,-0.0588175396550966,0.262857660071757,8.85713067553455,4.08849299135566,0.019633417514092
"ENSG00000105640",-0.204966584402702,-0.111352601617271,-0.0936139827854305,8.79467211650682,0.921520549770718,0.401296709310909
"ENSG00000105641",-0.359247751917444,-0.175495780271067,-0.183751971646377,1.82707180109356,0.462562638421744,0.631003091487917
"ENSG00000007080",0.943172152528601,0.692742666543955,0.250429485984646,5.67301569102074,19.7763073058794,6.71331409360225e-08
"ENSG00000105642",0.288098580425244,0.363467012592094,-0.0753684321668507,0.135863550808662,0.118693139827448,0.888204703207929
"ENSG00000105643",0.0727016015114659,0.165797519655656,-0.0930959181441902,6.78732785793551,3.00335113056693,0.0540990310780659
"ENSG00000096996",-0.0956461878537725,-0.0857774319465893,-0.0098687559071832,5.85262165440025,0.397610568997944,0.672976958068225
"ENSG00000099308",0.251150834830086,0.09999021460319,0.151160620226896,8.66671756975996,1.84442349895115,0.163433727866435
"ENSG00000105647",1.71393381880733,0.230510666654213,1.48342315215312,-1.27182077336613,2.88654867535739,0.0604094966717601
"ENSG00000268173",-0.651518648504631,-0.272852631073966,-0.378666017430665,-1.36477983699888,0.423958000569041,0.655617480377103
"ENSG00000216490",0.279083232716321,0.0611526625005737,0.217930570215747,3.11110779223237,1.23684986864357,0.29468197776038
"ENSG00000254858",0.00829281486874998,0.182985640036776,-0.174692825168026,2.64878500289399,0.43972025099806,0.645451257212177
"ENSG00000105649",-0.199270346510779,-0.289319348330039,0.0900490018192601,1.67525174035431,0.259342649722843,0.772073875485721
"ENSG00000105650",-0.678082611839368,0.681164783922458,-1.35924739576183,-0.0529630674876795,2.18690162894514,0.11758351613713
