AIHsteroid.vs.AIHnosteroid,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
30,ENSG00000189409,9.170361114,-0.174064018,0.472544897,-0.368354455,0.712608953,NA
31,ENSG00000248333,310.6020662,0.000470228,0.089174008,0.005273154,0.995792651,0.997372798
32,ENSG00000189339,878.7303307,-0.008425904,0.070563182,-0.119409356,0.904951049,0.953110095
33,ENSG00000008128,20.1757344,-0.043360987,0.255396219,-0.169779282,0.865183721,NA
34,ENSG00000215790,140.9578802,-0.215349114,0.117636554,-1.830630933,0.067155648,0.195343043
35,ENSG00000008130,3434.385508,0.368615113,0.116789165,3.156244102,0.001598151,0.017004428
36,ENSG00000078369,2376.982382,0.131870901,0.075818811,1.739290013,0.081983763,0.220525546
37,ENSG00000067606,174.2225389,0.082536332,0.119621048,0.68998168,0.490205708,0.672751201
38,ENSG00000162585,190.3080146,0.073220384,0.090891444,0.805580604,0.420484713,0.612940399
39,ENSG00000157933,1307.05095,0.093557843,0.094648441,0.988477385,0.322918905,0.524307014
40,ENSG00000116151,104.7743963,0.033032535,0.139746024,0.236375493,0.813141311,0.89994329
41,ENSG00000157916,527.3012286,0.106501818,0.057673638,1.846629087,0.064800916,0.190907901
42,ENSG00000157911,54.45354537,0.272858728,0.167744804,1.626629978,0.103815709,0.257108803
43,ENSG00000149527,198.6225729,-0.041608051,0.134323585,-0.309759833,0.756743599,0.865625167
44,ENSG00000157881,443.5713042,0.07534319,0.069818894,1.079123229,0.280532797,0.480690801
45,ENSG00000157873,799.1178705,0.069617876,0.079344786,0.877409589,0.380264207,0.57999103
46,ENSG00000157870,82.82474778,-0.107696375,0.121321768,-0.887692104,0.374706395,0.573882714
47,ENSG00000215912,92.47971304,-0.052500522,0.132819022,-0.395278638,0.692637263,0.823851039
48,ENSG00000162591,635.4776758,0.11796652,0.11213182,1.052034293,0.292783816,0.492981943
49,ENSG00000158109,438.9262442,0.34220412,0.112985771,3.028736434,0.002455788,0.022273978
50,ENSG00000116213,202.2971548,0.082042411,0.093967195,0.873096315,0.382610583,0.582284778
51,ENSG00000078900,17.65129663,-0.309457346,0.29319226,-1.055475838,0.291207754,NA
52,ENSG00000235169,193.6809679,0.210340483,0.394977046,0.532538498,0.594353086,0.753904128
53,ENSG00000130764,280.1686165,-0.012609533,0.095485783,-0.13205665,0.894939483,0.947755695
54,ENSG00000116198,282.0016361,-0.240999902,0.083792373,-2.87615559,0.004025512,0.030912953
55,ENSG00000169598,117.6317526,-0.059433777,0.129972998,-0.45727788,0.647471327,0.792670671
56,ENSG00000198912,141.3593,0.126391961,0.111761951,1.130903312,0.258095789,0.455434731
57,ENSG00000196581,15.97788554,-0.193477376,0.460246406,-0.420377809,0.674209477,NA
58,ENSG00000131697,140.0748428,-0.012685978,0.112892526,-0.112372165,0.910528324,0.954968446
59,ENSG00000069424,1946.999949,-0.00517906,0.048794983,-0.106139185,0.915471922,0.957592313
60,ENSG00000116254,7.762717465,0.93181556,0.554670035,1.679945734,0.092967874,NA
61,ENSG00000116251,517.2411233,-0.173056689,0.118080582,-1.465581275,0.142762396,0.315031451
62,ENSG00000158286,20.57510766,-0.592424492,0.281723106,-2.102860856,0.035477934,NA
63,ENSG00000116237,151.5819584,-0.017310197,0.115862979,-0.149402315,0.881236185,0.939797915
64,ENSG00000158292,28.5363363,0.339429527,0.266036611,1.275875248,0.201999622,NA
65,ENSG00000097021,37.80136182,0.04008855,0.162760643,0.24630371,0.805447138,0.895689446
66,ENSG00000187017,359.7494305,0.592322966,0.366332921,1.616897993,0.105900302,0.260343473
67,ENSG00000215788,181.9729276,-0.54707764,0.178676137,-3.061839417,0.002199814,0.0207755
68,ENSG00000171680,27.06125326,-0.352396099,0.290223327,-1.214223897,0.224662238,NA
69,ENSG00000162408,291.3727296,-0.252166136,0.094219854,-2.676358815,0.007442692,0.045791326
70,ENSG00000204859,424.5028495,0.151967715,0.085908494,1.768948657,0.076902443,0.212429424
71,ENSG00000162413,1599.594907,0.379971419,0.09987636,3.80441797,0.000142138,0.003420271
72,ENSG00000116273,92.7135837,-0.125275124,0.132548028,-0.94513005,0.344592485,0.545819755
73,ENSG00000041988,69.53130362,-0.194826041,0.15650995,-1.244815685,0.213199509,0.406667767
74,ENSG00000007923,133.9746963,-0.258076249,0.116987664,-2.206012502,0.027383124,0.108259158
75,ENSG00000171735,81.2709137,-0.140647063,0.128743757,-1.092457346,0.274632129,0.473496489
76,ENSG00000049245,366.6227847,0.218376787,0.087663258,2.491086812,0.0127353,0.065327488
77,ENSG00000049246,40.32552567,-0.494141197,0.206717224,-2.390421015,0.016829069,0.078624134
78,ENSG00000049249,81.17904593,0.061979986,0.203950559,0.303897113,0.761206277,0.867952648
79,ENSG00000116288,266.7206788,-0.037708587,0.085101883,-0.44309932,0.657693897,0.799239553
80,ENSG00000116285,9.140843339,0.235144002,0.418315913,0.562120624,0.574033838,NA
81,ENSG00000162426,7.193990839,0.390491516,0.484671418,0.805682986,0.420425662,NA
82,ENSG00000142599,2101.069299,0.185247596,0.092916518,1.99369929,0.046184927,0.151951488
83,ENSG00000074800,2148.561659,0.123019184,0.088241682,1.394116485,0.163282432,0.344825621
84,ENSG00000131686,72.62856485,-0.533509192,0.264869812,-2.014231774,0.043985205,0.147237527
85,ENSG00000142583,28.19585632,1.627080092,0.36296286,4.482772952,7.37E-06,NA
86,ENSG00000180758,76.38690503,0.161971044,0.178543245,0.907181022,0.364311078,0.564461657
87,ENSG00000049239,783.7129231,0.11434176,0.087347537,1.3090439,0.19051948,0.380401406
88,ENSG00000171621,25.47078192,-0.32854521,0.237305797,-1.384480338,0.166211424,NA
89,ENSG00000171612,32.79788612,-0.497069794,0.241870518,-2.055106996,0.039868671,NA
90,ENSG00000188807,67.49770929,-0.150784976,0.157381482,-0.958085882,0.338019454,0.539363964
91,ENSG00000171608,4456.644102,0.195385204,0.091444209,2.136660235,0.032625636,0.121490651
92,ENSG00000171603,626.8485351,-0.277558676,0.095237727,-2.914377364,0.003563988,0.028561552
93,ENSG00000178585,71.77092961,0.239792356,0.137104622,1.748973541,0.080295593,0.217866414
94,ENSG00000162441,97.29148247,0.083759814,0.116961933,0.716128849,0.473911792,0.659651812
95,ENSG00000173614,72.96036992,0.271747919,0.144019661,1.886880702,0.059176373,0.179590592
96,ENSG00000162444,37.15059392,0.371308063,0.223664743,1.660109937,0.096892338,0.246498864
97,ENSG00000130939,712.5694562,0.092393915,0.075535002,1.223193392,0.221256661,0.415346023
98,ENSG00000054523,748.9232525,0.436764935,0.122808061,3.556484247,0.000375851,0.006609407
99,ENSG00000142657,1645.437227,0.487121687,0.134647178,3.617763807,0.000297159,0.005779834
100,ENSG00000160049,119.8601509,0.140948128,0.135744747,1.038332099,0.29911547,0.499908121
101,ENSG00000142655,114.8717588,-0.127201269,0.133876347,-0.950139976,0.342041133,0.543439146
102,ENSG00000130940,125.3383981,-0.034521824,0.112904825,-0.305760396,0.759787085,0.867001949
103,ENSG00000120948,202.8936801,-0.174255511,0.089204811,-1.953431753,0.050768457,0.161446807
104,ENSG00000009724,46.15984115,0.04101366,0.191988651,0.213625441,0.830839158,0.910113013
105,ENSG00000116649,124.4218509,-0.166370819,0.125304233,-1.327735033,0.184265656,0.371867248
106,ENSG00000171824,172.8279106,-0.139677404,0.107889814,-1.294630129,0.195447854,0.385561575
107,ENSG00000198793,623.0533512,-0.096256073,0.062035457,-1.551629943,0.120750794,0.282196457
108,ENSG00000171819,34.94493926,-0.217197173,0.188829526,-1.150228874,0.250049617,NA
109,ENSG00000120942,175.8956182,-0.124912562,0.123269444,-1.013329483,0.31090281,0.512014206
110,ENSG00000204624,8.041003732,-0.334854971,0.595968542,-0.561866856,0.574206737,NA
111,ENSG00000116661,16.77626584,0.168459582,0.324630889,0.518926533,0.603811974,NA
112,ENSG00000132879,79.02345763,-0.075446697,0.146240045,-0.515909966,0.605917293,0.762045928
113,ENSG00000116663,122.3661441,0.328335677,0.166263302,1.974793437,0.048291594,0.156940112
114,ENSG00000116670,91.17517451,0.174447015,0.141738497,1.230766648,0.218410153,0.41274202
115,ENSG00000162490,25.22504351,0.246315433,0.250966783,0.981466272,0.326362859,NA
116,ENSG00000177674,856.2327523,0.505666807,0.101248838,4.994297391,5.91E-07,7.79E-05
117,ENSG00000177000,415.2139819,-0.027403434,0.078480752,-0.349173945,0.726958726,0.845535746
118,ENSG00000011021,187.7763379,-0.199698753,0.107809914,-1.852322725,0.063979494,0.189507262
119,ENSG00000116685,783.9112934,0.365561182,0.094091185,3.885179924,0.000102254,0.002797015
120,ENSG00000083444,311.87788,0.322529776,0.124183599,2.597201063,0.009398689,0.053214751
121,ENSG00000116688,957.8983818,0.383387494,0.138772668,2.76270175,0.005732512,0.038817083
122,ENSG00000116691,288.8089332,0.218328938,0.118038474,1.849642155,0.064365143,0.190190832
123,ENSG00000120949,126.1906694,-0.045159862,0.155617296,-0.290198217,0.7716646,0.87477823
124,ENSG00000028137,5288.477742,0.072938063,0.094549723,0.771425454,0.440454792,0.629039101
125,ENSG00000048707,1402.043832,-0.145878711,0.052345515,-2.786842593,0.005322433,0.036908132
126,ENSG00000162496,152.6915313,-0.249799734,0.145677499,-1.714744795,0.086392027,0.228327306
127,ENSG00000116731,1329.012204,0.04885813,0.04605981,1.060754038,0.288801695,0.489136934
128,ENSG00000189337,83.05519906,0.315243447,0.269881381,1.168081494,0.242773894,0.438932152
129,ENSG00000171729,12.1589928,-0.722816397,0.418308337,-1.727951209,0.083996972,NA
130,ENSG00000142621,19.71326698,0.501580562,0.406610961,1.2335638,0.217365489,NA
131,ENSG00000142634,4008.796726,0.272883382,0.095357519,2.861687084,0.004213927,0.031725333
132,ENSG00000215704,9.152981523,0.964199074,0.409890196,2.352335049,0.018655962,NA
133,ENSG00000132906,121.8158324,0.139058455,0.117203282,1.186472358,0.235435811,0.431063582
134,ENSG00000116138,184.3951014,-0.215201121,0.098990522,-2.173956833,0.029708377,0.113942562
135,ENSG00000116771,33.73522476,0.053292733,0.224848782,0.237015882,0.812644469,NA
136,ENSG00000197312,364.7501847,-0.278723097,0.079927019,-3.487219948,0.00048807,0.00796822
137,ENSG00000116786,497.4415373,-0.056923267,0.069282483,-0.821611244,0.411298188,0.605789167
138,ENSG00000162461,10.1460117,0.043577039,0.459134722,0.094911224,0.924385341,NA
139,ENSG00000233954,9.501493315,0.283760928,0.366637303,0.773955419,0.438957155,NA
140,ENSG00000065526,1767.768426,0.002414874,0.062239969,0.038799412,0.969050314,0.985012707
141,ENSG00000116809,312.4813785,0.293106688,0.085780131,3.416953129,0.000633262,0.009351888
142,ENSG00000142627,10.82351151,-0.093271699,0.518559162,-0.179867036,0.857256955,NA
143,ENSG00000142632,31.572905,0.170897654,0.215779506,0.792001324,0.428359904,NA
144,ENSG00000132881,29.51296719,-0.209317068,0.204451413,-1.023798588,0.305930418,NA
145,ENSG00000037637,330.3321357,-0.110928397,0.070876418,-1.565095977,0.117560407,0.277366576
146,ENSG00000055070,458.4413622,0.069185489,0.066573435,1.039235689,0.298695136,0.499447174
147,ENSG00000187144,30.70947493,-0.111039962,0.197362839,-0.562618388,0.573694768,NA
148,ENSG00000157191,724.0743427,-0.044545241,0.072441588,-0.614912537,0.538612483,0.709053411
149,ENSG00000219481,158.06624,-0.194405469,0.149636954,-1.299180875,0.193881863,0.383436337
150,ENSG00000058453,317.8749919,-0.332123368,0.135554633,-2.450107097,0.014281373,0.070535966
151,ENSG00000159363,261.6354406,-0.135403369,0.08805161,-1.537772778,0.124104182,0.287248951
152,ENSG00000117118,184.7508645,0.212720539,0.086030434,2.472619603,0.013412682,0.067598094
153,ENSG00000117115,1846.814505,0.558280622,0.21139475,2.640938917,0.008267662,0.049179246
154,ENSG00000159339,840.4883999,0.541991617,0.175885216,3.081507528,0.002059553,0.019880245
155,ENSG00000179051,481.9973405,-0.08628466,0.087648527,-0.984439361,0.324899533,0.52675229
156,ENSG00000074964,324.3350414,-0.371488124,0.153171945,-2.425301342,0.015295685,0.07381038
157,ENSG00000159423,11.91286099,-0.13816526,0.349454703,-0.395373875,0.692566987,NA
158,ENSG00000169991,178.1380004,-0.328988347,0.1555039,-2.115627634,0.03437649,0.125796353
159,ENSG00000127481,2296.023742,-0.020755995,0.063504361,-0.32684361,0.743786173,0.857339734
160,ENSG00000127463,276.8987265,-0.25839417,0.083747188,-3.085407125,0.002032737,0.019718308
161,ENSG00000053372,54.88641182,0.00568529,0.172651207,0.032929338,0.973730937,0.987060587
162,ENSG00000053371,111.7116501,-0.070304251,0.126686888,-0.554944967,0.578932303,0.742152985
163,ENSG00000040487,94.6407648,0.140044939,0.132656074,1.055699411,0.291105566,0.491113329
164,ENSG00000077549,2016.929971,0.157769775,0.066560007,2.370338929,0.017771786,0.081306311
165,ENSG00000173436,69.76707133,-0.119281508,0.133447706,-0.893844576,0.371405055,0.570930636
166,ENSG00000158747,6.613546858,0.465684037,0.547476752,0.850600569,0.394991273,NA
167,ENSG00000158748,14.9705971,-0.132836832,0.393177979,-0.337854202,0.735473062,NA
168,ENSG00000162542,185.9366671,-0.200309097,0.115079677,-1.74061226,0.081751567,0.220134675
169,ENSG00000169914,107.4152933,-0.291033036,0.144338033,-2.016329507,0.043765531,0.146976762
170,ENSG00000162543,20.51025912,0.103828625,0.313282464,0.331421758,0.740325932,NA
171,ENSG00000158816,16.23666644,0.031831346,0.368336548,0.086419191,0.931133192,NA
172,ENSG00000162545,7.477746388,-0.226766331,0.406927633,-0.557264517,0.577346715,NA
173,ENSG00000090432,174.4868274,0.127648582,0.105007179,1.215617672,0.224130599,0.418748539
174,ENSG00000158825,514.2044019,0.771461925,0.174874584,4.41151542,1.03E-05,0.000615126
175,ENSG00000158828,404.3654859,0.32999146,0.174663487,1.889298474,0.058851846,0.179077513
176,ENSG00000244038,498.7667952,-0.013858265,0.072251108,-0.191806948,0.847893428,0.920912642
177,ENSG00000127483,1100.70564,-0.07064741,0.057093946,-1.2373888,0.215942775,0.410014422
178,ENSG00000075151,577.3544798,0.128416517,0.095361756,1.346624926,0.178101062,0.36431999
179,ENSG00000117298,2360.74982,0.352077899,0.120817653,2.914126297,0.003566856,0.028561552
180,ENSG00000142794,67.34832575,0.074699877,0.21369194,0.349568063,0.726662883,0.845437861
181,ENSG00000162551,1981.646658,0.702452253,0.246639506,2.848093012,0.004398207,0.032592002
182,ENSG00000076864,266.6809536,-0.634491313,0.50071265,-1.26717652,0.20509218,0.397196082
183,ENSG00000090686,658.2804696,-0.048879055,0.061260106,-0.797893741,0.424932156,0.616725698
184,ENSG00000142798,40.47245001,0.057363474,0.286941588,0.199913421,0.841548294,0.916325088
185,ENSG00000070831,1964.897541,0.204355762,0.071094504,2.874424185,0.004047649,0.031044017
186,ENSG00000162552,124.7621667,0.220757031,0.114231389,1.93254264,0.053292564,0.166910795
187,ENSG00000184677,443.6038395,-0.374165605,0.095783017,-3.906387741,9.37E-05,0.00259691
188,ENSG00000173372,24.01340566,0.531348108,0.378133575,1.405186271,0.159965896,NA
189,ENSG00000159189,11.04334692,0.750856986,0.528329296,1.421191276,0.15526116,NA
190,ENSG00000173369,12.35572759,0.12609363,0.464497832,0.271462257,0.786035525,NA
191,ENSG00000133216,36.14946802,-0.051667519,0.327190292,-0.157912749,0.874525552,0.935431943
192,ENSG00000004487,246.4696681,-0.113119231,0.098116031,-1.152912828,0.248946166,0.445046543
193,ENSG00000169641,186.7146398,-0.231852793,0.12204297,-1.899763608,0.057464149,0.176356077
194,ENSG00000125944,550.8185243,-0.167518225,0.074926055,-2.235780663,0.025366142,0.103026933
195,ENSG00000125945,66.0176404,-0.058454269,0.137387268,-0.425470788,0.670493512,0.808428977
196,ENSG00000204219,51.78272954,-0.358677833,0.259589038,-1.381714095,0.167059505,0.350233748
197,ENSG00000088280,10.11943935,-0.109414593,0.430250128,-0.254304615,0.799260235,NA
198,ENSG00000007968,994.3008795,0.131774159,0.292196407,0.450978026,0.652005386,0.79524357
199,ENSG00000117318,70.12805223,-0.092476069,0.19333619,-0.478317427,0.632424295,0.782099805
200,ENSG00000142676,546.6582189,-0.458816493,0.184825752,-2.482427309,0.013049069,0.066378654
201,ENSG00000011007,216.4037662,-0.087480772,0.087324904,-1.001784919,0.316447483,0.517654701
202,ENSG00000057757,1052.073366,0.078641099,0.288015014,0.273045137,0.784818519,0.883123151
203,ENSG00000011009,243.6539431,0.184541562,0.07584148,2.433253704,0.014963812,0.072660346
204,ENSG00000117308,47.91363355,-0.009265979,0.163705815,-0.056601402,0.954862718,0.97652775
205,ENSG00000117305,160.5023626,-0.002635738,0.100309102,-0.026276161,0.979037069,0.989524853
206,ENSG00000179163,126.0789669,-0.191364389,0.148088545,-1.292229517,0.196277673,0.386185354
207,ENSG00000188822,100.0516535,0.097290323,0.170920227,0.569214798,0.56921038,0.73368196
208,ENSG00000189266,501.6577857,-0.093222257,0.085829377,-1.086134611,0.277419441,0.476712639
209,ENSG00000188529,506.7212755,-0.177802806,0.087011488,-2.043440582,0.041008844,0.141242087
210,ENSG00000185436,40.38353683,0.160385773,0.209984642,0.763797635,0.444987847,0.633352042
211,ENSG00000001460,35.92155704,-0.292239508,0.206226313,-1.417081574,0.156459079,0.335334148
212,ENSG00000001461,433.6180491,-0.282609726,0.089623459,-3.153300796,0.001614354,0.017101132
213,ENSG00000117602,528.9955815,-0.467621801,0.134606033,-3.474003291,0.000512755,0.008241439
214,ENSG00000133226,732.7251274,-0.15129765,0.061063451,-2.477712054,0.013222781,0.06702062
215,ENSG00000169504,186.2851885,0.21098524,0.13489518,1.564068045,0.117801589,0.277682828
216,ENSG00000020633,1171.792476,-0.06088857,0.104299011,-0.583788559,0.559362577,0.726108421
217,ENSG00000117614,204.9097104,0.088912667,0.105224929,0.844977215,0.398123561,0.594287592
218,ENSG00000117616,1883.654485,0.173021178,0.084645629,2.044065134,0.040947113,0.141083144
219,ENSG00000187010,198.0345749,-0.418067967,0.371339415,-1.125837845,0.260234162,0.457572516
220,ENSG00000183726,441.5602611,0.116001087,0.084427968,1.373965174,0.169452494,0.353108343
221,ENSG00000188672,39.32839462,-0.214073357,0.248230136,-0.862398741,0.388468133,0.587404288
222,ENSG00000204178,186.8931983,-0.100381066,0.100228575,-1.001521428,0.316574786,0.517654701
223,ENSG00000157978,812.2295171,-0.217497227,0.121968315,-1.783227289,0.074549312,0.208992081
224,ENSG00000117643,263.1686301,-0.603978075,0.157331845,-3.838880009,0.000123597,0.003154368
225,ENSG00000162430,167.7974834,-0.144475674,0.117094282,-1.233840561,0.217262322,0.411615221
226,ENSG00000117640,76.79297737,0.045254655,0.130895062,0.345732336,0.729543881,0.846832798
227,ENSG00000127423,7.762783461,-0.014529635,0.469856112,-0.030923584,0.975330482,NA
228,ENSG00000182749,54.48501674,-0.139305048,0.152571036,-0.91305042,0.361216025,0.561683707
229,ENSG00000117632,42.01156493,-0.027253605,0.193162646,-0.141091486,0.88779767,0.943209202
230,ENSG00000158006,158.2646741,0.111902337,0.112120359,0.998055465,0.318252464,0.519169676
231,ENSG00000175087,65.58537746,-0.267635688,0.15204777,-1.760207913,0.078372561,0.214998803
232,ENSG00000142675,10.34437583,0.190777051,0.420598164,0.453585077,0.650127496,NA
233,ENSG00000130695,130.7633589,-0.155901181,0.12751693,-1.222592017,0.22148383,0.415587848
234,ENSG00000142669,1538.932221,0.139162398,0.110531634,1.25902779,0.208020294,0.400398513
235,ENSG00000158062,493.4976393,-0.161325507,0.089025863,-1.812119551,0.069967726,0.200494797
236,ENSG00000169442,118.6335473,-0.439744452,0.157734084,-2.787884779,0.005305341,0.036887901
237,ENSG00000176092,49.49360658,-0.028163589,0.200540215,-0.140438609,0.888313455,0.943270059
238,ENSG00000176083,50.19590357,-0.094359889,0.365739817,-0.257997312,0.796408982,0.890366863
239,ENSG00000117682,312.3380296,-0.070687709,0.074917225,-0.943544144,0.345402647,0.546501599
240,ENSG00000198830,924.3097029,0.254332038,0.072344945,3.515546779,0.000438849,0.007373666
241,ENSG00000117676,2142.191693,0.355416933,0.096083029,3.699060475,0.000216399,0.004559774
242,ENSG00000117713,2322.276774,0.127183796,0.078092053,1.628639426,0.103389373,0.256297855
243,ENSG00000060642,128.5409377,0.144319328,0.10951692,1.317781115,0.187576932,0.376470971
244,ENSG00000204160,2396.488399,0.44445697,0.128561506,3.45715436,0.000545912,0.008523299
245,ENSG00000175793,7.086077689,0.193449035,0.379827142,0.509308087,0.61053629,NA
246,ENSG00000142751,201.9572043,-0.137080029,0.084881229,-1.614962813,0.106318748,0.26093903
247,ENSG00000198746,83.41286796,0.028102541,0.118941497,0.236271965,0.81322164,0.89994329
248,ENSG00000090273,237.316435,0.115207589,0.093710704,1.22939626,0.218923272,0.41274202
249,ENSG00000175707,10.34914375,-0.386343724,0.380299464,-1.015893421,0.309680142,NA
250,ENSG00000253368,6.088684263,-1.030008246,0.516666847,-1.993563651,0.046199761,NA
251,ENSG00000090020,441.714381,0.215138081,0.110179224,1.952619321,0.05086472,0.161604215
252,ENSG00000142784,1639.329007,0.154066309,0.125067098,1.231869226,0.217997939,0.412481225
253,ENSG00000186501,227.2406119,0.034090967,0.083532112,0.408118097,0.683186975,0.818132461
254,ENSG00000142765,739.3523885,-0.049616326,0.071290051,-0.695978259,0.486442445,0.669892246
255,ENSG00000142733,65.15762975,0.012078699,0.180694247,0.066846064,0.946704252,0.973272806
256,ENSG00000158195,4069.671958,-0.013011586,0.141381391,-0.092031815,0.926672762,0.962834374
257,ENSG00000126705,171.1845105,-0.073777852,0.109350376,-0.674692261,0.499871302,0.680420538
258,ENSG00000000938,3520.707163,0.376986258,0.112239895,3.358754541,0.000782946,0.010691543
259,ENSG00000126709,677.7396308,-0.049212604,0.338503507,-0.145382848,0.884408606,0.941842437
260,ENSG00000009780,81.14303115,-0.130845021,0.122350773,-1.069425366,0.284878043,0.485356777
261,ENSG00000117758,219.0614331,0.217288215,0.079291444,2.740374034,0.00613693,0.040663557
262,ENSG00000117751,122.8584751,0.187706817,0.100034782,1.87641552,0.060598245,0.182782079
263,ENSG00000130775,3131.093395,0.258992455,0.097829352,2.647390075,0.008111573,0.048496352
264,ENSG00000117748,364.5911882,-0.001933694,0.095063732,-0.020341027,0.983771327,0.991036571
265,ENSG00000130768,11.51810714,0.580695034,0.366735673,1.583415733,0.113326739,NA
266,ENSG00000158156,406.5808799,0.310382274,0.135081704,2.297737341,0.021576743,0.092638012
267,ENSG00000158161,291.7770582,-0.075034404,0.074939319,-1.00126883,0.316696858,0.517691001
268,ENSG00000169403,2172.888293,0.356110084,0.129205717,2.756148041,0.005848652,0.039346512
269,ENSG00000126698,189.0896992,0.073079529,0.111134207,0.657579076,0.510808644,0.688628506
270,ENSG00000130770,120.0039025,-0.099558152,0.107185562,-0.928839205,0.352972423,0.554610712
271,ENSG00000130766,138.6487929,0.37570782,0.116067181,3.236985837,0.001207994,0.014295975
272,ENSG00000130772,92.40597979,0.117445967,0.121872413,0.963679675,0.335206548,0.536459846
273,ENSG00000204138,207.6007322,-0.250932866,0.0998794,-2.512358556,0.011992717,0.063119587
274,ENSG00000180198,87.29536882,0.111326157,0.131335681,0.847645948,0.396635177,0.592836921
275,ENSG00000180098,95.27392519,-0.124239017,0.128363098,-0.967871755,0.333108422,0.534489245
276,ENSG00000120656,134.3976371,0.198379465,0.106390556,1.864634164,0.062232701,0.186034143
277,ENSG00000188060,23.00242874,0.503235793,0.349281293,1.440775108,0.149648228,NA
278,ENSG00000162419,176.1358414,0.05752561,0.090891799,0.632902097,0.526797578,0.701156823
279,ENSG00000198492,322.7963122,-0.038535003,0.059102689,-0.652000847,0.514400626,0.692031052
280,ENSG00000159023,11175.10343,-0.065972068,0.273274338,-0.241413328,0.809234784,0.89792754
281,ENSG00000253304,16.73817316,0.491816767,0.307194805,1.600993112,0.109378445,NA
282,ENSG00000116350,802.0387722,0.040457128,0.06033223,0.670572396,0.502492973,0.682171227
283,ENSG00000116353,53.17555375,-0.351168347,0.171249235,-2.050627247,0.040303261,0.139600995
284,ENSG00000060656,8.28665579,0.362557675,0.709416083,0.511064922,0.609305597,NA
285,ENSG00000162510,5.304306021,0.125336649,0.607150982,0.206434071,0.836451859,NA
286,ENSG00000162511,7744.347056,0.294535615,0.084483553,3.486307155,0.000489738,0.00797856
287,ENSG00000162512,31.99249164,0.290430173,0.29891233,0.971623262,0.331238006,NA
288,ENSG00000134644,795.5533738,-0.116676477,0.064097777,-1.820288991,0.068715007,0.198374199
289,ENSG00000060688,156.6510534,-0.016268107,0.102485187,-0.158736175,0.873876736,0.934930869
290,ENSG00000121766,53.54244029,-0.246061828,0.152284132,-1.615807406,0.10613596,0.260613808
291,ENSG00000121769,27.45485771,0.012535431,0.261081677,0.048013446,0.961705527,NA
292,ENSG00000168528,53.50159472,0.029233298,0.346911463,0.084267317,0.932843897,0.965920164
293,ENSG00000121764,24.31183509,0.137625245,0.229092248,0.600741608,0.548012101,NA
