AIHnosteroid.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
154,ENSG00000159339,840.4883999,0.234501111,0.206585521,1.135128493,0.256321485,0.657779405
155,ENSG00000179051,481.9973405,-0.048802149,0.096143946,-0.507594611,0.611737671,0.862133721
156,ENSG00000074964,324.3350414,0.089053242,0.168046359,0.529932591,0.596158669,0.85601575
157,ENSG00000159423,11.91286099,0.223235625,0.381958929,0.584449289,0.558918073,0.841259861
158,ENSG00000169991,178.1380004,-0.189001565,0.169676277,-1.113895046,0.265324215,0.664220914
159,ENSG00000127481,2296.023742,-0.023299167,0.068740319,-0.3389447,0.73465139,0.916346453
160,ENSG00000127463,276.8987265,-0.155469128,0.091114448,-1.70630599,0.087951124,0.492563797
161,ENSG00000053372,54.88641182,-0.375602962,0.187397512,-2.004311366,0.045036717,0.405380995
162,ENSG00000053371,111.7116501,-0.107305322,0.137859285,-0.778368477,0.436351817,0.776505204
163,ENSG00000040487,94.6407648,0.001778412,0.1452761,0.0122416,0.99023286,0.996554936
164,ENSG00000077549,2016.929971,0.107027069,0.074503506,1.436537343,0.150849498,0.56783237
165,ENSG00000173436,69.76707133,-0.169900512,0.144570938,-1.175205155,0.239912648,0.648707599
166,ENSG00000158747,6.613546858,-1.143524441,0.594019681,-1.925061539,0.05422166,NA
167,ENSG00000158748,14.9705971,-1.131784596,0.424700627,-2.664899753,0.007701128,0.240654894
168,ENSG00000162542,185.9366671,-0.073105494,0.125783971,-0.581198805,0.561106473,0.841595627
169,ENSG00000169914,107.4152933,-0.137346278,0.155385785,-0.883905035,0.376747479,0.742693582
170,ENSG00000162543,20.51025912,-0.096506174,0.342881974,-0.281455958,0.778360703,0.930862598
171,ENSG00000158816,16.23666644,-0.606396868,0.398139449,-1.523076574,0.127739549,0.546610835
172,ENSG00000162545,7.477746388,-0.706614603,0.431245193,-1.63854488,0.10130808,0.508982025
173,ENSG00000090432,174.4868274,0.109993959,0.115031571,0.956206705,0.338967813,0.71789458
174,ENSG00000158825,514.2044019,0.331199857,0.193858838,1.708458898,0.087551227,0.491162007
175,ENSG00000158828,404.3654859,0.142577133,0.191614585,0.744082883,0.456826334,0.788246394
176,ENSG00000244038,498.7667952,0.013086862,0.078729158,0.166226366,0.867978811,0.960757989
177,ENSG00000127483,1100.70564,0.015065135,0.062520354,0.240963684,0.809583263,0.94105357
178,ENSG00000075151,577.3544798,0.201372689,0.104640515,1.924423718,0.054301494,0.426775296
179,ENSG00000117298,2360.74982,0.20524498,0.132946116,1.543820803,0.12263175,0.540419176
180,ENSG00000142794,67.34832575,-0.457789199,0.233340483,-1.961893589,0.049774874,0.416477847
181,ENSG00000162551,1981.646658,0.39462438,0.271758716,1.45211306,0.146470171,0.564609088
182,ENSG00000076864,266.6809536,1.133398253,0.549146334,2.063927559,0.039024585,0.387971142
183,ENSG00000090686,658.2804696,0.008341149,0.066959563,0.124569951,0.900864019,0.971350342
184,ENSG00000142798,40.47245001,-0.715794099,0.309693077,-2.311301582,0.020816203,0.326617909
185,ENSG00000070831,1964.897541,0.151652465,0.079238775,1.913866854,0.055637171,0.431201376
186,ENSG00000162552,124.7621667,-0.149021385,0.124859343,-1.193514093,0.232668096,0.643402418
187,ENSG00000184677,443.6038395,-0.117756455,0.105093141,-1.120496104,0.262502412,0.66218469
188,ENSG00000173372,24.01340566,0.888616934,0.418522871,2.123221921,0.03373526,0.373877779
189,ENSG00000159189,11.04334692,3.152653011,0.618390136,5.098161871,3.43E-07,0.002280712
190,ENSG00000173369,12.35572759,1.672813078,0.520002034,3.216935642,0.001295677,0.147194832
191,ENSG00000133216,36.14946802,0.427794488,0.359003505,1.191616466,0.233411666,0.643880662
192,ENSG00000004487,246.4696681,-0.248902045,0.107061888,-2.324842669,0.020080375,0.322319027
193,ENSG00000169641,186.7146398,0.041835138,0.13347741,0.313424856,0.753957902,0.922329375
194,ENSG00000125944,550.8185243,-0.00541488,0.081902389,-0.066113827,0.947287202,0.986151665
195,ENSG00000125945,66.0176404,0.018066907,0.148985468,0.121266238,0.90348016,0.971872183
196,ENSG00000204219,51.78272954,0.131369387,0.2834949,0.463392417,0.643083113,0.878469994
197,ENSG00000088280,10.11943935,-0.561260713,0.462011297,-1.214820323,0.224434628,0.635645614
198,ENSG00000007968,994.3008795,0.691008503,0.316421786,2.183820876,0.028975413,0.35831836
199,ENSG00000117318,70.12805223,-0.421478956,0.210451213,-2.002739494,0.045205257,0.405380995
200,ENSG00000142676,546.6582189,0.266496221,0.191662826,1.390442932,0.164394417,0.584745954
201,ENSG00000011007,216.4037662,0.075272797,0.095253693,0.79023495,0.429390569,0.773444841
202,ENSG00000057757,1052.073366,0.553545697,0.31539693,1.755076362,0.079246247,0.479425498
