"","logFC.groupAIHelevatedALT....Intercept.","logFC.groupAIHelevatedALT...groupAIHnormalALT","logFC.groupAIHnormalALT....Intercept.","logCPM","F","PValue"
"ENSG00000138606",17.2011382415638,0.0534777009974527,17.1476605405664,2.39308135243722,319.20462174444,3.40491626384969e-44
"ENSG00000137860",17.29890142872,0.123423038774342,17.1754783899456,0.868116801744585,81.2017288378664,1.0848445512838e-21
"ENSG00000171766",17.8668855627983,0.221395332786604,17.6454902300117,1.66971079375929,151.867507808056,4.62509015782278e-31
"ENSG00000171763",15.1927679798526,-0.0026332170852374,15.1954011969379,4.97280206137016,1173.15270148356,2.95008434931938e-70
"ENSG00000166920",23.0116829272227,1.33579676466985,21.6758861625528,-1.26338164995285,44.150875338918,1.77674634011653e-14
"ENSG00000104154",17.0951180100303,0.680263082946572,16.4148549270838,2.70822159342952,219.518272585368,6.9489957253366e-37
"ENSG00000104164",14.522070151063,0.0798820173794458,14.4421881336836,5.42705089537259,1572.75690933627,2.08182667224463e-76
"ENSG00000260170",25.5467942874612,-5.12548240610387e-15,25.5467942874612,-1.61522660110368,0,1
"ENSG00000137767",15.668578919406,0.124723013454345,15.5438559059516,4.98289409604771,957.263608309728,4.95887843797338e-66
"ENSG00000137872",17.1429798789337,-2.55347864072482,19.6964585196586,-0.505768384822949,35.0734471311551,2.83942945998728e-12
"ENSG00000188467",19.4771706085286,0.172978087976692,19.304192520552,-1.09024654373941,35.7776163663044,1.87963813031367e-12
"ENSG00000104177",16.837720782271,0.27564733078626,16.5620734514847,2.7841197036202,246.049494126987,2.590883147817e-39
"ENSG00000233932",20.3847268203669,0.103816718112278,20.2809101022546,0.486120003126816,37.9315255041696,9.93785909726025e-13
"ENSG00000074803",13.4458744926257,-0.362023771508333,13.807898264134,5.9414802334711,36.6289803367018,3.87664667923995e-12
"ENSG00000128951",16.1971741671192,0.14551950464741,16.0516546624718,3.7118781695274,657.690514340256,2.37627677135251e-58
"ENSG00000166147",17.2410710957286,0.0124961220884805,17.2285749736401,1.8834403169034,146.482681486781,1.79132353636893e-30
"ENSG00000103995",16.3448066101919,-0.183960018562144,16.528766628754,3.52005288801846,784.56734065873,6.1346082218963e-62
"ENSG00000185634",16.7342315637279,-2.71421656248475,19.4484481262127,-0.824830428609072,38.1491983057199,4.80079496391811e-13
"ENSG00000255302",14.7129551071021,0.109290391735409,14.6036647153667,5.41335262796652,1118.55077553185,2.90760507423139e-69
"ENSG00000138593",13.8551038627443,-0.0182811674137268,13.8733850301581,6.05148905159442,2937.33683324775,1.09401909686797e-89
"ENSG00000166200",15.3254359674341,0.134293792128388,15.1911421753057,4.65452242804955,847.71754323484,1.58729024413994e-63
"ENSG00000156958",15.1649632336086,-0.16367710048145,15.32864033409,4.59418034944627,1761.54791763593,8.38744311214065e-79
"ENSG00000166262",16.9355582877045,-0.45792824437504,17.3934865320796,2.43044851760245,348.294573006549,7.62359267570086e-46
"ENSG00000140285",21.2502447165409,0.535488800533174,20.7147559160077,-1.0483260325032,37.5713803901035,6.67197037666772e-13
"ENSG00000104047",15.5487753976369,-0.0173056669842257,15.5660810646211,4.11393597081919,909.219239995264,5.73873200702457e-65
"ENSG00000104043",15.5040078673098,0.00457233361787982,15.4994355336919,5.16800575674878,627.243693908096,3.93859633594252e-53
"ENSG00000140284",20.9984603397903,0.0597821428475563,20.9386781969428,0.35511090009924,61.2221236439231,4.23942885801747e-18
"ENSG00000140287",16.5844697758554,0.0498450314662356,16.5346247443891,3.53705196794957,144.0369880154,7.89650736910969e-28
"ENSG00000104064",13.8844364740226,0.181557998192405,13.7028784758302,6.0578068101163,2121.98277364311,9.44125055616945e-83
"ENSG00000138592",13.5009547375218,0.0178299358557069,13.4831248016661,6.38628079140226,2512.74406347643,2.37144554064395e-86
"ENSG00000170236",20.9244560691536,1.11002461553886,19.8144314536147,-0.546487477224669,40.1759406539445,1.53897320377638e-13
"ENSG00000092439",13.4847569468099,0.102674014318314,13.3820829324916,6.23908009023367,2001.64028664238,1.64206442318415e-81
"ENSG00000138600",14.2905125597004,0.0695497899730055,14.2209627697274,5.70837603024933,1828.13004485801,1.37466065913391e-79
"ENSG00000081014",14.8292130775171,-0.0853248235780078,14.9145379010951,4.83757399855491,1479.41711961227,4.05044926639477e-75
"ENSG00000183578",19.80624456183,-1.33669066154677,21.1429352233768,-1.20620551733533,42.2037456426579,5.05670602292161e-14
"ENSG00000137869",18.7414488153894,-1.38315363314363,20.124602448533,-0.582156637733052,30.6478240830046,4.11423242241138e-11
"ENSG00000186417",19.9389323576093,0.495468356786271,19.443464000823,-0.0352245196817562,38.8217125678434,3.28185925369276e-13
"ENSG00000104093",12.7442421675342,-0.101822148624038,12.8460643161582,7.77425567573784,963.467583619394,8.72834605536734e-66
"ENSG00000104112",17.9755423328662,-0.29384189886676,18.2693842317329,1.68319796615661,211.266706843208,1.13451961153597e-36
"ENSG00000140280",15.3390548291658,0.166394650184104,15.1726601789817,4.93701537426093,1477.96506139832,4.24788098610799e-75
"ENSG00000128872",14.1186063804623,-0.163024626176524,14.2816310066388,6.04657564993044,1263.32363839473,8.35766550084838e-72
"ENSG00000138594",13.3751039965262,-0.0193574414287841,13.3944614379549,6.77408438722042,2857.36552248074,4.26089046765988e-89
"ENSG00000166477",15.3292190683289,-0.150392942007711,15.4796120103366,4.19418122034364,921.581254753658,3.02124402357408e-65
"ENSG00000069956",15.7113795068438,-0.0176386191945136,15.7290181260383,4.1954143976966,892.607174569828,1.37704144815147e-64
"ENSG00000137875",22.5183774100891,0.163759996034059,22.354617414055,-1.28883973570235,40.7732552064435,1.1059402187687e-13
"ENSG00000069966",14.4922273293252,0.0698411193032943,14.4223862100219,5.02086569638518,1041.95947918589,8.68197903567635e-68
"ENSG00000128833",17.5992755487892,-0.341511995623536,17.9407875444127,1.90962744213941,172.825442922913,3.28604675462465e-33
"ENSG00000197535",12.6483083896936,-0.0623517985497581,12.7106601882434,7.39484977344273,2253.61723537837,4.95041901330579e-84
"ENSG00000128989",13.1226184851067,0.190723433182564,12.9318950519241,6.81794257928472,2550.97838338158,1.12916813062947e-86
"ENSG00000047346",13.3240019626948,-0.100362925896095,13.4243648885909,6.54073099947058,2541.07050642909,1.36712829795623e-86
"ENSG00000169856",19.3384029254594,-0.182181810984334,19.5205847364438,-0.784892810696205,28.5143271781364,1.57377003391351e-10
"ENSG00000166415",18.6455393966203,-0.323615633886324,18.9691550305066,-0.708161235357881,27.9363576355794,2.27775077666277e-10
"ENSG00000137766",17.2757535887037,-1.40484819518888,18.6806017838925,-0.667473435705396,30.2836612421742,5.15992146825947e-11
"ENSG00000137876",15.5034321590154,0.232819851278146,15.2706123077373,4.15281138930602,314.36000905785,1.84863002856622e-40
"ENSG00000069974",13.4954534321961,0.0797596738206083,13.4156937583755,7.05578104932849,1282.42161086826,4.05452487485421e-72
"ENSG00000225973",18.165470061536,0.0984130016100163,18.067057059926,2.27257997807615,346.651606822771,9.37750279389331e-46
"ENSG00000069943",14.5835878964552,-0.0712268320190999,14.6548147284743,5.59661912873787,1205.56530715349,7.95663051008667e-71
"ENSG00000260916",14.6221899952006,-0.00921373031758385,14.6314037255182,5.63021965861657,1088.39273170196,1.65420796393596e-68
"ENSG00000261652",21.730216573047,-1.33805953688056,23.0682761099276,-1.16689271606597,41.6893730072234,6.69059879185878e-14
"ENSG00000256061",23.3694906261675,-0.0828767105310144,23.4523673366985,-1.14422664819913,42.0788651981586,5.41161570949296e-14
"ENSG00000171016",19.032227499841,-0.325940214484443,19.3581677143255,-0.875808791547998,29.3439521610584,9.30069807039025e-11
