,yes.vs.notx,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
44,ENSG00000157881,443.5713042,-0.057067001,0.09923389,-0.575075722,0.565240087,0.754276114
45,ENSG00000157873,799.1178705,-0.049647557,0.110739614,-0.44832698,0.653917232,0.812121739
46,ENSG00000157870,82.82474778,-0.145625247,0.170132245,-0.855953245,0.392023642,0.621489395
47,ENSG00000215912,92.47971304,-0.652252034,0.186586502,-3.495708577,0.000472805,0.019608373
48,ENSG00000162591,635.4776758,0.217238286,0.154241098,1.408433211,0.159002831,0.380489991
49,ENSG00000158109,438.9262442,0.48434849,0.154642524,3.132052408,0.001735889,0.036039858
50,ENSG00000116213,202.2971548,0.218429819,0.130146718,1.678335208,0.093281678,0.281874687
51,ENSG00000078900,17.65129663,0.013159636,0.411175539,0.032004909,0.974468136,NA
52,ENSG00000235169,193.6809679,0.24913707,0.551098116,0.452073892,0.651215751,0.810627941
53,ENSG00000130764,280.1686165,0.045573791,0.132281985,0.344520013,0.730455248,0.858224372
54,ENSG00000116198,282.0016361,0.023474904,0.114608862,0.204826257,0.837707871,0.920171419
55,ENSG00000169598,117.6317526,-0.489847815,0.176924082,-2.768689321,0.005628228,0.06259933
56,ENSG00000198912,141.3593,0.084145123,0.15525224,0.541989753,0.587825565,0.769944477
57,ENSG00000196581,15.97788554,-0.571208626,0.6329884,-0.902399832,0.36684451,NA
58,ENSG00000131697,140.0748428,0.047018531,0.156922045,0.299629864,0.764459502,0.880066125
59,ENSG00000069424,1946.999949,0.065561735,0.068111961,0.96255833,0.335769217,0.570705886
60,ENSG00000116254,7.762717465,-0.034644844,0.768569431,-0.045077051,0.964045893,NA
61,ENSG00000116251,517.2411233,-0.354988601,0.159234769,-2.229341005,0.025791224,0.136851756
62,ENSG00000158286,20.57510766,-0.669682189,0.391152588,-1.712074035,0.086883026,NA
63,ENSG00000116237,151.5819584,-0.119167723,0.160283716,-0.743479908,0.457191182,0.674207745
64,ENSG00000158292,28.5363363,-0.632804163,0.362224753,-1.74699315,0.080638526,NA
65,ENSG00000097021,37.80136182,0.145212818,0.23231409,0.625071076,0.531924411,0.731120392
66,ENSG00000187017,359.7494305,1.54483264,0.501545096,3.080147037,0.002068984,0.039331325
67,ENSG00000215788,181.9729276,-0.516384677,0.245226268,-2.10574781,0.035226264,0.163361958
68,ENSG00000171680,27.06125326,0.024108587,0.40584308,0.059403716,0.952630554,NA
69,ENSG00000162408,291.3727296,-0.213814713,0.130083676,-1.643670591,0.100244264,0.293925906
70,ENSG00000204859,424.5028495,-0.059905181,0.1193441,-0.501953437,0.615700275,0.78787341
71,ENSG00000162413,1599.594907,0.311679384,0.139146275,2.239940546,0.025094783,0.134925039
72,ENSG00000116273,92.7135837,0.105426983,0.185757466,0.567551791,0.57033935,0.758067447
73,ENSG00000041988,69.53130362,-0.093934424,0.218461319,-0.429981949,0.667208772,0.819813071
74,ENSG00000007923,133.9746963,-0.135334492,0.15925331,-0.849806465,0.395432694,0.623865158
75,ENSG00000171735,81.2709137,0.181418397,0.188007366,0.964953665,0.33456802,0.569412281
76,ENSG00000049245,366.6227847,0.096758414,0.121435954,0.796785556,0.425575585,0.649389798
77,ENSG00000049246,40.32552567,-0.3828658,0.292974926,-1.306821051,0.191273494,0.422008952
78,ENSG00000049249,81.17904593,0.220390498,0.284161821,0.775580959,0.437996447,0.659254211
79,ENSG00000116288,266.7206788,-0.064451976,0.113122399,-0.569754325,0.568844339,0.756961449
80,ENSG00000116285,9.140843339,-0.085338187,0.582821704,-0.146422459,0.883587898,NA
81,ENSG00000162426,7.193990839,0.024593114,0.67223734,0.036583975,0.970816721,NA
82,ENSG00000142599,2101.069299,0.369432858,0.125005897,2.955323435,0.003123414,0.04627192
83,ENSG00000074800,2148.561659,0.079229552,0.123498576,0.641542225,0.521170456,0.72398875
84,ENSG00000131686,72.62856485,-0.500757274,0.371192745,-1.349049196,0.177321165,0.40622595
85,ENSG00000142583,28.19585632,2.353501374,0.506348719,4.647985247,3.35E-06,NA
86,ENSG00000180758,76.38690503,0.359314472,0.25117281,1.43054685,0.152560129,0.371962837
87,ENSG00000049239,783.7129231,0.147080151,0.120854912,1.216997703,0.22360509,0.460910664
88,ENSG00000171621,25.47078192,-0.653677649,0.327099912,-1.998403619,0.04567292,NA
89,ENSG00000171612,32.79788612,-0.456817588,0.346406753,-1.318731761,0.187258805,NA
90,ENSG00000188807,67.49770929,0.200120656,0.225531407,0.887329435,0.374901562,0.607419731
91,ENSG00000171608,4456.644102,0.375864962,0.12325403,3.049514577,0.002292115,0.041583012
92,ENSG00000171603,626.8485351,-0.057789411,0.134746962,-0.428873576,0.668015231,0.819813071
93,ENSG00000178585,71.77092961,-0.175786077,0.193783756,-0.907124933,0.364340735,0.597116796
94,ENSG00000162441,97.29148247,-0.139851604,0.159929198,-0.874459485,0.381868075,0.612302304
95,ENSG00000173614,72.96036992,0.292312558,0.206315491,1.416823117,0.156534649,0.376955887
96,ENSG00000162444,37.15059392,0.307758365,0.313626636,0.981288989,0.326450251,0.561127085
97,ENSG00000130939,712.5694562,0.301127888,0.103053031,2.922067264,0.003477164,0.0486188
98,ENSG00000054523,748.9232525,0.678750358,0.167999922,4.040182577,5.34E-05,0.006861132
99,ENSG00000142657,1645.437227,0.462206722,0.18788542,2.460045712,0.013891932,0.098596261
100,ENSG00000160049,119.8601509,-0.026668634,0.188857954,-0.141210015,0.887704035,0.944892218
101,ENSG00000142655,114.8717588,-0.298190116,0.185984561,-1.603305751,0.108867167,0.307890142
102,ENSG00000130940,125.3383981,-0.061562758,0.1596025,-0.385725526,0.699699956,0.838676982
103,ENSG00000120948,202.8936801,0.007329816,0.128930507,0.056850905,0.954663963,0.977575669
104,ENSG00000009724,46.15984115,0.160701714,0.272741295,0.589209325,0.555720863,0.748511573
105,ENSG00000116649,124.4218509,-0.480491284,0.172727987,-2.781780144,0.005406165,0.061298083
106,ENSG00000171824,172.8279106,-0.299762918,0.149312783,-2.007617249,0.04468398,0.185093617
107,ENSG00000198793,623.0533512,-0.166733554,0.085734509,-1.944765961,0.051803153,0.199908464
108,ENSG00000171819,34.94493926,-0.435852374,0.260602421,-1.672480139,0.094429681,NA
109,ENSG00000120942,175.8956182,-0.160972417,0.17386301,-0.925857757,0.354519907,0.587597357
110,ENSG00000204624,8.041003732,0.999951494,0.859265237,1.163728556,0.244534033,NA
111,ENSG00000116661,16.77626584,-0.562267397,0.443522683,-1.267730872,0.204894076,NA
112,ENSG00000132879,79.02345763,-0.071477923,0.202715621,-0.352601947,0.724386877,0.854219614
113,ENSG00000116663,122.3661441,0.23831027,0.230815002,1.032473055,0.301850564,0.536428117
114,ENSG00000116670,91.17517451,-0.006001876,0.198046452,-0.030305394,0.975823495,0.987935972
115,ENSG00000162490,25.22504351,0.135038781,0.350483272,0.385293084,0.700020285,NA
116,ENSG00000177674,856.2327523,0.460438501,0.143909243,3.199506108,0.001376633,0.032610175
117,ENSG00000177000,415.2139819,-0.031896035,0.110026121,-0.289895118,0.771896476,0.884243707
118,ENSG00000011021,187.7763379,-0.026226676,0.151047182,-0.173632339,0.862154415,0.93404606
119,ENSG00000116685,783.9112934,0.299397613,0.131295592,2.28033256,0.022587972,0.127267867
120,ENSG00000083444,311.87788,0.447526529,0.17322283,2.583530873,0.009779471,0.080876026
121,ENSG00000116688,957.8983818,0.620756534,0.191527423,3.241084358,0.001190759,0.030819421
122,ENSG00000116691,288.8089332,0.128064972,0.169722195,0.754556421,0.45051518,0.668873809
123,ENSG00000120949,126.1906694,-0.265611009,0.216246312,-1.228279947,0.219341896,0.456311066
124,ENSG00000028137,5288.477742,0.180243777,0.130746941,1.378569742,0.168027451,0.393173523
125,ENSG00000048707,1402.043832,-0.061167988,0.073092348,-0.836858994,0.402671832,0.630351625
126,ENSG00000162496,152.6915313,0.071636826,0.201628773,0.355290688,0.722371831,0.85301796
127,ENSG00000116731,1329.012204,0.06163902,0.066768672,0.923172775,0.355917174,0.588821764
128,ENSG00000189337,83.05519906,0.490748685,0.37806785,1.298043947,0.194272234,0.426498253
129,ENSG00000171729,12.1589928,0.681597685,0.611531219,1.114575452,0.265032395,NA
130,ENSG00000142621,19.71326698,0.446613289,0.566720079,0.788066819,0.430657623,NA
131,ENSG00000142634,4008.796726,0.291198636,0.132833714,2.19220428,0.02836476,0.14560305
132,ENSG00000215704,9.152981523,0.875052961,0.574153837,1.524074044,0.127490216,NA
133,ENSG00000132906,121.8158324,0.193337235,0.163802798,1.180304842,0.237878993,0.475526632
134,ENSG00000116138,184.3951014,-0.284444524,0.137288866,-2.071868841,0.038277675,0.171258015
135,ENSG00000116771,33.73522476,-0.5296031,0.328137181,-1.613968579,0.106534242,NA
136,ENSG00000197312,364.7501847,-0.214922151,0.111459126,-1.928259796,0.05382282,0.2048656
137,ENSG00000116786,497.4415373,0.166351565,0.097417337,1.707617661,0.087707309,0.273169088
138,ENSG00000162461,10.1460117,-0.37732839,0.640497675,-0.589117501,0.555782454,NA
139,ENSG00000233954,9.501493315,0.9659562,0.523615,1.844783285,0.06506907,NA
140,ENSG00000065526,1767.768426,0.221412781,0.08316187,2.66243148,0.007757836,0.073553345
141,ENSG00000116809,312.4813785,0.231253723,0.120196717,1.923960385,0.054359549,0.2062973
142,ENSG00000142627,10.82351151,0.108456951,0.726043534,0.149380783,0.881253175,NA
143,ENSG00000142632,31.572905,-0.092081831,0.305855592,-0.301063094,0.763366383,NA
144,ENSG00000132881,29.51296719,-0.644384973,0.292735279,-2.201254923,0.027717982,NA
145,ENSG00000037637,330.3321357,-0.054083297,0.098758913,-0.547629525,0.583946312,0.767222737
146,ENSG00000055070,458.4413622,0.026511398,0.093583738,0.283290648,0.776954046,0.886801058
147,ENSG00000187144,30.70947493,0.086188519,0.279523636,0.308340721,0.757823084,NA
148,ENSG00000157191,724.0743427,-0.157314631,0.098949356,-1.589849977,0.111868626,0.311902839
149,ENSG00000219481,158.06624,0.362558631,0.210956942,1.718638066,0.085680296,0.269277187
150,ENSG00000058453,317.8749919,0.075531837,0.187025466,0.403858566,0.686316727,0.831950578
151,ENSG00000159363,261.6354406,-0.093664594,0.123189146,-0.760331545,0.447056431,0.666434427
152,ENSG00000117118,184.7508645,0.184315612,0.119292941,1.545067213,0.122330007,0.327742891
153,ENSG00000117115,1846.814505,0.849673478,0.290871816,2.921126873,0.003487678,0.048633464
154,ENSG00000159339,840.4883999,0.665302673,0.242742859,2.740771351,0.006129515,0.065699673
155,ENSG00000179051,481.9973405,0.015166635,0.121373187,0.124958691,0.900556254,0.952260173
156,ENSG00000074964,324.3350414,-0.298745991,0.212572435,-1.405384434,0.159906993,0.380960196
157,ENSG00000159423,11.91286099,0.571028471,0.51050557,1.11855483,0.263330103,NA
158,ENSG00000169991,178.1380004,-0.15961625,0.215026398,-0.742310017,0.457899524,0.675048099
159,ENSG00000127481,2296.023742,0.126715919,0.08606188,1.472381483,0.140917891,0.355128289
160,ENSG00000127463,276.8987265,-0.239050539,0.117999125,-2.025867044,0.042778411,0.181939426
161,ENSG00000053372,54.88641182,0.116493234,0.243809075,0.477805159,0.632788889,0.798523012
162,ENSG00000053371,111.7116501,-0.018944497,0.176554602,-0.107301067,0.914550138,0.959358147
163,ENSG00000040487,94.6407648,-0.032698825,0.184553942,-0.177177601,0.859368889,0.932502806
164,ENSG00000077549,2016.929971,0.213684153,0.093892994,2.275826385,0.022856403,0.128156453
165,ENSG00000173436,69.76707133,-0.110570198,0.186649176,-0.592395855,0.553585541,0.747595086
166,ENSG00000158747,6.613546858,1.063882062,0.782386397,1.359791103,0.173896038,NA
167,ENSG00000158748,14.9705971,-0.834123008,0.545501882,-1.529092814,0.126241436,NA
168,ENSG00000162542,185.9366671,-0.23184388,0.158688727,-1.460997795,0.144016047,0.359760066
169,ENSG00000169914,107.4152933,-0.199029606,0.199242956,-0.998929195,0.317828992,0.553521192
170,ENSG00000162543,20.51025912,0.609249376,0.440715168,1.382410726,0.166845624,NA
171,ENSG00000158816,16.23666644,0.190903474,0.510160017,0.374203127,0.708253198,NA
172,ENSG00000162545,7.477746388,-1.217008702,0.55300207,-2.200730823,0.027755085,NA
173,ENSG00000090432,174.4868274,0.010625938,0.145619261,0.07297069,0.941829442,0.972098139
174,ENSG00000158825,514.2044019,0.609808963,0.248808929,2.450912697,0.014249451,0.099620141
175,ENSG00000158828,404.3654859,0.540336471,0.240892722,2.24305851,0.024893042,0.134453553
176,ENSG00000244038,498.7667952,-0.090332517,0.099259863,-0.910060863,0.362790413,0.595400363
177,ENSG00000127483,1100.70564,-0.050227014,0.081411413,-0.616952979,0.537265741,0.735314958
178,ENSG00000075151,577.3544798,0.071999501,0.135523704,0.531268695,0.595232596,0.77472206
179,ENSG00000117298,2360.74982,0.563113054,0.165369345,3.405184036,0.000661195,0.023270886
180,ENSG00000142794,67.34832575,-0.301529918,0.296254266,-1.017807853,0.308769279,0.543173893
181,ENSG00000162551,1981.646658,0.863528745,0.338024922,2.554630414,0.01063006,0.084705794
182,ENSG00000076864,266.6809536,-0.268430411,0.694828381,-0.386326204,0.699255096,0.838255866
183,ENSG00000090686,658.2804696,0.099694474,0.08531713,1.168516491,0.242598491,0.480382407
184,ENSG00000142798,40.47245001,0.619972254,0.408642945,1.517149044,0.129229058,0.338366122
185,ENSG00000070831,1964.897541,0.138223587,0.100688645,1.372782272,0.169820044,0.396062749
186,ENSG00000162552,124.7621667,-0.052011612,0.156993208,-0.331298483,0.740419037,0.864241043
187,ENSG00000184677,443.6038395,-0.320859874,0.13444898,-2.386480542,0.017010508,0.10885242
188,ENSG00000173372,24.01340566,0.681217793,0.527012118,1.292603661,0.196148173,NA
189,ENSG00000159189,11.04334692,2.000167167,0.753539278,2.654363513,0.007945818,NA
190,ENSG00000173369,12.35572759,0.785933992,0.662811224,1.185758423,0.235717715,NA
191,ENSG00000133216,36.14946802,0.507921814,0.464427661,1.093651084,0.274108036,NA
192,ENSG00000004487,246.4696681,-0.180815912,0.137601289,-1.314056815,0.188827086,0.41949329
193,ENSG00000169641,186.7146398,-0.393046702,0.167428516,-2.347549335,0.01889737,0.115188775
194,ENSG00000125944,550.8185243,-0.176815744,0.106538151,-1.659647201,0.096985447,0.288632646
195,ENSG00000125945,66.0176404,0.1622689,0.192321098,0.843739464,0.39881501,0.6268923
196,ENSG00000204219,51.78272954,0.042489741,0.369600511,0.114961262,0.908475827,0.956305037
197,ENSG00000088280,10.11943935,0.156508082,0.608113038,0.25736676,0.79689566,NA
198,ENSG00000007968,994.3008795,0.484489896,0.407396943,1.189233017,0.234347985,0.472697595
199,ENSG00000117318,70.12805223,-0.806997479,0.264402081,-3.052160092,0.002272009,0.041473242
200,ENSG00000142676,546.6582189,-0.479297582,0.243047621,-1.972031572,0.048606003,0.194216131
201,ENSG00000011007,216.4037662,0.049871413,0.135203782,0.368861082,0.712231273,0.847372169
202,ENSG00000057757,1052.073366,-0.179757561,0.410222408,-0.438195374,0.661244662,0.816191615
203,ENSG00000011009,243.6539431,0.139932435,0.105864626,1.321805404,0.186232958,0.417247899
204,ENSG00000117308,47.91363355,0.337654054,0.228727405,1.476229109,0.139882398,0.353962573
205,ENSG00000117305,160.5023626,0.13370562,0.14034672,0.952680758,0.340751846,0.575664123
206,ENSG00000179163,126.0789669,-0.211587717,0.207142799,-1.021458232,0.307037388,0.541889617
207,ENSG00000188822,100.0516535,-0.699104186,0.230106689,-3.038174113,0.002380164,0.042043838
208,ENSG00000189266,501.6577857,-0.150585033,0.116746346,-1.289847931,0.197103462,0.430250508
209,ENSG00000188529,506.7212755,-0.332813825,0.119980545,-2.773898265,0.0055389,0.062279291
210,ENSG00000185436,40.38353683,0.060305189,0.293254195,0.205641351,0.837071075,0.919842452
211,ENSG00000001460,35.92155704,-0.634666674,0.280291574,-2.264308785,0.02355513,NA
212,ENSG00000001461,433.6180491,-0.214412405,0.126824955,-1.690616843,0.090910006,0.278308647
213,ENSG00000117602,528.9955815,-0.368552744,0.192585148,-1.913713216,0.05565681,0.209595101
214,ENSG00000133226,732.7251274,-0.077322783,0.08672001,-0.89163716,0.372587446,0.604814592
215,ENSG00000169504,186.2851885,0.159572253,0.18687954,0.853877598,0.393172813,0.621808664
216,ENSG00000020633,1171.792476,-0.251750109,0.143959017,-1.748762351,0.080332107,0.258921318
217,ENSG00000117614,204.9097104,0.124376865,0.143867145,0.86452584,0.387299092,0.617192241
218,ENSG00000117616,1883.654485,0.214572767,0.117798195,1.821528485,0.068526561,0.237280143
219,ENSG00000187010,198.0345749,0.693683668,0.530582342,1.30740059,0.191076697,0.421755845
220,ENSG00000183726,441.5602611,0.177341575,0.118468079,1.49695662,0.134404546,0.346221736
221,ENSG00000188672,39.32839462,-0.013292099,0.355951973,-0.037342394,0.970212003,0.985570488
222,ENSG00000204178,186.8931983,-0.05822491,0.139695103,-0.416799934,0.676824751,0.825000978
223,ENSG00000157978,812.2295171,-0.121346035,0.169409724,-0.716287307,0.473813963,0.688739193
224,ENSG00000117643,263.1686301,-0.308514438,0.220969325,-1.396186723,0.162658274,0.385525618
225,ENSG00000162430,167.7974834,0.011805257,0.163788223,0.07207635,0.942541147,0.972442061
226,ENSG00000117640,76.79297737,0.080003464,0.183884232,0.435075174,0.663507863,0.81742283
227,ENSG00000127423,7.762783461,0.34589593,0.676835764,0.511048542,0.609317067,NA
228,ENSG00000182749,54.48501674,0.135357042,0.212748453,0.636230439,0.524626236,0.725552931
229,ENSG00000117632,42.01156493,-0.190286891,0.26796282,-0.710124228,0.477627103,0.692225884
230,ENSG00000158006,158.2646741,-0.162319899,0.156636321,-1.036285184,0.300069116,0.534826622
231,ENSG00000175087,65.58537746,-0.639494826,0.214614493,-2.979737372,0.002884956,0.044822803
232,ENSG00000142675,10.34437583,-0.072311957,0.580395196,-0.124590895,0.900847437,NA
233,ENSG00000130695,130.7633589,-0.341667893,0.174837896,-1.954198151,0.050677788,0.19844156
234,ENSG00000142669,1538.932221,0.023859227,0.152242829,0.156718233,0.875466917,0.940536641
235,ENSG00000158062,493.4976393,-0.02984656,0.123394788,-0.241878607,0.808874227,0.903565265
236,ENSG00000169442,118.6335473,-0.788110772,0.210811519,-3.738461607,0.00018515,0.012922315
237,ENSG00000176092,49.49360658,-0.787157962,0.273565526,-2.87740189,0.004009646,0.05209498
238,ENSG00000176083,50.19590357,0.464471403,0.507740334,0.914781379,0.360306412,0.593123338
239,ENSG00000117682,312.3380296,-0.038696469,0.103860543,-0.372581043,0.709460284,0.84603427
240,ENSG00000198830,924.3097029,0.160793763,0.102454192,1.569421018,0.11654987,0.320262837
241,ENSG00000117676,2142.191693,0.400673019,0.132255626,3.029534786,0.002449307,0.042043838
242,ENSG00000117713,2322.276774,0.271093207,0.104293584,2.599327734,0.009340655,0.079299136
243,ENSG00000060642,128.5409377,-0.142075742,0.153516814,-0.925473493,0.354719666,0.587597357
244,ENSG00000204160,2396.488399,0.433211936,0.176291348,2.457363561,0.013996096,0.09890177
245,ENSG00000142751,201.9572043,-0.160461343,0.120466988,-1.331994317,0.182862056,0.4131245
246,ENSG00000198746,83.41286796,0.101388345,0.170490002,0.594687921,0.552052097,0.746375543
247,ENSG00000090273,237.316435,0.046025827,0.131604433,0.349728548,0.726542427,0.855962256
248,ENSG00000175707,10.34914375,-0.622902812,0.530506571,-1.174166063,0.240328516,NA
249,ENSG00000253368,6.088684263,-0.423750691,0.71844143,-0.589819397,0.555311737,NA
250,ENSG00000090020,441.714381,0.330802564,0.148776267,2.223490151,0.026182767,0.138558339
251,ENSG00000142784,1639.329007,0.336302558,0.173327645,1.940270739,0.052346795,0.201410714
252,ENSG00000186501,227.2406119,0.093853246,0.117571853,0.798262876,0.424717957,0.648273644
253,ENSG00000142765,739.3523885,0.126541702,0.0996056,1.270427589,0.203932361,0.437996421
254,ENSG00000142733,65.15762975,0.03406575,0.250724991,0.135868986,0.891924854,0.947814261
255,ENSG00000158195,4069.671958,0.201752485,0.195754792,1.030638804,0.302710232,0.537297591
256,ENSG00000126705,171.1845105,0.154077354,0.151279798,1.018492597,0.308443917,0.543023428
257,ENSG00000000938,3520.707163,0.397963909,0.157246416,2.530829757,0.011379306,0.087468312
258,ENSG00000126709,677.7396308,0.221562139,0.471848077,0.46956245,0.638667658,0.801942095
259,ENSG00000009780,81.14303115,-0.251611052,0.169931064,-1.480665432,0.13869575,0.352292689
260,ENSG00000117758,219.0614331,0.187819663,0.111147786,1.689819199,0.09106255,0.278652349
261,ENSG00000117751,122.8584751,0.163404761,0.145234118,1.125112772,0.26054125,0.498433065
262,ENSG00000130775,3131.093395,0.43918521,0.135385639,3.243957125,0.001178815,0.03074792
263,ENSG00000117748,364.5911882,0.233615212,0.13413497,1.74164285,0.081570958,0.261154125
264,ENSG00000130768,11.51810714,0.607862297,0.518741828,1.171801202,0.24127688,NA
265,ENSG00000158156,406.5808799,0.284413867,0.188695096,1.507266873,0.131742265,0.341984153
266,ENSG00000158161,291.7770582,0.080027882,0.104634605,0.764831886,0.444371658,0.664069729
267,ENSG00000169403,2172.888293,0.411740977,0.176076695,2.338418367,0.019365556,0.116932913
268,ENSG00000126698,189.0896992,-0.123946215,0.155298734,-0.798114778,0.424803886,0.648308515
269,ENSG00000130770,120.0039025,-0.169708992,0.145260468,-1.168308173,0.24268248,0.480456144
270,ENSG00000130766,138.6487929,0.214026846,0.162507657,1.31702622,0.187829836,0.41811626
271,ENSG00000130772,92.40597979,0.034560353,0.173678188,0.198990751,0.84226998,0.922802783
272,ENSG00000204138,207.6007322,0.072646649,0.138987141,0.522686121,0.601192698,0.777393093
273,ENSG00000180198,87.29536882,-0.261537355,0.180229399,-1.451135918,0.146742016,0.362952516
274,ENSG00000180098,95.27392519,0.049703743,0.184597913,0.269254088,0.787734161,0.893362995
275,ENSG00000120656,134.3976371,0.068832873,0.148227722,0.464372469,0.642380911,0.804012742
276,ENSG00000188060,23.00242874,1.016208375,0.492141298,2.064871165,0.038935192,NA
277,ENSG00000162419,176.1358414,-0.068155609,0.126426593,-0.539092346,0.589823136,0.771234521
278,ENSG00000198492,322.7963122,-0.073614765,0.081372403,-0.904665,0.365642889,0.598647756
279,ENSG00000159023,11175.10343,0.199774141,0.376142547,0.531112853,0.595340578,0.774723666
280,ENSG00000253304,16.73817316,-0.08187062,0.424805462,-0.19272497,0.847174367,NA
281,ENSG00000116350,802.0387722,0.171525662,0.084204019,2.037024641,0.041647573,0.179610619
282,ENSG00000116353,53.17555375,-0.230228206,0.238361364,-0.965878876,0.334104794,0.568826506
283,ENSG00000162511,7744.347056,0.305194229,0.117089714,2.606499062,0.009147307,0.078661601
284,ENSG00000162512,31.99249164,0.381492578,0.418783942,0.910953214,0.362320026,NA
285,ENSG00000134644,795.5533738,-0.004917924,0.089840893,-0.054740377,0.956345301,0.978067994
286,ENSG00000060688,156.6510534,-0.266533957,0.142254899,-1.873636397,0.060980558,0.221604382
287,ENSG00000121766,53.54244029,-0.257893992,0.21102468,-1.222103463,0.221668504,0.459106653
288,ENSG00000121769,27.45485771,-0.127857241,0.363501166,-0.351738188,0.725034619,NA
289,ENSG00000168528,53.50159472,0.687582856,0.486674467,1.41281884,0.157708997,0.378774332
290,ENSG00000121764,24.31183509,-0.014847137,0.321290718,-0.046210911,0.963142146,NA
291,ENSG00000162517,136.8548726,-0.043601781,0.143498436,-0.303848478,0.761243331,0.877891259
292,ENSG00000121753,12.62234425,0.639153838,0.577965134,1.105869196,0.268783139,NA
293,ENSG00000134668,18.77560834,0.394796811,0.572874514,0.689150592,0.490728505,NA
294,ENSG00000184007,1136.148732,-0.089756584,0.07811445,-1.14903944,0.250539718,0.48746624
