Non-elite.vs.elite,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
130,ENSG00000171729,13.96972288,-0.195329211,0.414445178,-0.471302892,0.637424451,0.988030617
131,ENSG00000142621,20.95892533,0.30256806,0.466363437,0.648781692,0.516479493,0.980069924
132,ENSG00000142634,3923.39685,-0.085306247,0.111497136,-0.765098103,0.444213129,0.976993107
133,ENSG00000215704,8.894729264,0.035510084,0.505230684,0.070284891,0.943966908,0.993543133
134,ENSG00000132906,122.9778628,-0.07996123,0.12951733,-0.617378614,0.536985024,0.982245047
135,ENSG00000116138,190.6371735,0.124589327,0.122867946,1.01401001,0.310577976,0.974955382
136,ENSG00000116771,32.60155476,0.054579952,0.228091037,0.23929021,0.810880556,0.991512695
137,ENSG00000197312,382.8881297,0.108396044,0.099712741,1.087083184,0.277000049,0.974955382
138,ENSG00000116786,509.1252121,0.04769078,0.083987069,0.567834788,0.570147156,0.986279397
139,ENSG00000162461,10.82305894,-0.48950284,0.557487554,-0.878051602,0.379915716,0.976993107
140,ENSG00000233954,10.39640833,0.341857111,0.400920407,0.852680745,0.393836372,0.976993107
141,ENSG00000065526,1842.279312,-0.113236971,0.069824686,-1.621732607,0.104860614,0.974955382
142,ENSG00000116809,315.4376807,-0.044688932,0.102674494,-0.435248617,0.663381977,0.988030617
143,ENSG00000142627,12.30421686,-0.460698364,0.577055204,-0.798360991,0.424661034,0.976993107
144,ENSG00000142632,33.12398802,-0.157862853,0.252187296,-0.625974644,0.531331572,0.981840525
145,ENSG00000132881,29.34013571,0.294644645,0.234211019,1.25803067,0.208380665,0.974955382
146,ENSG00000037637,344.2471501,-0.059476046,0.084664744,-0.702488935,0.4823743,0.977249009
147,ENSG00000055070,452.6471505,-0.064765846,0.077425168,-0.836496035,0.402875907,0.976993107
148,ENSG00000187144,32.58467344,-0.086269674,0.251691517,-0.342759562,0.73177935,0.988332289
149,ENSG00000157191,742.0162314,0.102532526,0.081878438,1.252253079,0.21047766,0.974955382
150,ENSG00000219481,176.7019744,0.012225389,0.172985225,0.070673023,0.943657991,0.993543133
151,ENSG00000058453,354.5985566,0.017094643,0.150248937,0.113775468,0.909415786,0.993543133
152,ENSG00000159363,268.7528266,0.103264057,0.101752711,1.014853125,0.310175845,0.974955382
153,ENSG00000117118,182.2469153,0.019562904,0.101285832,0.193145517,0.846845006,0.991650156
154,ENSG00000117115,1722.388314,-0.031644042,0.269282635,-0.117512377,0.906454037,0.993543133
155,ENSG00000159339,811.2446158,-0.07088393,0.237651221,-0.298268738,0.765498062,0.990228822
156,ENSG00000179051,497.5806993,0.011065494,0.098943459,0.111836543,0.910953012,0.993543133
157,ENSG00000074964,344.0958337,0.162698438,0.159089262,1.022686484,0.306456104,0.974955382
158,ENSG00000159423,12.25355119,-0.712514015,0.36768898,-1.937817159,0.052645534,0.974955382
159,ENSG00000169991,193.1100676,-0.085617518,0.182534189,-0.469049217,0.639034457,0.988030617
160,ENSG00000127481,2384.535394,-0.119440399,0.07657467,-1.559789924,0.118809533,0.974955382
161,ENSG00000127463,297.113095,-0.117469589,0.091400467,-1.285218693,0.198715873,0.974955382
162,ENSG00000053372,59.29543315,0.211232393,0.21939848,0.962779658,0.335658111,0.974955382
163,ENSG00000053371,116.162881,0.036402645,0.163059535,0.223247569,0.823342831,0.991512695
164,ENSG00000040487,93.7308473,0.155373156,0.168053087,0.924548065,0.355201039,0.974955382
165,ENSG00000077549,2000.755856,-0.110906544,0.071870571,-1.543142661,0.122796166,0.974955382
166,ENSG00000173436,75.04108222,0.15507331,0.1516653,1.022470597,0.306558222,0.974955382
167,ENSG00000158747,7.363905028,0.546521377,0.57748837,0.946376422,0.343956627,0.974955382
168,ENSG00000158748,16.93127539,0.563694812,0.420504809,1.340519299,0.180076574,0.974955382
169,ENSG00000162542,197.1025683,0.133203038,0.114344597,1.164926382,0.244048793,0.974955382
170,ENSG00000169914,112.800088,0.205068642,0.16954975,1.209489498,0.226474843,0.974955382
171,ENSG00000162543,22.1358119,-0.044426829,0.369269223,-0.120310132,0.904237478,0.993543133
172,ENSG00000158816,16.54571932,0.491944373,0.424552846,1.158735306,0.246564095,0.974955382
173,ENSG00000162545,7.761069798,-0.580680985,0.438259275,-1.324971354,0.185180652,0.974955382
174,ENSG00000090432,168.2173388,-0.096718608,0.121825437,-0.79391144,0.427246989,0.976993107
175,ENSG00000158825,457.3039111,-0.185062537,0.214881676,-0.861229957,0.389111404,0.976993107
176,ENSG00000158828,397.7857095,-0.223967915,0.211413531,-1.059383068,0.289425358,0.974955382
177,ENSG00000244038,499.6257151,0.155033311,0.082362184,1.882336085,0.059790398,0.974955382
178,ENSG00000127483,1140.091736,-0.041253769,0.06610883,-0.624028114,0.532609122,0.982152237
179,ENSG00000075151,568.5614752,-0.03139651,0.099299471,-0.316180034,0.751865862,0.989754705
180,ENSG00000117298,2267.215006,-0.17635705,0.135185348,-1.304557428,0.192043592,0.974955382
181,ENSG00000142794,70.22287029,0.473718755,0.250692963,1.889637223,0.058806495,0.974955382
182,ENSG00000162551,1793.577004,-0.371403855,0.307994397,-1.205878607,0.2278643,0.974955382
183,ENSG00000076864,263.1954047,-0.258105914,0.616936921,-0.418366781,0.675678971,0.988030617
184,ENSG00000090686,692.0964501,0.039820301,0.072241708,0.551209301,0.581490205,0.988030617
185,ENSG00000142798,46.17986891,-0.017349315,0.334391002,-0.05188332,0.958621665,0.993961188
186,ENSG00000070831,1919.725276,0.00326519,0.082644576,0.039508822,0.96848472,0.994712269
187,ENSG00000162552,126.0457187,0.020763246,0.151806137,0.136774744,0.891208847,0.993543133
188,ENSG00000184677,479.1592016,-0.002591274,0.113643097,-0.022801862,0.981808323,0.996858585
189,ENSG00000173372,19.5097478,0.319564295,0.438093425,0.729443257,0.465730565,0.976993107
190,ENSG00000159189,6.873715337,0.193517056,0.615260283,0.314528763,0.753119474,0.989754705
191,ENSG00000173369,9.660522059,0.089985787,0.52378191,0.171800104,0.863594683,0.991650156
192,ENSG00000133216,39.04652123,0.055566906,0.366713475,0.151526764,0.8795602,0.991650156
193,ENSG00000004487,259.8646574,-0.134661468,0.110134238,-1.222703036,0.22144188,0.974955382
194,ENSG00000169641,195.5089842,-0.128856981,0.138412113,-0.93096607,0.351871116,0.974955382
195,ENSG00000125944,574.3463377,0.137677711,0.093190873,1.47737333,0.139575591,0.974955382
196,ENSG00000125945,67.13933518,0.165900555,0.173624618,0.955512858,0.339318406,0.974955382
197,ENSG00000204219,57.11539805,0.158227392,0.295071327,0.536234387,0.591796571,0.988030617
198,ENSG00000088280,10.943093,0.254589203,0.488852673,0.520789222,0.602513612,0.988030617
199,ENSG00000007968,1023.193565,-0.093202976,0.355457636,-0.262205581,0.793162951,0.990280504
200,ENSG00000117318,71.1541231,0.396994516,0.227454006,1.745383703,0.080918101,0.974955382
201,ENSG00000142676,541.6083925,0.110853001,0.217835974,0.508882895,0.61083431,0.988030617
202,ENSG00000011007,228.7860422,-0.047860757,0.102599424,-0.466481733,0.64087072,0.988030617
203,ENSG00000057757,1072.492882,-0.411608114,0.350179612,-1.175419985,0.239826732,0.974955382
204,ENSG00000011009,243.039733,0.013448818,0.093295346,0.144153151,0.885379535,0.992297911
205,ENSG00000117308,49.2016697,-0.017554786,0.198765868,-0.088318917,0.929623204,0.993543133
206,ENSG00000117305,162.5150482,0.067361665,0.123318402,0.546241797,0.584899739,0.988030617
207,ENSG00000179163,131.6142907,-0.258245256,0.152777863,-1.690331648,0.090964524,0.974955382
208,ENSG00000188822,100.4856797,-0.251263551,0.207160317,-1.212894219,0.225170266,0.974955382
209,ENSG00000189266,504.7805864,-0.018937406,0.099988469,-0.189395904,0.849782534,0.991650156
210,ENSG00000188529,519.6298131,0.216749379,0.09881972,2.193381833,0.02827988,0.974955382
211,ENSG00000185436,42.04195983,-0.187314541,0.248786962,-0.752911403,0.451503156,0.976993107
212,ENSG00000001460,37.36562991,0.173594697,0.237533181,0.730822937,0.464887311,0.976993107
213,ENSG00000001461,462.9041804,0.015243903,0.110236877,0.138283153,0.890016639,0.993219758
214,ENSG00000117602,581.0894504,0.200018263,0.15475602,1.292474844,0.196192752,0.974955382
215,ENSG00000133226,770.9233596,-0.008778778,0.072685955,-0.120776819,0.903867812,0.993543133
216,ENSG00000169504,183.8355958,0.478947022,0.158697797,3.017981548,0.002544644,0.706046731
217,ENSG00000020633,1225.189023,-0.104462299,0.117180151,-0.891467529,0.372678404,0.976993107
218,ENSG00000117614,197.4700213,-0.06494388,0.113339361,-0.573003756,0.566642151,0.985547039
219,ENSG00000117616,1889.433905,-0.058580429,0.092356182,-0.634288117,0.52589281,0.981663298
220,ENSG00000187010,209.8987734,-0.349967132,0.453196562,-0.7722193,0.439984552,0.976993107
221,ENSG00000183726,435.4182848,0.090404274,0.097757447,0.924781447,0.355079603,0.974955382
222,ENSG00000188672,39.91657829,-0.327075296,0.306977565,-1.065469704,0.286663428,0.974955382
223,ENSG00000204178,191.1301188,-0.028397565,0.126395299,-0.224672637,0.822233953,0.991512695
224,ENSG00000157978,873.4023915,0.062088611,0.140886715,0.440698838,0.659431038,0.988030617
225,ENSG00000117643,291.2792666,-0.02415407,0.16760158,-0.144116002,0.885408869,0.992297911
226,ENSG00000162430,173.7165375,-0.142414223,0.121993432,-1.167392548,0.243051879,0.974955382
227,ENSG00000117640,81.05708512,-0.024816679,0.155263209,-0.159836185,0.873010119,0.991650156
228,ENSG00000127423,7.665186197,0.494199438,0.57088188,0.865677219,0.386667196,0.976993107
229,ENSG00000182749,59.58250045,-0.154005455,0.192706321,-0.799171789,0.424190807,0.976993107
230,ENSG00000117632,42.25935075,0.36307209,0.232554469,1.561234627,0.118468402,0.974955382
231,ENSG00000158006,165.2989362,-0.102741547,0.131018451,-0.784176169,0.432936746,0.976993107
232,ENSG00000175087,68.73185305,0.318146794,0.159333758,1.996731875,0.045854318,0.974955382
233,ENSG00000142675,10.94502503,0.129812763,0.475848987,0.272802436,0.785005087,0.990228822
234,ENSG00000130695,133.044707,0.046867282,0.153134567,0.306052924,0.75956435,0.990228822
235,ENSG00000142669,1508.476777,-0.091132896,0.133170675,-0.68433156,0.493765822,0.977749716
236,ENSG00000158062,515.6834628,-0.031869285,0.108924127,-0.292582427,0.769841348,0.990228822
237,ENSG00000169442,126.0201694,0.120727434,0.167690197,0.719943303,0.471559904,0.976993107
238,ENSG00000176092,49.80334749,0.136504716,0.199686601,0.683594766,0.494231091,0.977749716
239,ENSG00000176083,54.70472086,-0.407878243,0.440539221,-0.925861362,0.354518033,0.974955382
240,ENSG00000117682,323.7626317,-0.052652595,0.089428809,-0.588765475,0.556018609,0.983780424
241,ENSG00000198830,894.4120911,-0.03270451,0.071418384,-0.457928449,0.647003847,0.988030617
242,ENSG00000117676,2101.356019,-0.076492901,0.111946035,-0.683301561,0.494416308,0.977749716
243,ENSG00000117713,2374.576503,-0.105846634,0.092404497,-1.145470602,0.252014266,0.974955382
244,ENSG00000060642,127.3480887,-0.017562617,0.141648609,-0.123987215,0.901325398,0.993543133
245,ENSG00000204160,2347.618794,-0.148020658,0.159824921,-0.926142536,0.354371911,0.974955382
246,ENSG00000175793,7.548535172,-0.21426205,0.466390564,-0.459404771,0.645943523,0.988030617
247,ENSG00000142751,209.2006456,0.132495213,0.101615538,1.30388733,0.192272001,0.974955382
248,ENSG00000198746,84.86033848,-0.066552225,0.149807757,-0.444250863,0.656861222,0.988030617
249,ENSG00000090273,233.9705284,0.042572281,0.110528232,0.385171101,0.700110653,0.988030617
250,ENSG00000175707,11.24053092,-0.058398234,0.395622709,-0.147610925,0.882649833,0.991992121
251,ENSG00000253368,6.083515988,-0.166342974,0.603585449,-0.275591425,0.782861896,0.990228822
252,ENSG00000090020,445.7117473,-0.154001634,0.13007014,-1.183989147,0.236417359,0.974955382
253,ENSG00000142784,1665.608407,-0.156554931,0.152128575,-1.029096147,0.303434497,0.974955382
254,ENSG00000186501,236.3438445,-0.017293157,0.10013993,-0.172689926,0.862895163,0.991650156
255,ENSG00000142765,779.0059485,-0.005910434,0.089026126,-0.066389886,0.947067422,0.993543133
256,ENSG00000142733,68.11043863,-0.328905278,0.219314606,-1.499696185,0.133693119,0.974955382
257,ENSG00000158195,4167.441545,-0.172707411,0.172728993,-0.999875048,0.317370981,0.974955382
258,ENSG00000126705,182.4937463,0.118635829,0.139272237,0.851826842,0.394310206,0.976993107
259,ENSG00000000938,3334.645719,-0.066990492,0.11959597,-0.560140042,0.57538392,0.987886543
260,ENSG00000126709,642.800095,-0.07103714,0.394037499,-0.180280151,0.856932638,0.991650156
261,ENSG00000009780,83.33590364,0.153681761,0.153683398,0.999989348,0.317315663,0.974955382
262,ENSG00000117758,214.4793287,0.057019143,0.090702347,0.628640218,0.529584624,0.981783372
263,ENSG00000117751,125.0626097,0.28640519,0.123008475,2.328337039,0.019894214,0.939739775
264,ENSG00000130775,3126.71744,-0.113025366,0.115818214,-0.975885928,0.329120996,0.974955382
265,ENSG00000117748,377.5861038,0.077178145,0.104661806,0.737405058,0.460876061,0.976993107
266,ENSG00000130768,12.22852935,-0.795993938,0.403038179,-1.974983958,0.048269968,0.974955382
267,ENSG00000158156,399.878147,-0.140870266,0.168209345,-0.837469916,0.402328481,0.976993107
268,ENSG00000158161,309.5500271,-0.009111869,0.085488206,-0.106586271,0.915117211,0.993543133
269,ENSG00000169403,2157.023613,-0.093189762,0.152221917,-0.612196748,0.540407593,0.983014805
270,ENSG00000126698,190.6351846,0.201299481,0.129774769,1.551144985,0.120866943,0.974955382
271,ENSG00000130770,123.056049,-0.080905953,0.130488656,-0.620022887,0.535242719,0.982162807
272,ENSG00000130766,135.6057265,-0.240025542,0.146181285,-1.641971763,0.100595856,0.974955382
273,ENSG00000130772,92.640684,0.073053141,0.142587592,0.512338698,0.608413986,0.988030617
274,ENSG00000204138,228.6977243,-0.051826385,0.113250687,-0.457625344,0.647221632,0.988030617
275,ENSG00000180198,90.37879106,0.041487338,0.158254589,0.262155668,0.79320143,0.990280504
276,ENSG00000180098,98.27204741,-0.045412786,0.155725668,-0.291620427,0.770576855,0.990228822
277,ENSG00000120656,132.8768184,-0.080313518,0.119659073,-0.6711862,0.502101919,0.978525594
278,ENSG00000188060,25.30555367,0.178067312,0.418744119,0.425241344,0.670660748,0.988030617
279,ENSG00000162419,180.3876877,0.019166667,0.104787696,0.182909521,0.854869012,0.991650156
280,ENSG00000198492,334.6728939,0.038579077,0.065556473,0.58848616,0.556206021,0.983780424
281,ENSG00000159023,11639.21527,-0.275986009,0.331208896,-0.833268708,0.4046932,0.976993107
282,ENSG00000253304,15.46825165,-0.31863988,0.382153826,-0.833800051,0.404393667,0.976993107
283,ENSG00000116350,828.3031932,0.042365025,0.069933051,0.605794028,0.544651536,0.983014805
284,ENSG00000116353,59.28765427,-0.123635333,0.210058783,-0.588574931,0.556146455,0.983780424
285,ENSG00000060656,9.589465285,-1.075870424,0.989151483,-1.087670031,0.276740802,0.974955382
286,ENSG00000162510,5.444576179,0.711964792,0.661794552,1.075809387,0.282012513,0.974955382
287,ENSG00000162511,7475.594546,-0.033584786,0.089264459,-0.376239176,0.706739093,0.988030617
288,ENSG00000162512,30.14989144,0.069816136,0.324471625,0.215168694,0.829635798,0.991512695
289,ENSG00000134644,834.8450682,-0.020034205,0.073755805,-0.271628851,0.785907413,0.990228822
