,yes.vs.no,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
103,ENSG00000120948,202.8936801,-0.171091735,0.093643896,-1.827046311,0.067692807,0.196820971
104,ENSG00000009724,46.15984115,0.012877045,0.197832679,0.065090588,0.948101874,0.973653227
105,ENSG00000116649,124.4218509,-0.249654727,0.126841124,-1.968247511,0.049039566,0.159581023
106,ENSG00000171824,172.8279106,-0.177013702,0.109225587,-1.620624867,0.105098116,0.260625909
107,ENSG00000198793,623.0533512,-0.109423936,0.062655133,-1.746448072,0.080733123,0.221160162
108,ENSG00000171819,34.94493926,-0.233782655,0.191086425,-1.223439368,0.221163792,0.418553745
109,ENSG00000120942,175.8956182,-0.183706612,0.126951102,-1.447065908,0.147878465,0.325968382
110,ENSG00000204624,8.041003732,-0.271251767,0.601398563,-0.451034943,0.651964364,NA
111,ENSG00000116661,16.77626584,0.048716924,0.32831132,0.148386366,0.882037859,0.940590801
112,ENSG00000132879,79.02345763,-0.108882617,0.147947733,-0.735953262,0.461759142,0.654604246
113,ENSG00000116663,122.3661441,0.336178139,0.168828074,1.991245483,0.046453906,0.15332175
114,ENSG00000116670,91.17517451,0.173430095,0.145341505,1.193259253,0.232767855,0.432517647
115,ENSG00000162490,25.22504351,0.246362591,0.255957172,0.962514898,0.335791023,0.543615875
116,ENSG00000177674,856.2327523,0.52916487,0.105162131,5.031895647,4.86E-07,4.98E-05
117,ENSG00000177000,415.2139819,-0.027537981,0.08033258,-0.342799662,0.731749181,0.857471838
118,ENSG00000011021,187.7763379,-0.194746536,0.109976723,-1.770797774,0.076594336,0.21307551
119,ENSG00000116685,783.9112934,0.386477005,0.095909506,4.029600639,5.59E-05,0.001494072
120,ENSG00000083444,311.87788,0.350972808,0.126303027,2.778815487,0.005455751,0.036160474
121,ENSG00000116688,957.8983818,0.452169026,0.139885711,3.23241755,0.001227476,0.012934126
122,ENSG00000116691,288.8089332,0.26151782,0.124068647,2.107847769,0.035044159,0.127675327
123,ENSG00000120949,126.1906694,-0.178258616,0.158148275,-1.127161302,0.259674289,0.465039302
124,ENSG00000028137,5288.477742,0.101636245,0.095596101,1.063184006,0.287698514,0.495963442
125,ENSG00000048707,1402.043832,-0.140552014,0.053356873,-2.634187616,0.008433887,0.048551628
126,ENSG00000162496,152.6915313,-0.260384977,0.146647702,-1.775581705,0.075801888,0.211711517
127,ENSG00000116731,1329.012204,0.053382936,0.048725428,1.095586796,0.273259643,0.479430223
128,ENSG00000189337,83.05519906,0.402989639,0.275585101,1.462305609,0.143657482,0.320076281
129,ENSG00000171729,12.1589928,-0.473314175,0.437313557,-1.082322208,0.279109381,0.486125575
130,ENSG00000142621,19.71326698,0.438120753,0.414354575,1.057357104,0.290348641,0.498392763
131,ENSG00000142634,4008.796726,0.297098048,0.097119202,3.059107172,0.002219977,0.019677141
132,ENSG00000215704,9.152981523,1.100241858,0.415030707,2.650989049,0.008025644,NA
133,ENSG00000132906,121.8158324,0.124749855,0.118941482,1.048833871,0.294254586,0.502767961
134,ENSG00000116138,184.3951014,-0.203123935,0.100380541,-2.023538948,0.043017612,0.145620275
135,ENSG00000116771,33.73522476,-0.109219202,0.241224394,-0.452770137,0.650714269,0.803044708
136,ENSG00000197312,364.7501847,-0.272126262,0.081333356,-3.345813748,0.000820415,0.00986453
137,ENSG00000116786,497.4415373,-0.042513405,0.0707903,-0.600554107,0.548137013,0.726481101
138,ENSG00000162461,10.1460117,-0.10328104,0.469258227,-0.220094254,0.825797749,0.912225172
139,ENSG00000233954,9.501493315,0.442129136,0.368034875,1.201324023,0.229625535,NA
140,ENSG00000065526,1767.768426,0.024295993,0.060665914,0.400488377,0.688796842,0.829067141
141,ENSG00000116809,312.4813785,0.295295847,0.087741045,3.36553829,0.000763945,0.009428213
142,ENSG00000142627,10.82351151,-0.119313307,0.52701252,-0.226395584,0.820893763,0.909006994
143,ENSG00000142632,31.572905,0.09427888,0.223238359,0.422323835,0.672788663,0.818074174
144,ENSG00000132881,29.51296719,-0.270563422,0.216317278,-1.250771204,0.211017964,0.407341533
145,ENSG00000037637,330.3321357,-0.128312827,0.071974322,-1.782758385,0.074625643,0.209773397
146,ENSG00000055070,458.4413622,0.051439872,0.068358277,0.752503935,0.451748064,0.647350775
147,ENSG00000187144,30.70947493,-0.052412085,0.202049595,-0.259402079,0.795325026,0.896544334
148,ENSG00000157191,724.0743427,-0.09969231,0.072369316,-1.377549417,0.168342447,0.353823417
149,ENSG00000219481,158.06624,-0.153352649,0.152866047,-1.003183189,0.315772482,0.524126638
150,ENSG00000058453,317.8749919,-0.336319426,0.136238299,-2.468611453,0.013563841,0.067064179
151,ENSG00000159363,261.6354406,-0.112578897,0.089898058,-1.252295096,0.210462355,0.406813352
152,ENSG00000117118,184.7508645,0.180783434,0.086837182,2.081866652,0.037354652,0.1332073
153,ENSG00000117115,1846.814505,0.609449556,0.21263362,2.86619564,0.004154374,0.029820748
154,ENSG00000159339,840.4883999,0.595891739,0.177396453,3.359096137,0.000781979,0.009585127
155,ENSG00000179051,481.9973405,-0.09879851,0.088587642,-1.115262893,0.264737782,0.470653558
156,ENSG00000074964,324.3350414,-0.364312452,0.155446174,-2.34365661,0.019095743,0.084927578
157,ENSG00000159423,11.91286099,-0.077678936,0.363401828,-0.213754939,0.830738166,0.915038031
158,ENSG00000169991,178.1380004,-0.362581817,0.156927791,-2.310500986,0.020860434,0.089959548
159,ENSG00000127481,2296.023742,0.014215228,0.062851408,0.22617199,0.821067655,0.909036102
160,ENSG00000127463,276.8987265,-0.256445488,0.086169834,-2.976047141,0.0029199,0.023623281
161,ENSG00000053372,54.88641182,0.058426065,0.177336801,0.329463851,0.741805113,0.864296747
162,ENSG00000053371,111.7116501,-0.069617529,0.128661695,-0.541089785,0.588445699,0.760535464
163,ENSG00000040487,94.6407648,0.089181521,0.13509913,0.660119139,0.509177378,0.694466303
164,ENSG00000077549,2016.929971,0.16257819,0.068603275,2.369831304,0.017796203,0.081239055
165,ENSG00000173436,69.76707133,-0.149375445,0.135962063,-1.098655329,0.271918434,0.477880903
166,ENSG00000158747,6.613546858,0.590518163,0.556904929,1.060357221,0.288982116,NA
167,ENSG00000158748,14.9705971,-0.161861212,0.403512643,-0.401130459,0.688324076,0.828893601
168,ENSG00000162542,185.9366671,-0.233358732,0.115985488,-2.011964916,0.044223635,0.148467584
169,ENSG00000169914,107.4152933,-0.321986293,0.145456907,-2.213619823,0.026854943,0.106928926
170,ENSG00000162543,20.51025912,0.097069708,0.31657871,0.306621088,0.759131801,0.873727895
171,ENSG00000158816,16.23666644,0.071098286,0.373514019,0.190349711,0.849035102,0.924933739
172,ENSG00000162545,7.477746388,-0.472888092,0.413135418,-1.144632174,0.252361559,NA
173,ENSG00000090432,174.4868274,0.132541175,0.106458174,1.245007034,0.213129165,0.410022163
174,ENSG00000158825,514.2044019,0.805571594,0.18191572,4.428268174,9.50E-06,0.000427908
175,ENSG00000158828,404.3654859,0.421144761,0.175932888,2.393780758,0.016675713,0.077520639
176,ENSG00000244038,498.7667952,-0.054216188,0.072552475,-0.747268627,0.454901426,0.649719362
177,ENSG00000127483,1100.70564,-0.060647767,0.059456182,-1.020041397,0.307708828,0.516313882
178,ENSG00000075151,577.3544798,0.173361831,0.099080479,1.749707238,0.080168844,0.220154503
179,ENSG00000117298,2360.74982,0.407682673,0.1208697,3.372910432,0.000743781,0.009233578
180,ENSG00000142794,67.34832575,0.055532671,0.217239651,0.255628613,0.798237622,0.897854854
181,ENSG00000162551,1981.646658,0.821515043,0.247139052,3.32410048,0.000887042,0.010417327
182,ENSG00000076864,266.6809536,-0.471144578,0.508107104,-0.92725446,0.353794433,0.559619912
183,ENSG00000090686,658.2804696,-0.024706949,0.062183238,-0.397324903,0.691127886,0.830446416
184,ENSG00000142798,40.47245001,0.004456078,0.29382876,0.015165562,0.987900096,0.994846964
185,ENSG00000070831,1964.897541,0.212128059,0.073623391,2.881259006,0.0039609,0.028794716
186,ENSG00000162552,124.7621667,0.237656249,0.114958102,2.067329261,0.038703139,0.135864929
187,ENSG00000184677,443.6038395,-0.408333794,0.098197923,-4.15827321,3.21E-05,0.001034951
188,ENSG00000173372,24.01340566,0.67211733,0.385186593,1.744913614,0.080999907,0.221504347
189,ENSG00000159189,11.04334692,0.914122256,0.538917685,1.696218701,0.08984447,0.236558835
190,ENSG00000173369,12.35572759,0.393441863,0.479445592,0.820618376,0.411863677,0.614196926
191,ENSG00000133216,36.14946802,0.0146196,0.337281513,0.043345392,0.965426207,0.98375511
192,ENSG00000004487,246.4696681,-0.094862382,0.100654886,-0.942451835,0.345961359,0.55250634
193,ENSG00000169641,186.7146398,-0.254554021,0.12262129,-2.075936569,0.037899818,0.134467062
194,ENSG00000125944,550.8185243,-0.162981582,0.077878023,-2.092780172,0.036368783,0.130885141
195,ENSG00000125945,66.0176404,-0.035410389,0.139205552,-0.254374833,0.799205992,0.897877473
196,ENSG00000204219,51.78272954,-0.338281915,0.268621139,-1.259327228,0.207912162,0.403989304
197,ENSG00000088280,10.11943935,-0.024889114,0.441339743,-0.056394455,0.955027574,0.977343837
198,ENSG00000007968,994.3008795,0.273884249,0.297847484,0.919545284,0.357810431,0.562627742
199,ENSG00000117318,70.12805223,-0.194353294,0.194898362,-0.997203323,0.318665829,0.526573051
200,ENSG00000142676,546.6582189,-0.428370292,0.177817561,-2.409043797,0.015994378,0.075331253
201,ENSG00000011007,216.4037662,-0.080146826,0.098286587,-0.81544011,0.414820433,0.616673509
202,ENSG00000057757,1052.073366,0.195437955,0.300014564,0.651428226,0.514770095,0.699125111
203,ENSG00000011009,243.6539431,0.210676578,0.077161453,2.730334505,0.006327009,0.039731202
204,ENSG00000117308,47.91363355,-0.027768194,0.164813893,-0.168482117,0.866204011,0.933442688
205,ENSG00000117305,160.5023626,-0.011015184,0.102001731,-0.10799017,0.91400349,0.957285007
206,ENSG00000179163,126.0789669,-0.149168023,0.151454416,-0.984903754,0.324671349,0.533144087
207,ENSG00000188822,100.0516535,0.009862063,0.169625051,0.058140367,0.953636821,0.976395911
208,ENSG00000189266,501.6577857,-0.072130196,0.08542502,-0.844368501,0.398463518,0.602399659
209,ENSG00000188529,506.7212755,-0.191911025,0.087825564,-2.185138546,0.02887869,0.112456596
210,ENSG00000185436,40.38353683,0.12147296,0.214043007,0.567516604,0.570363249,0.744488426
211,ENSG00000001460,35.92155704,-0.455985775,0.206036875,-2.21312702,0.02688889,0.106987245
212,ENSG00000001461,433.6180491,-0.255237673,0.092614105,-2.755926572,0.005852613,0.037797754
213,ENSG00000117602,528.9955815,-0.481776251,0.140741782,-3.423121713,0.000619064,0.008071772
214,ENSG00000133226,732.7251274,-0.122068187,0.063279348,-1.929036745,0.053726301,0.169327794
215,ENSG00000169504,186.2851885,0.245634422,0.136501598,1.799498506,0.07193986,0.205103403
216,ENSG00000020633,1171.792476,-0.109611943,0.105302608,-1.040923339,0.297911129,0.50634053
217,ENSG00000117614,204.9097104,0.098797476,0.10501777,0.940769134,0.346823182,0.55310163
218,ENSG00000117616,1883.654485,0.150653825,0.086092527,1.749905947,0.080134544,0.220125896
219,ENSG00000187010,198.0345749,-0.433742585,0.387160139,-1.12031829,0.262578151,0.468377629
220,ENSG00000183726,441.5602611,0.120340372,0.086410896,1.392652747,0.163724824,0.347653402
221,ENSG00000188672,39.32839462,-0.173475462,0.259255961,-0.669128153,0.503413732,0.689644554
222,ENSG00000204178,186.8931983,-0.076504931,0.101900141,-0.750783364,0.452783043,0.648165302
223,ENSG00000157978,812.2295171,-0.241782598,0.123769202,-1.95349566,0.050760891,0.16302308
224,ENSG00000117643,263.1686301,-0.610845226,0.161291557,-3.787211403,0.000152347,0.003043427
225,ENSG00000162430,167.7974834,-0.119278054,0.119132218,-1.001224151,0.316718453,0.524740409
226,ENSG00000117640,76.79297737,-0.006629217,0.133805554,-0.04954366,0.960486044,0.980560748
227,ENSG00000127423,7.762783461,0.251890049,0.490154168,0.513899638,0.607322161,NA
228,ENSG00000182749,54.48501674,-0.169199804,0.153460395,-1.102563334,0.27021684,0.476011873
229,ENSG00000117632,42.01156493,-0.089323038,0.195609536,-0.456639486,0.647930193,0.800928919
230,ENSG00000158006,158.2646741,0.062219666,0.114926708,0.541385611,0.588241823,0.760349878
231,ENSG00000175087,65.58537746,-0.359811949,0.158204666,-2.27434473,0.022945268,0.096021454
232,ENSG00000142675,10.34437583,0.122806037,0.426329063,0.288054575,0.773304963,0.883086962
233,ENSG00000130695,130.7633589,-0.214190587,0.128116588,-1.671841174,0.094555645,0.243891688
234,ENSG00000142669,1538.932221,0.131447701,0.111330344,1.180699674,0.237722051,0.438731098
235,ENSG00000158062,493.4976393,-0.178807179,0.090111298,-1.984292572,0.047223234,0.155033665
236,ENSG00000169442,118.6335473,-0.523711234,0.15488347,-3.381324248,0.000721374,0.0090086
237,ENSG00000176092,49.49360658,-0.037953349,0.20244638,-0.187473588,0.851289331,0.925803711
238,ENSG00000176083,50.19590357,-0.061771221,0.369977596,-0.166959356,0.867402029,0.934104285
239,ENSG00000117682,312.3380296,-0.095521607,0.075735563,-1.261251697,0.207218178,0.40365141
240,ENSG00000198830,924.3097029,0.22885382,0.074872172,3.056593866,0.002238674,0.019773952
241,ENSG00000117676,2142.191693,0.394989789,0.096659385,4.086409077,4.38E-05,0.001261591
242,ENSG00000117713,2322.276774,0.17964533,0.076190791,2.35783523,0.01838185,0.082833252
243,ENSG00000060642,128.5409377,0.141974244,0.112739977,1.259307009,0.207919462,0.403989304
244,ENSG00000204160,2396.488399,0.489625387,0.128882962,3.798992367,0.000145286,0.00294612
245,ENSG00000142751,201.9572043,-0.161483226,0.087913996,-1.836831836,0.066234725,0.194012676
246,ENSG00000198746,83.41286796,0.017429,0.123891781,0.140679224,0.888123359,0.943317888
247,ENSG00000090273,237.316435,0.073956987,0.096044169,0.770030998,0.441281505,0.637797432
248,ENSG00000175707,10.34914375,-0.2975283,0.390775929,-0.761378268,0.446431164,0.642216851
249,ENSG00000253368,6.088684263,-1.211925119,0.525095132,-2.308010579,0.020998548,NA
250,ENSG00000090020,441.714381,0.273910606,0.108527709,2.523877158,0.011606848,0.060409552
251,ENSG00000142784,1639.329007,0.233690954,0.126677044,1.844777444,0.06506992,0.191893126
252,ENSG00000186501,227.2406119,0.023186312,0.085543008,0.271048598,0.786353655,0.890730009
253,ENSG00000142765,739.3523885,-0.056108112,0.072555241,-0.773315765,0.439335528,0.636131215
254,ENSG00000142733,65.15762975,-0.012288183,0.182961111,-0.067162811,0.946452091,0.972871487
255,ENSG00000158195,4069.671958,0.053522142,0.14312917,0.373942936,0.708446772,0.84196108
256,ENSG00000126705,171.1845105,-0.069389048,0.109615488,-0.633022294,0.526719084,0.708538822
257,ENSG00000000938,3520.707163,0.407799176,0.114973615,3.546893578,0.000389802,0.00593789
258,ENSG00000126709,677.7396308,0.005127409,0.345011078,0.014861579,0.988142612,0.994846964
259,ENSG00000009780,81.14303115,-0.131433086,0.124631474,-1.054573794,0.291620294,0.499484896
260,ENSG00000117758,219.0614331,0.228114855,0.081037342,2.814935048,0.004878709,0.033076149
261,ENSG00000117751,122.8584751,0.170275329,0.105582596,1.612721566,0.106805013,0.263879636
262,ENSG00000130775,3131.093395,0.271912142,0.098952196,2.747914168,0.005997571,0.038341287
263,ENSG00000117748,364.5911882,0.012747283,0.097599685,0.130607831,0.896085548,0.948181796
264,ENSG00000130768,11.51810714,0.568629086,0.377255487,1.507278505,0.131739285,0.302719548
265,ENSG00000158156,406.5808799,0.312549402,0.137826629,2.267699675,0.023347518,0.09693293
266,ENSG00000158161,291.7770582,-0.085046924,0.075909669,-1.120370106,0.262556078,0.468377629
267,ENSG00000169403,2172.888293,0.386169467,0.12871427,3.000207092,0.002697961,0.022373033
268,ENSG00000126698,189.0896992,0.050030775,0.113813134,0.439587007,0.660236253,0.809494413
269,ENSG00000130770,120.0039025,-0.140594733,0.106109037,-1.325002435,0.185170344,0.376702184
270,ENSG00000130766,138.6487929,0.357892626,0.118512657,3.019868388,0.002528845,0.021508799
271,ENSG00000130772,92.40597979,0.110655127,0.126517907,0.874620283,0.381780548,0.587350856
272,ENSG00000204138,207.6007322,-0.248858131,0.100704932,-2.471161292,0.013467506,0.066673554
273,ENSG00000180198,87.29536882,0.076266959,0.132384584,0.576101516,0.564546567,0.739882153
274,ENSG00000180098,95.27392519,-0.144009948,0.134198718,-1.073109712,0.283221894,0.49081835
275,ENSG00000120656,134.3976371,0.212027157,0.108363655,1.956626108,0.050391443,0.162205049
276,ENSG00000188060,23.00242874,0.487344487,0.354175613,1.375996738,0.168822643,0.354479774
277,ENSG00000162419,176.1358414,0.028195246,0.092451779,0.304972455,0.760387131,0.874827453
278,ENSG00000198492,322.7963122,0.0033162,0.059379957,0.055847126,0.955463592,0.977710716
279,ENSG00000159023,11175.10343,0.055729024,0.275065296,0.202602891,0.83944543,0.919010955
280,ENSG00000253304,16.73817316,0.493825944,0.313096299,1.577233413,0.114741827,0.277195685
281,ENSG00000116350,802.0387722,0.066475973,0.0613536,1.083489357,0.278591272,0.48567681
