449820,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
111,ENSG00000204624,7.247793238,-0.239653874,1.862940771,-0.128642777,0.897640316,0.999758934
112,ENSG00000116661,24.28073636,-0.140456513,0.924004369,-0.152008494,0.879180236,0.999758934
113,ENSG00000132879,89.08943779,-0.371097457,0.476655035,-0.778545132,0.436247711,0.999758934
114,ENSG00000116663,111.8393803,0.608886345,0.534740514,1.138657591,0.254845998,0.999758934
115,ENSG00000116670,94.71446992,-0.085088295,0.550294879,-0.154623091,0.877118465,0.999758934
116,ENSG00000162490,32.23869462,-1.068426961,0.960757229,-1.112067575,0.266109097,0.999758934
117,ENSG00000177674,865.5097671,0.267321644,0.337245172,0.792662627,0.42797441,0.999758934
118,ENSG00000215910,4.031975793,0.329525213,2.709278314,0.12162841,0.903193313,0.999758934
119,ENSG00000177000,463.574195,-0.135860933,0.300731858,-0.451767679,0.651436357,0.999758934
120,ENSG00000011021,185.0057391,-0.256119516,0.386277883,-0.663044733,0.507301905,0.999758934
121,ENSG00000116685,811.6529146,0.520055976,0.291313059,1.785213397,0.07422671,0.999758934
122,ENSG00000083444,291.7150718,0.494459344,0.354272,1.395705402,0.162803227,0.999758934
123,ENSG00000116688,761.6530687,-0.006544923,0.424837563,-0.015405707,0.987708511,0.999758934
124,ENSG00000116691,282.7051114,0.220092395,0.427853193,0.514411014,0.60696466,0.999758934
125,ENSG00000120949,140.9816923,0.181011905,0.591544403,0.305998847,0.759605523,0.999758934
126,ENSG00000028137,4791.618476,0.253753,0.283066549,0.896442905,0.370016261,0.999758934
127,ENSG00000048707,1434.871231,-0.203255062,0.254004916,-0.800201293,0.423594181,0.999758934
128,ENSG00000162496,159.2373687,-0.555145948,0.380225868,-1.460042555,0.144278379,0.999758934
129,ENSG00000116731,1414.6166,-0.035418183,0.273721527,-0.129394947,0.897045145,0.999758934
130,ENSG00000189337,84.64752584,-0.698174529,0.651416625,-1.071778802,0.283819397,0.999758934
131,ENSG00000171729,11.47641864,-2.267542313,1.498624503,-1.513082369,0.130258737,0.999758934
132,ENSG00000142621,18.61595881,-2.43895104,1.292216295,-1.887417028,0.059104257,0.999758934
133,ENSG00000142634,3983.132394,0.003163596,0.290148981,0.010903352,0.991300556,0.999758934
134,ENSG00000162438,5.939843212,-0.190156732,1.824548559,-0.10422125,0.916993771,0.999758934
135,ENSG00000215704,5.560201157,-0.134312607,1.598419121,-0.084028404,0.933033849,0.999758934
136,ENSG00000132906,127.1182397,-0.368154789,0.402626592,-0.914382696,0.360515791,0.999758934
137,ENSG00000116138,202.4435927,-0.280377499,0.413753502,-0.677643807,0.497997563,0.999758934
138,ENSG00000116771,53.13621155,0.124763361,0.691701912,0.180371572,0.856860871,0.999758934
139,ENSG00000197312,376.8522221,0.14114957,0.325567092,0.43354987,0.664615344,0.999758934
140,ENSG00000116786,462.0772053,-0.07714227,0.307227875,-0.251091377,0.801743463,0.999758934
141,ENSG00000162461,15.19357875,0.820107812,1.211984509,0.67666526,0.498618363,0.999758934
142,ENSG00000065526,1639.907691,-0.185385655,0.259926759,-0.713222661,0.475707986,0.999758934
143,ENSG00000116809,330.8413782,-0.388551067,0.356263181,-1.090629309,0.275436027,0.999758934
144,ENSG00000142627,9.237929333,-3.887858989,1.554252214,-2.50143378,0.012369157,0.999758934
145,ENSG00000142632,54.42746908,-0.128633115,0.731003467,-0.17596786,0.860319193,0.999758934
146,ENSG00000132881,33.63317523,-0.115002583,0.783749282,-0.146733893,0.883342065,0.999758934
147,ENSG00000037637,328.3106458,0.081894139,0.331655208,0.246925532,0.804965857,0.999758934
148,ENSG00000055070,480.715089,0.018181535,0.309759703,0.05869561,0.953194556,0.999758934
149,ENSG00000187144,31.76901408,-0.164123527,0.684427912,-0.239796659,0.810487897,0.999758934
150,ENSG00000157191,825.9739823,0.174626596,0.306233328,0.570240335,0.568514703,0.999758934
151,ENSG00000219481,145.3323334,-0.993731287,0.494340226,-2.010217328,0.044408192,0.999758934
152,ENSG00000058453,313.7292089,-0.813825994,0.406612545,-2.001477829,0.045340921,0.999758934
153,ENSG00000159363,276.6558841,-0.291784624,0.378746782,-0.770394993,0.441065623,0.999758934
154,ENSG00000117118,201.4449305,-0.104741757,0.362377128,-0.289040751,0.772550193,0.999758934
155,ENSG00000117115,1422.735584,-0.31766626,0.457313646,-0.694635427,0.487283804,0.999758934
156,ENSG00000159339,834.8113273,0.466160993,0.423406777,1.100976693,0.270906801,0.999758934
157,ENSG00000179051,465.5157653,-0.231680309,0.33167624,-0.698513432,0.484856161,0.999758934
158,ENSG00000074964,330.9334329,-0.010149932,0.305748124,-0.033197038,0.97351746,0.999758934
159,ENSG00000159423,10.1275608,0.060013595,1.418632725,0.042303828,0.966256494,0.999758934
160,ENSG00000169991,214.0392371,-0.696298544,0.470007198,-1.481463576,0.138483084,0.999758934
161,ENSG00000127481,2155.898449,-0.159957637,0.274885556,-0.5819063,0.560629797,0.999758934
162,ENSG00000127463,302.8437578,-0.207786063,0.329825583,-0.629987709,0.528702626,0.999758934
163,ENSG00000053372,58.14040637,-0.335550292,0.569153475,-0.589560297,0.555485476,0.999758934
164,ENSG00000053371,120.3837822,-0.139842729,0.437460847,-0.31966913,0.749219163,0.999758934
165,ENSG00000040487,97.84854361,0.076315215,0.439468431,0.173653463,0.862137813,0.999758934
166,ENSG00000077549,1906.601769,-0.037560611,0.281224327,-0.133561032,0.8937497,0.999758934
