row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
ENSG00000187730,4.119097187,2.243029382,3.355876316,0.668388573,0.503885588,0.999480687,GABRD
ENSG00000067606,98.55135952,0.367410638,0.715588625,0.513438343,0.60764473,0.999480687,PRKCZ
ENSG00000162585,124.2910356,-0.210931942,0.688763385,-0.306247322,0.759416345,0.999480687,FAAP20
ENSG00000157933,1114.063639,0.172306022,0.45205012,0.381165748,0.703080263,0.999480687,SKI
ENSG00000116151,78.2656963,0.326327185,0.82207037,0.396957726,0.691398635,0.999480687,MORN1
ENSG00000157916,371.9493038,0.099809611,0.505471988,0.197458243,0.843468955,0.999480687,RER1
ENSG00000157911,42.81641229,-1.200517626,1.038802664,-1.155674381,0.247814371,0.999480687,PEX10
ENSG00000149527,123.6418951,0.150146369,0.72140104,0.208131622,0.835126197,0.999480687,PLCH2
ENSG00000157881,309.027824,-0.579042423,0.529471595,-1.093623206,0.274120267,0.999480687,PANK4
ENSG00000197921,0.683095195,2.417145795,4.915445745,0.491744985,0.622899633,0.999480687,HES5
ENSG00000157873,589.539883,-0.310616477,0.471936486,-0.658174323,0.510426122,0.999480687,TNFRSF14
ENSG00000157870,59.62565974,-0.110110228,0.867270215,-0.126961847,0.898970596,0.999480687,PRXL2B
ENSG00000142606,1.161538367,1.131477819,4.830447423,0.234238719,0.814799657,0.999480687,MMEL1
ENSG00000215912,51.60359098,0.189651579,0.892215174,0.212562602,0.831668144,0.999480687,TTC34
ENSG00000169717,0.328617647,1.642013671,4.979464343,0.32975709,0.741583513,0.999480687,ACTRT2
ENSG00000142611,2.957558819,3.434028358,4.215896241,0.814542902,0.415334005,0.999480687,PRDM16
ENSG00000130762,0.657235293,2.229456189,4.938509839,0.4514431,0.651670226,0.999480687,ARHGEF16
ENSG00000162591,388.8442039,0.369745052,0.501781283,0.736864974,0.461204466,0.999480687,MEGF6
ENSG00000158109,407.7877324,-0.157759427,0.517407829,-0.30490344,0.760439696,0.999480687,TPRG1L
ENSG00000116213,125.0624,-0.088817549,0.665368297,-0.133486296,0.893808802,0.999480687,WRAP73
ENSG00000078900,17.31685031,-0.437009959,1.425086452,-0.306655051,0.759105946,0.999480687,TP73
ENSG00000162592,1.59656688,1.357793663,4.775584973,0.284319863,0.776165266,0.999480687,CCDC27
ENSG00000235169,275.9488127,0.19205443,0.789104425,0.243382781,0.807708881,0.999480687,SMIM1
