,no.vs.healthy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
92,ENSG00000171603,626.8485351,-0.01451984,0.105498522,-0.137630747,0.890532254,0.970518111
93,ENSG00000178585,71.77092961,-0.196333119,0.151425425,-1.296566405,0.194780418,0.690064034
94,ENSG00000162441,97.29148247,-0.050324693,0.125305744,-0.401615214,0.687967231,0.915793802
95,ENSG00000173614,72.96036992,0.244464979,0.161738847,1.511479668,0.130666285,0.635396836
96,ENSG00000162444,37.15059392,0.162208898,0.245692739,0.660210385,0.509118829,0.85176667
97,ENSG00000130939,712.5694562,0.05923632,0.080583561,0.735091872,0.462283544,0.832351282
98,ENSG00000054523,748.9232525,0.149331039,0.131977419,1.131489305,0.257849203,0.732354396
99,ENSG00000142657,1645.437227,0.267362537,0.147797223,1.80898214,0.070453778,0.551119741
100,ENSG00000160049,119.8601509,-0.15824682,0.14782788,-1.070480212,0.284403211,0.748603332
101,ENSG00000142655,114.8717588,0.011689829,0.145121346,0.080552097,0.935798164,0.98407609
102,ENSG00000130940,125.3383981,-0.040337318,0.124178155,-0.324834255,0.745306518,0.931640356
103,ENSG00000120948,202.8936801,-0.023497797,0.099814559,-0.235414522,0.813887016,0.950931331
104,ENSG00000009724,46.15984115,-0.344002906,0.210566838,-1.633699347,0.102321996,0.601270805
105,ENSG00000116649,124.4218509,-0.064949961,0.134979451,-0.481184067,0.630385684,0.898175791
106,ENSG00000171824,172.8279106,-0.141137611,0.116436707,-1.212140178,0.225458726,0.713936335
107,ENSG00000198793,623.0533512,-0.074600217,0.066928935,-1.11461832,0.265014016,0.736455901
108,ENSG00000171819,34.94493926,-0.089848375,0.202773592,-0.44309702,0.657695561,0.907558882
109,ENSG00000120942,175.8956182,-0.120662114,0.13564901,-0.889517096,0.373725239,0.789518263
110,ENSG00000204624,8.041003732,-0.064012723,0.639616892,-0.100079789,0.920280981,0.979901356
111,ENSG00000116661,16.77626584,-0.582611417,0.347708808,-1.675572788,0.093821903,0.591276669
112,ENSG00000132879,79.02345763,-0.323305057,0.157090059,-2.058087314,0.039581753,0.485703193
113,ENSG00000116663,122.3661441,0.498809367,0.182054857,2.73988498,0.006146069,0.311773313
114,ENSG00000116670,91.17517451,0.057397115,0.15559658,0.36888417,0.712214063,0.921365024
115,ENSG00000162490,25.22504351,-0.30273225,0.273110198,-1.108461904,0.267662383,0.738774656
116,ENSG00000177674,856.2327523,0.208835372,0.113184291,1.845091494,0.06502423,0.542059865
117,ENSG00000177000,415.2139819,-0.149281926,0.085873094,-1.738401625,0.082140071,0.576894965
118,ENSG00000011021,187.7763379,-0.107282487,0.11725826,-0.914924774,0.360231123,0.782593918
119,ENSG00000116685,783.9112934,0.14751461,0.103172003,1.429793019,0.152776433,0.650757632
120,ENSG00000083444,311.87788,0.201186786,0.135899907,1.480404145,0.138765425,0.639486086
121,ENSG00000116688,957.8983818,0.183800218,0.150516946,1.221126412,0.222038161,0.712279903
122,ENSG00000116691,288.8089332,0.211980597,0.133510122,1.587749264,0.112343048,0.617768007
123,ENSG00000120949,126.1906694,0.14288755,0.169545577,0.842767781,0.39935833,0.800443194
124,ENSG00000028137,5288.477742,0.274337153,0.102829671,2.667879322,0.007633167,0.325788603
125,ENSG00000048707,1402.043832,-0.032830646,0.057160796,-0.574355993,0.565726926,0.874649619
126,ENSG00000162496,152.6915313,-0.278050574,0.156486249,-1.776837115,0.075595043,0.561693908
127,ENSG00000116731,1329.012204,0.068480842,0.052250175,1.310633746,0.189981532,0.685012276
128,ENSG00000189337,83.05519906,0.204248023,0.296355577,0.689199188,0.490697928,0.843139165
129,ENSG00000171729,12.1589928,0.192703625,0.466223381,0.413328959,0.679365615,0.913779029
130,ENSG00000142621,19.71326698,-0.876139103,0.441258478,-1.985546222,0.047083733,0.512738469
