AIHelite.vs.AIHpartial,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
63,ENSG00000116237,151.9150512,-0.140157193,0.150268976,-0.93270878,0.35097035,0.877647955
64,ENSG00000158292,28.70128249,0.313963975,0.340709703,0.921499953,0.356789466,0.877647955
65,ENSG00000097021,37.68929524,-0.152894774,0.207601318,-0.736482675,0.461437008,0.900753806
66,ENSG00000187017,363.0602072,0.366610976,0.456866611,0.802446418,0.422294772,0.891289363
67,ENSG00000215788,183.8734649,-0.24732122,0.223606222,-1.106056965,0.268701864,0.849866627
68,ENSG00000171680,27.39193679,-0.261662357,0.355567525,-0.735900606,0.461791188,0.900753806
69,ENSG00000162408,292.908416,-0.035132919,0.121225734,-0.289814032,0.771958512,0.963095456
70,ENSG00000204859,425.0903111,0.0501265,0.112490165,0.445607841,0.655880546,0.945486602
71,ENSG00000162413,1605.598833,0.174155182,0.13000105,1.339644426,0.180360973,0.825867691
72,ENSG00000116273,92.91128233,0.162104806,0.171246206,0.946618375,0.343833277,0.874584816
73,ENSG00000041988,69.89422608,-0.25791482,0.200601362,-1.285708225,0.19854491,0.83412935
74,ENSG00000007923,134.138936,-0.386151242,0.145888382,-2.646895086,0.008123455,0.76795876
75,ENSG00000171735,81.43507576,-0.160060773,0.17472576,-0.916068547,0.359630943,0.877647955
76,ENSG00000049245,365.0862392,0.018922048,0.114306005,0.165538532,0.868520124,0.976174942
77,ENSG00000049246,40.53765698,-0.095577982,0.265869091,-0.359492643,0.71922658,0.955279903
78,ENSG00000049249,81.22145756,0.529601059,0.261707512,2.023637208,0.043007494,0.807632706
79,ENSG00000116288,265.7000966,-0.080602868,0.106291301,-0.758320461,0.448259161,0.898189649
80,ENSG00000116285,9.25202931,0.703066308,0.526822948,1.334540022,0.18202694,0.826936449
81,ENSG00000162426,7.281512011,-0.162933119,0.596001564,-0.273376999,0.784563432,0.965637069
82,ENSG00000142599,2108.347449,0.244819924,0.115164546,2.125827196,0.033517651,0.807632706
83,ENSG00000074800,2141.558569,-0.04436633,0.114494715,-0.387496745,0.698388494,0.951155438
84,ENSG00000131686,73.41714664,-0.605301865,0.334256827,-1.810888566,0.070158103,0.808449263
85,ENSG00000142583,28.45497257,-0.827910306,0.425452579,-1.945952023,0.051660503,0.807632706
86,ENSG00000180758,76.82027096,-0.071723386,0.228846875,-0.313412127,0.753967572,0.961622399
87,ENSG00000049239,783.5349797,0.066375865,0.111283558,0.596457072,0.550869923,0.923256324
88,ENSG00000171621,25.70958909,-0.406624614,0.307044358,-1.324318792,0.185397192,0.832572381
89,ENSG00000171612,32.97812144,-0.883593111,0.31719432,-2.785652372,0.005342013,0.696490264
90,ENSG00000188807,67.88137858,-0.210789541,0.204575901,-1.030373277,0.302834813,0.860358185
91,ENSG00000171608,4464.483601,0.154963718,0.115181165,1.345391132,0.178498957,0.824860368
92,ENSG00000171603,629.0210586,0.215553867,0.120891588,1.783034461,0.074580694,0.808449263
93,ENSG00000178585,71.42947525,-0.022065914,0.168712047,-0.130790388,0.895941127,0.981418532
94,ENSG00000162441,97.7618293,-0.123368035,0.147214731,-0.838014197,0.40202273,0.886774822
95,ENSG00000173614,72.81820974,-0.148976111,0.193256852,-0.770871039,0.440783375,0.897375798
