,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,replicate,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
18,ENSG00000224051,175.6353844,-0.040525286,0.127392422,-0.318113785,0.750398628,0.956524441,18,ENSG00000224051,175.6353844,-0.040525286,0.127392422,-0.318113785,0.750398628,0.956524441
19,ENSG00000169962,27.69685892,-0.510553658,0.226424871,-2.254847953,0.024142874,0.689741308,19,ENSG00000169962,27.69685892,-0.510553658,0.226424871,-2.254847953,0.024142874,0.689741308
20,ENSG00000107404,169.1851284,0.022441452,0.142594917,0.157379046,0.874946126,0.977796399,20,ENSG00000107404,169.1851284,0.022441452,0.142594917,0.157379046,0.874946126,0.977796399
21,ENSG00000162576,51.68525331,-0.030614714,0.20280015,-0.150960019,0.880007255,0.978917676,21,ENSG00000162576,51.68525331,-0.030614714,0.20280015,-0.150960019,0.880007255,0.978917676
22,ENSG00000175756,256.3743806,-0.275940371,0.120180739,-2.296044872,0.021673316,0.689070953,22,ENSG00000175756,256.3743806,-0.275940371,0.120180739,-2.296044872,0.021673316,0.689070953
23,ENSG00000221978,650.8038143,-0.009694114,0.097644152,-0.099280027,0.920915937,0.987498398,23,ENSG00000221978,650.8038143,-0.009694114,0.097644152,-0.099280027,0.920915937,0.987498398
24,ENSG00000242485,148.4258651,0.131876702,0.123919377,1.064213722,0.287231892,0.819928578,24,ENSG00000242485,148.4258651,0.131876702,0.123919377,1.064213722,0.287231892,0.819928578
25,ENSG00000160072,147.9593331,0.089781981,0.171441353,0.523689179,0.600494743,0.91355128,25,ENSG00000160072,147.9593331,0.089781981,0.171441353,0.523689179,0.600494743,0.91355128
26,ENSG00000197785,66.32233452,0.002652059,0.211825214,0.012520035,0.990010718,0.998636249,26,ENSG00000197785,66.32233452,0.002652059,0.211825214,0.012520035,0.990010718,0.998636249
27,ENSG00000205090,5.32217996,0.34437704,0.551639479,0.624279176,0.532444257,0.901122576,27,ENSG00000205090,5.32217996,0.34437704,0.551639479,0.624279176,0.532444257,0.901122576
28,ENSG00000160075,796.7442394,-0.079026877,0.090030642,-0.87777756,0.380064445,0.849694563,28,ENSG00000160075,796.7442394,-0.079026877,0.090030642,-0.87777756,0.380064445,0.849694563
29,ENSG00000228594,27.33205655,-0.206015629,0.369457846,-0.557616062,0.577106586,0.911058645,29,ENSG00000228594,27.33205655,-0.206015629,0.369457846,-0.557616062,0.577106586,0.911058645
30,ENSG00000197530,531.3200101,0.013044651,0.132904699,0.09815041,0.92181286,0.987498398,30,ENSG00000197530,531.3200101,0.013044651,0.132904699,0.09815041,0.92181286,0.987498398
31,ENSG00000189409,7.293423615,-0.329871505,0.62414196,-0.528519994,0.597138473,0.912655459,31,ENSG00000189409,7.293423615,-0.329871505,0.62414196,-0.528519994,0.597138473,0.912655459
32,ENSG00000248333,292.8116793,-0.089582896,0.105982121,-0.845264228,0.397963329,0.854178489,32,ENSG00000248333,292.8116793,-0.089582896,0.105982121,-0.845264228,0.397963329,0.854178489
33,ENSG00000189339,814.348213,0.028110308,0.104629234,0.26866591,0.788186788,0.962857822,33,ENSG00000189339,814.348213,0.028110308,0.104629234,0.26866591,0.788186788,0.962857822
34,ENSG00000008128,19.48904233,-0.037845821,0.335289092,-0.112875192,0.910129504,0.985647735,34,ENSG00000008128,19.48904233,-0.037845821,0.335289092,-0.112875192,0.910129504,0.985647735
35,ENSG00000215790,128.035752,0.260790616,0.170096648,1.533190795,0.125228852,0.749120191,35,ENSG00000215790,128.035752,0.260790616,0.170096648,1.533190795,0.125228852,0.749120191
36,ENSG00000008130,3276.367872,-0.198363673,0.147117255,-1.348337231,0.177549943,0.765097106,36,ENSG00000008130,3276.367872,-0.198363673,0.147117255,-1.348337231,0.177549943,0.765097106
37,ENSG00000078369,2226.986733,-0.147302384,0.090635861,-1.625210834,0.104117643,0.732794676,37,ENSG00000078369,2226.986733,-0.147302384,0.090635861,-1.625210834,0.104117643,0.732794676
38,ENSG00000067606,154.0621837,-0.176390643,0.164858673,-1.069950643,0.284641526,0.819203578,38,ENSG00000067606,154.0621837,-0.176390643,0.164858673,-1.069950643,0.284641526,0.819203578
39,ENSG00000162585,173.1853995,-0.011846994,0.090949424,-0.130259143,0.896361404,0.982305661,39,ENSG00000162585,173.1853995,-0.011846994,0.090949424,-0.130259143,0.896361404,0.982305661
40,ENSG00000157933,1270.735784,-0.187070175,0.118734682,-1.575531017,0.115133925,0.740188982,40,ENSG00000157933,1270.735784,-0.187070175,0.118734682,-1.575531017,0.115133925,0.740188982
41,ENSG00000116151,99.67061365,-0.138154139,0.192168865,-0.718920516,0.472189895,0.881983925,41,ENSG00000116151,99.67061365,-0.138154139,0.192168865,-0.718920516,0.472189895,0.881983925
42,ENSG00000157916,480.5216433,-0.124752898,0.081216991,-1.536044324,0.12452751,0.749120191,42,ENSG00000157916,480.5216433,-0.124752898,0.081216991,-1.536044324,0.12452751,0.749120191
43,ENSG00000157911,47.6669568,-0.193012816,0.221870009,-0.869936486,0.384335115,0.852333424,43,ENSG00000157911,47.6669568,-0.193012816,0.221870009,-0.869936486,0.384335115,0.852333424
44,ENSG00000149527,165.6618829,0.2554909,0.170608567,1.497526793,0.134256239,0.75130774,44,ENSG00000149527,165.6618829,0.2554909,0.170608567,1.497526793,0.134256239,0.75130774
45,ENSG00000157881,392.3892416,-0.097895696,0.092696512,-1.056088242,0.290927902,0.821509622,45,ENSG00000157881,392.3892416,-0.097895696,0.092696512,-1.056088242,0.290927902,0.821509622
46,ENSG00000157873,732.2845666,-0.081542463,0.110370111,-0.738809291,0.460022809,0.878962733,46,ENSG00000157873,732.2845666,-0.081542463,0.110370111,-0.738809291,0.460022809,0.878962733
47,ENSG00000157870,72.56183026,-0.121446437,0.17213648,-0.70552411,0.480484133,0.883361794,47,ENSG00000157870,72.56183026,-0.121446437,0.17213648,-0.70552411,0.480484133,0.883361794
48,ENSG00000215912,75.95778327,0.013215019,0.146397389,0.090268131,0.928074144,0.988654665,48,ENSG00000215912,75.95778327,0.013215019,0.146397389,0.090268131,0.928074144,0.988654665
49,ENSG00000162591,560.19832,-0.153645898,0.158822872,-0.967404105,0.333342059,0.837375858,49,ENSG00000162591,560.19832,-0.153645898,0.158822872,-0.967404105,0.333342059,0.837375858
50,ENSG00000158109,405.202238,-0.352820931,0.138649787,-2.544691466,0.010937433,0.590340644,50,ENSG00000158109,405.202238,-0.352820931,0.138649787,-2.544691466,0.010937433,0.590340644
51,ENSG00000116213,184.919619,0.140248178,0.125454883,1.117917248,0.263602338,0.807437345,51,ENSG00000116213,184.919619,0.140248178,0.125454883,1.117917248,0.263602338,0.807437345
52,ENSG00000078900,16.11985087,0.640967132,0.389022714,1.647634211,0.099427756,0.732505884,52,ENSG00000078900,16.11985087,0.640967132,0.389022714,1.647634211,0.099427756,0.732505884
53,ENSG00000235169,176.5469314,-0.77934494,0.497992243,-1.564974056,0.117588993,0.740188982,53,ENSG00000235169,176.5469314,-0.77934494,0.497992243,-1.564974056,0.117588993,0.740188982
54,ENSG00000130764,263.2769846,-0.084739859,0.139449246,-0.607675277,0.543402863,0.903122785,54,ENSG00000130764,263.2769846,-0.084739859,0.139449246,-0.607675277,0.543402863,0.903122785
55,ENSG00000116198,257.3139448,0.096059588,0.096192842,0.998614717,0.317981368,0.832909161,55,ENSG00000116198,257.3139448,0.096059588,0.096192842,0.998614717,0.317981368,0.832909161
56,ENSG00000169598,102.6470039,-0.122523756,0.167589164,-0.731095932,0.464720559,0.879739876,56,ENSG00000169598,102.6470039,-0.122523756,0.167589164,-0.731095932,0.464720559,0.879739876
57,ENSG00000198912,124.6786444,0.009165598,0.15076894,0.06079235,0.951524583,0.992749553,57,ENSG00000198912,124.6786444,0.009165598,0.15076894,0.06079235,0.951524583,0.992749553
58,ENSG00000196581,12.19296891,-0.211263457,0.656641032,-0.32173356,0.747654551,0.955917002,58,ENSG00000196581,12.19296891,-0.211263457,0.656641032,-0.32173356,0.747654551,0.955917002
59,ENSG00000131697,135.00854,0.200102711,0.156590654,1.277871358,0.201294789,0.777897359,59,ENSG00000131697,135.00854,0.200102711,0.156590654,1.277871358,0.201294789,0.777897359
60,ENSG00000069424,1838.388995,-0.019168358,0.069910765,-0.274183209,0.783943831,0.961970135,60,ENSG00000069424,1838.388995,-0.019168358,0.069910765,-0.274183209,0.783943831,0.961970135
61,ENSG00000116251,464.1927729,0.202776951,0.144866744,1.399748108,0.161588762,0.759087534,61,ENSG00000116251,464.1927729,0.202776951,0.144866744,1.399748108,0.161588762,0.759087534
62,ENSG00000158286,20.05704012,0.814877853,0.322263657,2.528606114,0.011451646,0.590340644,62,ENSG00000158286,20.05704012,0.814877853,0.322263657,2.528606114,0.011451646,0.590340644
63,ENSG00000116237,133.2961412,0.134293831,0.164933243,0.814231436,0.41551238,0.860362461,63,ENSG00000116237,133.2961412,0.134293831,0.164933243,0.814231436,0.41551238,0.860362461
64,ENSG00000158292,22.82455282,-0.513646631,0.357505077,-1.436753388,0.150788079,0.756348772,64,ENSG00000158292,22.82455282,-0.513646631,0.357505077,-1.436753388,0.150788079,0.756348772
65,ENSG00000097021,33.3898855,0.069867303,0.21878844,0.319337267,0.749470776,0.956290682,65,ENSG00000097021,33.3898855,0.069867303,0.21878844,0.319337267,0.749470776,0.956290682
66,ENSG00000187017,373.3579442,-0.224305534,0.479342531,-0.467944151,0.639824529,0.923670239,66,ENSG00000187017,373.3579442,-0.224305534,0.479342531,-0.467944151,0.639824529,0.923670239
67,ENSG00000215788,164.1048917,0.318519082,0.211299341,1.507430553,0.131700332,0.75130774,67,ENSG00000215788,164.1048917,0.318519082,0.211299341,1.507430553,0.131700332,0.75130774
68,ENSG00000171680,25.1775552,0.325884161,0.37927045,0.859239526,0.39020838,0.852406018,68,ENSG00000171680,25.1775552,0.325884161,0.37927045,0.859239526,0.39020838,0.852406018
69,ENSG00000162408,275.6005273,0.110715721,0.119938168,0.923106653,0.355951628,0.845567501,69,ENSG00000162408,275.6005273,0.110715721,0.119938168,0.923106653,0.355951628,0.845567501
70,ENSG00000204859,390.7829646,-0.092915294,0.122065597,-0.761191492,0.446542699,0.872376787,70,ENSG00000204859,390.7829646,-0.092915294,0.122065597,-0.761191492,0.446542699,0.872376787
71,ENSG00000162413,1493.170302,-0.19777584,0.139854735,-1.414151905,0.157317306,0.758490862,71,ENSG00000162413,1493.170302,-0.19777584,0.139854735,-1.414151905,0.157317306,0.758490862
72,ENSG00000116273,88.37268801,-0.189260943,0.196192783,-0.964668222,0.334711017,0.838403599,72,ENSG00000116273,88.37268801,-0.189260943,0.196192783,-0.964668222,0.334711017,0.838403599
73,ENSG00000041988,65.29852238,0.278748966,0.192440845,1.448491701,0.147479585,0.754193051,73,ENSG00000041988,65.29852238,0.278748966,0.192440845,1.448491701,0.147479585,0.754193051
74,ENSG00000007923,126.0614508,0.373749088,0.12641293,2.956573248,0.003110783,0.464210792,74,ENSG00000007923,126.0614508,0.373749088,0.12641293,2.956573248,0.003110783,0.464210792
75,ENSG00000171735,72.19074824,0.121016029,0.169205929,0.715199699,0.474485655,0.883349597,75,ENSG00000171735,72.19074824,0.121016029,0.169205929,0.715199699,0.474485655,0.883349597
76,ENSG00000049245,333.4231132,-0.074171961,0.111274332,-0.666568469,0.505047815,0.891866287,76,ENSG00000049245,333.4231132,-0.074171961,0.111274332,-0.666568469,0.505047815,0.891866287
77,ENSG00000049246,40.3255954,0.25598377,0.265655979,0.963591224,0.335250908,0.838403599,77,ENSG00000049246,40.3255954,0.25598377,0.265655979,0.963591224,0.335250908,0.838403599
78,ENSG00000049249,80.26238545,-0.518992362,0.261400154,-1.9854325,0.047096373,0.717711679,78,ENSG00000049249,80.26238545,-0.518992362,0.261400154,-1.9854325,0.047096373,0.717711679
79,ENSG00000116288,242.7228163,0.026062814,0.105743381,0.246472294,0.80531665,0.967485729,79,ENSG00000116288,242.7228163,0.026062814,0.105743381,0.246472294,0.80531665,0.967485729
80,ENSG00000116285,8.390053794,-0.688443629,0.49170528,-1.400114371,0.161479072,0.759087534,80,ENSG00000116285,8.390053794,-0.688443629,0.49170528,-1.400114371,0.161479072,0.759087534
81,ENSG00000142599,2023.401046,-0.248171126,0.103397147,-2.400173822,0.016387288,0.639987898,81,ENSG00000142599,2023.401046,-0.248171126,0.103397147,-2.400173822,0.016387288,0.639987898
82,ENSG00000074800,2006.387465,-0.009101365,0.115586082,-0.07874101,0.937238625,0.989755569,82,ENSG00000074800,2006.387465,-0.009101365,0.115586082,-0.07874101,0.937238625,0.989755569
83,ENSG00000131686,72.54741224,0.679997887,0.301204813,2.25759303,0.023971044,0.689741308,83,ENSG00000131686,72.54741224,0.679997887,0.301204813,2.25759303,0.023971044,0.689741308
84,ENSG00000142583,19.50945283,1.146587123,0.443899229,2.582989668,0.009794826,0.590340644,84,ENSG00000142583,19.50945283,1.146587123,0.443899229,2.582989668,0.009794826,0.590340644
85,ENSG00000180758,67.08040393,0.148003924,0.249537462,0.593113046,0.5531055,0.904781084,85,ENSG00000180758,67.08040393,0.148003924,0.249537462,0.593113046,0.5531055,0.904781084
86,ENSG00000049239,722.3203029,-0.120915142,0.116572019,-1.037256994,0.299616103,0.822910166,86,ENSG00000049239,722.3203029,-0.120915142,0.116572019,-1.037256994,0.299616103,0.822910166
87,ENSG00000171621,23.52307426,0.370861783,0.291190119,1.27360703,0.20280272,0.777897359,87,ENSG00000171621,23.52307426,0.370861783,0.291190119,1.27360703,0.20280272,0.777897359
88,ENSG00000171612,31.71741977,0.721559314,0.316699393,2.278372898,0.02270437,0.689494038,88,ENSG00000171612,31.71741977,0.721559314,0.316699393,2.278372898,0.02270437,0.689494038
89,ENSG00000188807,66.56123246,0.188339233,0.202383966,0.93060353,0.352058688,0.844025327,89,ENSG00000188807,66.56123246,0.188339233,0.202383966,0.93060353,0.352058688,0.844025327
90,ENSG00000171608,4250.972421,-0.140604013,0.120279132,-1.168980946,0.242411308,0.804156378,90,ENSG00000171608,4250.972421,-0.140604013,0.120279132,-1.168980946,0.242411308,0.804156378
91,ENSG00000171603,605.9346165,-0.213887459,0.117200505,-1.824970466,0.068005486,0.721938419,91,ENSG00000171603,605.9346165,-0.213887459,0.117200505,-1.824970466,0.068005486,0.721938419
92,ENSG00000178585,61.16710813,-0.069447534,0.176374354,-0.393750751,0.693765068,0.943247051,92,ENSG00000178585,61.16710813,-0.069447534,0.176374354,-0.393750751,0.693765068,0.943247051
93,ENSG00000162441,89.77441954,0.252283312,0.160078358,1.575998874,0.115026063,0.740188982,93,ENSG00000162441,89.77441954,0.252283312,0.160078358,1.575998874,0.115026063,0.740188982
94,ENSG00000173614,72.33280973,0.08471986,0.193855226,0.437026445,0.66209217,0.932089832,94,ENSG00000173614,72.33280973,0.08471986,0.193855226,0.437026445,0.66209217,0.932089832
95,ENSG00000162444,35.04690144,-0.043723835,0.284992554,-0.153420972,0.878066307,0.978265481,95,ENSG00000162444,35.04690144,-0.043723835,0.284992554,-0.153420972,0.878066307,0.978265481
96,ENSG00000130939,683.4245975,-0.099994782,0.091018135,-1.098624823,0.271931746,0.813050301,96,ENSG00000130939,683.4245975,-0.099994782,0.091018135,-1.098624823,0.271931746,0.813050301
97,ENSG00000054523,727.8936106,-0.269093286,0.142589235,-1.887192155,0.059134485,0.721938419,97,ENSG00000054523,727.8936106,-0.269093286,0.142589235,-1.887192155,0.059134485,0.721938419
98,ENSG00000142657,1550.113085,-0.132113387,0.155265836,-0.850885102,0.394833181,0.853356248,98,ENSG00000142657,1550.113085,-0.132113387,0.155265836,-0.850885102,0.394833181,0.853356248
99,ENSG00000160049,109.8581137,0.277841784,0.168394442,1.649946278,0.098953924,0.732505884,99,ENSG00000160049,109.8581137,0.277841784,0.168394442,1.649946278,0.098953924,0.732505884
100,ENSG00000142655,106.6764862,0.127451531,0.168777632,0.755144683,0.450162175,0.873958598,100,ENSG00000142655,106.6764862,0.127451531,0.168777632,0.755144683,0.450162175,0.873958598
101,ENSG00000130940,116.7898244,-0.15932218,0.146071054,-1.090716987,0.275397434,0.815549971,101,ENSG00000130940,116.7898244,-0.15932218,0.146071054,-1.090716987,0.275397434,0.815549971
102,ENSG00000120948,194.2947475,-0.062628245,0.113781733,-0.550424425,0.5820283,0.911135301,102,ENSG00000120948,194.2947475,-0.062628245,0.113781733,-0.550424425,0.5820283,0.911135301
103,ENSG00000009724,42.41721361,0.201099987,0.248331391,0.809804938,0.418052294,0.860441664,103,ENSG00000009724,42.41721361,0.201099987,0.248331391,0.809804938,0.418052294,0.860441664
104,ENSG00000116649,108.8479284,-0.174010572,0.185516384,-0.937979541,0.348254924,0.844025327,104,ENSG00000116649,108.8479284,-0.174010572,0.185516384,-0.937979541,0.348254924,0.844025327
105,ENSG00000171824,159.0022408,-0.047233998,0.139286773,-0.339113302,0.734524378,0.953293759,105,ENSG00000171824,159.0022408,-0.047233998,0.139286773,-0.339113302,0.734524378,0.953293759
106,ENSG00000198793,580.8629327,0.046027434,0.084210576,0.546575455,0.584670436,0.911135301,106,ENSG00000198793,580.8629327,0.046027434,0.084210576,0.546575455,0.584670436,0.911135301
107,ENSG00000171819,32.84844283,-0.163721658,0.269429854,-0.607659675,0.543413213,0.903122785,107,ENSG00000171819,32.84844283,-0.163721658,0.269429854,-0.607659675,0.543413213,0.903122785
108,ENSG00000120942,160.8100733,0.16124999,0.170120189,0.947859224,0.343201126,0.841115742,108,ENSG00000120942,160.8100733,0.16124999,0.170120189,0.947859224,0.343201126,0.841115742
109,ENSG00000204624,7.886872697,0.543192958,0.772854416,0.702839949,0.482155498,0.883995961,109,ENSG00000204624,7.886872697,0.543192958,0.772854416,0.702839949,0.482155498,0.883995961
110,ENSG00000116661,12.78204382,0.584337449,0.403388197,1.448573492,0.147456728,0.754193051,110,ENSG00000116661,12.78204382,0.584337449,0.403388197,1.448573492,0.147456728,0.754193051
111,ENSG00000132879,65.71686341,0.207171513,0.194313711,1.066170325,0.286346654,0.819928578,111,ENSG00000132879,65.71686341,0.207171513,0.194313711,1.066170325,0.286346654,0.819928578
112,ENSG00000116663,107.007396,-0.272802069,0.177983985,-1.532733794,0.125341459,0.749120191,112,ENSG00000116663,107.007396,-0.272802069,0.177983985,-1.532733794,0.125341459,0.749120191
113,ENSG00000116670,79.97853079,-0.081226704,0.186129921,-0.436397886,0.662548072,0.932337759,113,ENSG00000116670,79.97853079,-0.081226704,0.186129921,-0.436397886,0.662548072,0.932337759
114,ENSG00000162490,21.21369782,0.005304972,0.317273472,0.016720502,0.986659591,0.998397582,114,ENSG00000162490,21.21369782,0.005304972,0.317273472,0.016720502,0.986659591,0.998397582
115,ENSG00000177674,783.9395689,-0.120332906,0.127532079,-0.943550098,0.345399603,0.843002495,115,ENSG00000177674,783.9395689,-0.120332906,0.127532079,-0.943550098,0.345399603,0.843002495
116,ENSG00000177000,377.929328,-0.090926757,0.105945853,-0.858238003,0.390761055,0.852406018,116,ENSG00000177000,377.929328,-0.090926757,0.105945853,-0.858238003,0.390761055,0.852406018
117,ENSG00000011021,173.6254604,0.116901841,0.12714038,0.919470592,0.357849481,0.846144932,117,ENSG00000011021,173.6254604,0.116901841,0.12714038,0.919470592,0.357849481,0.846144932
118,ENSG00000175206,4.267126624,-0.982346156,0.657030795,-1.49512955,0.134880635,0.75130774,118,ENSG00000175206,4.267126624,-0.982346156,0.657030795,-1.49512955,0.134880635,0.75130774
119,ENSG00000116685,721.2795083,-0.175505367,0.124539624,-1.409233149,0.158766239,0.759087534,119,ENSG00000116685,721.2795083,-0.175505367,0.124539624,-1.409233149,0.158766239,0.759087534
120,ENSG00000083444,299.3664012,-0.326148136,0.178588355,-1.82625645,0.067811642,0.721938419,120,ENSG00000083444,299.3664012,-0.326148136,0.178588355,-1.82625645,0.067811642,0.721938419
121,ENSG00000116688,949.9285731,-0.498671323,0.171037113,-2.915573786,0.003550351,0.482884025,121,ENSG00000116688,949.9285731,-0.498671323,0.171037113,-2.915573786,0.003550351,0.482884025
122,ENSG00000116691,283.6771023,-0.312730502,0.172388464,-1.814103413,0.069661806,0.721938419,122,ENSG00000116691,283.6771023,-0.312730502,0.172388464,-1.814103413,0.069661806,0.721938419
123,ENSG00000120949,119.1053009,0.059521084,0.192198271,0.309685843,0.75679987,0.956929385,123,ENSG00000120949,119.1053009,0.059521084,0.192198271,0.309685843,0.75679987,0.956929385
124,ENSG00000028137,5231.702277,-0.206030509,0.109514413,-1.881309523,0.059929826,0.721938419,124,ENSG00000028137,5231.702277,-0.206030509,0.109514413,-1.881309523,0.059929826,0.721938419
125,ENSG00000048707,1331.087292,-0.126290242,0.0649637,-1.94401245,0.05189395,0.721938419,125,ENSG00000048707,1331.087292,-0.126290242,0.0649637,-1.94401245,0.05189395,0.721938419
126,ENSG00000162496,133.8872074,0.336319343,0.159984524,2.102199229,0.035535827,0.695834809,126,ENSG00000162496,133.8872074,0.336319343,0.159984524,2.102199229,0.035535827,0.695834809
127,ENSG00000116731,1264.709119,-0.114990709,0.06694626,-1.717656947,0.085859207,0.721938419,127,ENSG00000116731,1264.709119,-0.114990709,0.06694626,-1.717656947,0.085859207,0.721938419
128,ENSG00000189337,76.60900157,0.124589757,0.349721809,0.356253896,0.721650433,0.949622789,128,ENSG00000189337,76.60900157,0.124589757,0.349721809,0.356253896,0.721650433,0.949622789
129,ENSG00000171729,13.6408678,-0.106235088,0.457614054,-0.232149968,0.816421536,0.96899186,129,ENSG00000171729,13.6408678,-0.106235088,0.457614054,-0.232149968,0.816421536,0.96899186
130,ENSG00000142621,15.4991229,0.449916333,0.559306162,0.804418695,0.421155208,0.861638951,130,ENSG00000142621,15.4991229,0.449916333,0.559306162,0.804418695,0.421155208,0.861638951
131,ENSG00000142634,3685.378107,-0.111181552,0.113052649,-0.983449334,0.32538634,0.833483861,131,ENSG00000142634,3685.378107,-0.111181552,0.113052649,-0.983449334,0.32538634,0.833483861
132,ENSG00000215704,6.782251351,-0.008548881,0.521416217,-0.016395503,0.986918867,0.998397582,132,ENSG00000215704,6.782251351,-0.008548881,0.521416217,-0.016395503,0.986918867,0.998397582
133,ENSG00000132906,109.8479668,-0.072858894,0.146765831,-0.496429541,0.619591387,0.91846641,133,ENSG00000132906,109.8479668,-0.072858894,0.146765831,-0.496429541,0.619591387,0.91846641
134,ENSG00000116138,173.0372128,0.165365934,0.129042767,1.281481617,0.200024553,0.777296578,134,ENSG00000116138,173.0372128,0.165365934,0.129042767,1.281481617,0.200024553,0.777296578
135,ENSG00000116771,27.4093656,0.096326483,0.279729604,0.344355699,0.730578801,0.951760263,135,ENSG00000116771,27.4093656,0.096326483,0.279729604,0.344355699,0.730578801,0.951760263
136,ENSG00000197312,351.4513063,0.174463723,0.117396717,1.486103938,0.137251631,0.75130774,136,ENSG00000197312,351.4513063,0.174463723,0.117396717,1.486103938,0.137251631,0.75130774
137,ENSG00000116786,474.2684921,0.063447829,0.088177509,0.719546626,0.471804184,0.881755184,137,ENSG00000116786,474.2684921,0.063447829,0.088177509,0.719546626,0.471804184,0.881755184
138,ENSG00000162461,8.962776133,-0.488921858,0.580191064,-0.842691121,0.399401214,0.854506,138,ENSG00000162461,8.962776133,-0.488921858,0.580191064,-0.842691121,0.399401214,0.854506
139,ENSG00000233954,8.997319703,0.395900901,0.455679435,0.868814501,0.3849486,0.852406018,139,ENSG00000233954,8.997319703,0.395900901,0.455679435,0.868814501,0.3849486,0.852406018
140,ENSG00000065526,1694.893433,-0.151659815,0.067313366,-2.253041629,0.024256524,0.689741308,140,ENSG00000065526,1694.893433,-0.151659815,0.067313366,-2.253041629,0.024256524,0.689741308
141,ENSG00000116809,277.0819841,-0.068231529,0.123007017,-0.554696229,0.579102456,0.911058645,141,ENSG00000116809,277.0819841,-0.068231529,0.123007017,-0.554696229,0.579102456,0.911058645
142,ENSG00000142627,8.858045635,-0.6737341,0.739299964,-0.911313584,0.362130171,0.848187934,142,ENSG00000142627,8.858045635,-0.6737341,0.739299964,-0.911313584,0.362130171,0.848187934
143,ENSG00000142632,27.4251442,-0.143193806,0.271016067,-0.528359101,0.597250119,0.912720343,143,ENSG00000142632,27.4251442,-0.143193806,0.271016067,-0.528359101,0.597250119,0.912720343
144,ENSG00000132881,23.10715732,0.480932697,0.269638428,1.783620756,0.074485311,0.721938419,144,ENSG00000132881,23.10715732,0.480932697,0.269638428,1.783620756,0.074485311,0.721938419
