AIHsteroid.vs.AIHnotx,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
127,ENSG00000116731,1329.012204,0.13528288,0.07371776,1.835146388,0.066484002,0.168636052
128,ENSG00000189337,83.05519906,0.869856413,0.431967429,2.013708336,0.044040164,NA
129,ENSG00000171729,12.1589928,1.488899815,0.715282307,2.081555492,0.03738309,NA
130,ENSG00000142621,19.71326698,0.882197171,0.651817944,1.353441062,0.175914767,NA
131,ENSG00000142634,4008.796726,0.40926747,0.151719244,2.697531702,0.006985563,0.049084671
132,ENSG00000215704,9.152981523,0.892803182,0.659081869,1.354616511,0.17553977,NA
133,ENSG00000132906,121.8158324,0.021525343,0.185741822,0.11588851,0.907740902,NA
134,ENSG00000116138,184.3951014,-0.28666981,0.156833591,-1.827859756,0.067570602,NA
135,ENSG00000116771,33.73522476,-0.964433163,0.350119867,-2.754579939,0.005876753,NA
136,ENSG00000197312,364.7501847,-0.174482119,0.126958916,-1.374319543,0.169342502,NA
137,ENSG00000116786,497.4415373,0.092778401,0.110661328,0.838399494,0.401806373,0.550168241
138,ENSG00000162461,10.1460117,0.080670169,0.7342231,0.109871468,0.912511311,NA
139,ENSG00000233954,9.501493315,0.879469918,0.604269399,1.455426867,0.145551123,NA
140,ENSG00000065526,1767.768426,0.142270242,0.098192472,1.448891548,0.147367872,0.279052857
141,ENSG00000116809,312.4813785,0.26386888,0.1368181,1.928610901,0.053779185,NA
142,ENSG00000142627,10.82351151,-0.623371486,0.820449362,-0.759792761,0.447378471,NA
143,ENSG00000142632,31.572905,0.103277518,0.345595029,0.29883971,0.765062351,NA
144,ENSG00000132881,29.51296719,-1.035260282,0.313449055,-3.302802375,0.000957238,NA
145,ENSG00000037637,330.3321357,-0.091073162,0.113155591,-0.804848982,0.420906832,NA
146,ENSG00000055070,458.4413622,0.115879285,0.106133535,1.091825363,0.274909869,0.428962756
147,ENSG00000187144,30.70947493,0.108412205,0.320160263,0.338618552,0.734897105,NA
148,ENSG00000157191,724.0743427,-0.08623915,0.115079229,-0.749389363,0.453622561,0.596132303
149,ENSG00000219481,158.06624,0.39463223,0.240253243,1.642567757,0.100472397,NA
150,ENSG00000058453,317.8749919,-0.008794218,0.216382086,-0.040642082,0.967581236,NA
151,ENSG00000159363,261.6354406,-0.120950905,0.139648768,-0.866107926,0.386430979,NA
152,ENSG00000117118,184.7508645,0.252475652,0.135433884,1.864198564,0.062293825,NA
153,ENSG00000117115,1846.814505,0.948961704,0.337172633,2.814468346,0.004885799,0.042392069
154,ENSG00000159339,840.4883999,0.739273568,0.299290699,2.470085338,0.013508082,0.066585489
155,ENSG00000179051,481.9973405,-0.064283611,0.139741396,-0.460018383,0.645503026,0.751285495
156,ENSG00000074964,324.3350414,-0.227103353,0.243844541,-0.931344834,0.351675217,NA
157,ENSG00000159423,11.91286099,0.934320293,0.582838607,1.603051483,0.108923288,NA
158,ENSG00000169991,178.1380004,-0.098461863,0.247356664,-0.398056239,0.690588731,NA
159,ENSG00000127481,2296.023742,0.076027691,0.099742369,0.76224068,0.445916371,0.589085638
160,ENSG00000127463,276.8987265,-0.335625268,0.13299341,-2.523623299,0.011615232,NA
161,ENSG00000053372,54.88641182,-0.135916807,0.273568342,-0.496829442,0.619309331,NA
162,ENSG00000053371,111.7116501,-0.115659397,0.201041886,-0.575300002,0.56508842,NA
163,ENSG00000040487,94.6407648,0.069247129,0.211052813,0.328103322,0.742833543,NA
164,ENSG00000077549,2016.929971,0.232880141,0.107993641,2.156424566,0.031050528,0.105668829
165,ENSG00000173436,69.76707133,-0.198721845,0.211368725,-0.940166742,0.347132039,NA
166,ENSG00000158747,6.613546858,1.178057813,0.90528511,1.301311378,0.193151894,NA
167,ENSG00000158748,14.9705971,-1.23042071,0.612882069,-2.007597828,0.044686046,NA
168,ENSG00000162542,185.9366671,-0.020177126,0.183861948,-0.109740631,0.912615076,NA
169,ENSG00000169914,107.4152933,-0.376627668,0.226214567,-1.664913421,0.09593003,NA
170,ENSG00000162543,20.51025912,0.622321239,0.508141773,1.224700017,0.220688268,NA
171,ENSG00000158816,16.23666644,-0.287862644,0.578051868,-0.497987567,0.618492805,NA
172,ENSG00000162545,7.477746388,-1.127448399,0.627061141,-1.797987988,0.072178911,NA
173,ENSG00000090432,174.4868274,0.076558549,0.167081155,0.458211751,0.646800319,NA
174,ENSG00000158825,514.2044019,0.888882121,0.280733078,3.166289227,0.001543972,0.028023091
175,ENSG00000158828,404.3654859,0.518212461,0.277772795,1.865598327,0.062097584,0.162038983
176,ENSG00000244038,498.7667952,-0.023323396,0.114455614,-0.20377678,0.838527939,0.89000487
177,ENSG00000127483,1100.70564,-0.030616479,0.090904653,-0.336797712,0.736269398,0.821794371
178,ENSG00000075151,577.3544798,0.18679172,0.151777649,1.230693195,0.218437634,0.364471783
179,ENSG00000117298,2360.74982,0.585773525,0.192583008,3.041667761,0.002352714,0.032474483
180,ENSG00000142794,67.34832575,-0.348347398,0.338918178,-1.027821525,0.304033789,NA
181,ENSG00000162551,1981.646658,0.812783726,0.393488937,2.065582152,0.038867951,0.12072786
182,ENSG00000076864,266.6809536,-0.902816642,0.794611041,-1.136174298,0.255883625,NA
183,ENSG00000090686,658.2804696,0.063635604,0.097591505,0.652060901,0.514361886,0.645074964
184,ENSG00000142798,40.47245001,0.655006653,0.459952178,1.424075555,0.154424602,NA
185,ENSG00000070831,1964.897541,0.24746738,0.114803614,2.155571328,0.031117153,0.105721608
186,ENSG00000162552,124.7621667,0.004399186,0.181271402,0.024268508,0.980638433,NA
187,ENSG00000184677,443.6038395,-0.380289046,0.152885859,-2.48740497,0.012867883,0.065481889
188,ENSG00000173372,24.01340566,1.101319035,0.607541884,1.812745861,0.069871028,NA
189,ENSG00000159189,11.04334692,2.173091642,0.863997769,2.515158859,0.011897876,NA
190,ENSG00000173369,12.35572759,1.800012333,0.773925627,2.325820814,0.020028112,NA
191,ENSG00000133216,36.14946802,1.222695053,0.531613914,2.299968116,0.021450026,NA
192,ENSG00000004487,246.4696681,-0.139905699,0.156091834,-0.89630377,0.370090546,NA
193,ENSG00000169641,186.7146398,-0.351646314,0.193938118,-1.81318824,0.069802793,NA
194,ENSG00000125944,550.8185243,-0.318603527,0.118848111,-2.680762222,0.007345469,0.050309532
195,ENSG00000125945,66.0176404,0.070375609,0.219099451,0.321203947,0.748055841,NA
196,ENSG00000204219,51.78272954,-0.472677883,0.411397055,-1.148957867,0.250573355,NA
197,ENSG00000088280,10.11943935,-0.2766249,0.67923385,-0.40726018,0.683816905,NA
198,ENSG00000007968,994.3008795,0.647137717,0.458279435,1.412102896,0.157919666,0.293973532
199,ENSG00000117318,70.12805223,-0.843738439,0.303831836,-2.776991539,0.005486461,NA
200,ENSG00000142676,546.6582189,-0.503751281,0.277544106,-1.815031452,0.069519076,0.173904152
201,ENSG00000011007,216.4037662,0.028939621,0.139443247,0.207536909,0.835590571,NA
202,ENSG00000057757,1052.073366,-0.049353775,0.456599373,-0.108089888,0.913924389,0.945169668
203,ENSG00000011009,243.6539431,0.163392361,0.121466454,1.3451645,0.178572118,NA
204,ENSG00000117308,47.91363355,0.011005912,0.260125604,0.042309992,0.96625158,NA
205,ENSG00000117305,160.5023626,0.123984742,0.159948228,0.775155459,0.438247804,NA
206,ENSG00000179163,126.0789669,-0.341418617,0.234884103,-1.453562044,0.146067767,NA
207,ENSG00000188822,100.0516535,-0.5650835,0.269150225,-2.09950967,0.035771996,NA
208,ENSG00000189266,501.6577857,-0.196941193,0.132127079,-1.490543764,0.136081318,0.263531516
209,ENSG00000188529,506.7212755,-0.387963602,0.136914206,-2.833625619,0.004602322,0.041882408
210,ENSG00000185436,40.38353683,0.004683748,0.333396612,0.014048578,0.988791226,NA
211,ENSG00000001460,35.92155704,-0.481989046,0.326426413,-1.476562638,0.139792913,NA
212,ENSG00000001461,433.6180491,-0.281165869,0.143234462,-1.962976402,0.049648916,0.139589509
213,ENSG00000117602,528.9955815,-0.646482434,0.213988154,-3.02111319,0.002518472,0.033221847
214,ENSG00000133226,732.7251274,-0.201967616,0.09627399,-2.097841969,0.035919108,0.115974515
215,ENSG00000169504,186.2851885,0.249148658,0.215186922,1.157824349,0.246935725,NA
216,ENSG00000020633,1171.792476,-0.114424573,0.167777341,-0.682002538,0.495237346,0.629059257
217,ENSG00000117614,204.9097104,0.237892257,0.162628447,1.462796101,0.14352318,NA
218,ENSG00000117616,1883.654485,0.177674691,0.134500551,1.320996015,0.186502693,0.327094416
219,ENSG00000187010,198.0345749,0.390751846,0.591749026,0.660333738,0.509039684,NA
220,ENSG00000183726,441.5602611,0.261853101,0.135220435,1.936490594,0.052807643,0.146205569
221,ENSG00000188672,39.32839462,0.392374724,0.398243939,0.985262263,0.324495264,NA
222,ENSG00000204178,186.8931983,-0.047183968,0.159651861,-0.295542863,0.767579214,NA
223,ENSG00000157978,812.2295171,-0.240083496,0.194092455,-1.236954296,0.216104051,0.361686441
224,ENSG00000117643,263.1686301,-0.530888057,0.251083813,-2.114385832,0.034482327,NA
225,ENSG00000162430,167.7974834,0.059389979,0.186372881,0.318662131,0.749982734,NA
226,ENSG00000117640,76.79297737,0.217552625,0.209573194,1.038074674,0.299235291,NA
227,ENSG00000127423,7.762783461,1.72600417,0.814557538,2.1189469,0.034094955,NA
228,ENSG00000182749,54.48501674,0.246875328,0.245125833,1.007137132,0.313868879,NA
229,ENSG00000117632,42.01156493,0.204697837,0.309699726,0.660955821,0.508640646,NA
230,ENSG00000158006,158.2646741,-0.158596385,0.177524137,-0.893379276,0.371654097,NA
231,ENSG00000175087,65.58537746,-0.776004051,0.23647304,-3.281575142,0.00103229,NA
232,ENSG00000142675,10.34437583,-0.113163778,0.665930106,-0.169933416,0.865062501,NA
233,ENSG00000130695,130.7633589,-0.268309762,0.203263344,-1.320010569,0.186831489,NA
234,ENSG00000142669,1538.932221,0.037768259,0.174675244,0.216219874,0.828816363,0.883151682
235,ENSG00000158062,493.4976393,-0.070679325,0.140539106,-0.502915715,0.615023532,0.7285286
236,ENSG00000169442,118.6335473,-0.689970347,0.248681752,-2.774511366,0.00552847,NA
237,ENSG00000176092,49.49360658,-0.70167208,0.315189135,-2.226193742,0.026001207,NA
238,ENSG00000176083,50.19590357,0.378361262,0.584042098,0.647832174,0.517093503,NA
239,ENSG00000117682,312.3380296,-0.097315983,0.11832007,-0.822480771,0.410803326,NA
240,ENSG00000198830,924.3097029,0.165330704,0.115901789,1.426472414,0.153732024,0.288148321
241,ENSG00000117676,2142.191693,0.461897125,0.152954873,3.019826148,0.002529198,0.033221847
242,ENSG00000117713,2322.276774,0.245194227,0.121957088,2.010495908,0.044378729,0.130265325
243,ENSG00000060642,128.5409377,-0.289007498,0.17126704,-1.687467109,0.091513569,NA
244,ENSG00000204160,2396.488399,0.484616551,0.203899564,2.376741483,0.017466324,0.07656161
245,ENSG00000142751,201.9572043,-0.251298151,0.134202064,-1.872535657,0.061132534,NA
246,ENSG00000198746,83.41286796,0.158475209,0.192539654,0.823078288,0.410463475,NA
247,ENSG00000090273,237.316435,0.112399076,0.15015362,0.748560551,0.454122116,NA
248,ENSG00000175707,10.34914375,-1.072389687,0.592986965,-1.808454065,0.07053586,NA
249,ENSG00000253368,6.088684263,-0.337088508,0.810590997,-0.415855234,0.677515939,NA
250,ENSG00000090020,441.714381,0.312095726,0.172711881,1.807031018,0.070757443,0.176042039
251,ENSG00000142784,1639.329007,0.427455656,0.196059536,2.180233945,0.029240125,0.10151699
252,ENSG00000186501,227.2406119,0.110439019,0.133268012,0.82869863,0.407274961,NA
253,ENSG00000142765,739.3523885,0.155608655,0.113795889,1.367436526,0.17148852,0.308849501
254,ENSG00000142733,65.15762975,0.059057332,0.286339347,0.206249447,0.836596065,NA
255,ENSG00000158195,4069.671958,0.211433088,0.222798653,0.94898728,0.342627081,0.496285813
256,ENSG00000126705,171.1845105,0.009187419,0.173581447,0.05292858,0.957788813,NA
257,ENSG00000000938,3520.707163,0.571307384,0.179155241,3.188895738,0.001428174,0.02744614
258,ENSG00000126709,677.7396308,0.648642866,0.539085858,1.203227384,0.228888341,0.376912525
259,ENSG00000009780,81.14303115,-0.283695022,0.193202408,-1.468382434,0.14200037,NA
260,ENSG00000117758,219.0614331,0.027417556,0.126778451,0.216263537,0.828782329,NA
261,ENSG00000117751,122.8584751,0.063790298,0.16143253,0.395151448,0.692731122,NA
262,ENSG00000130775,3131.093395,0.49095909,0.155684568,3.153550126,0.001612975,0.028561805
263,ENSG00000117748,364.5911882,0.284335624,0.152138154,1.868930413,0.061632496,NA
264,ENSG00000130768,11.51810714,0.828422073,0.586442207,1.412623553,0.15776644,NA
265,ENSG00000158156,406.5808799,0.356239173,0.21462542,1.659818177,0.096951036,0.213514468
266,ENSG00000158161,291.7770582,0.038497505,0.120224133,0.320214453,0.748805768,NA
267,ENSG00000169403,2172.888293,0.383515425,0.203587573,1.883786024,0.059593925,0.158416072
268,ENSG00000126698,189.0896992,-0.165631749,0.174278196,-0.950387097,0.341915598,NA
269,ENSG00000130770,120.0039025,-0.111898049,0.167483408,-0.668114237,0.504060674,NA
270,ENSG00000130766,138.6487929,0.201403173,0.184718632,1.090324083,0.27557041,NA
271,ENSG00000130772,92.40597979,-0.100209443,0.194892899,-0.514176984,0.607128258,NA
272,ENSG00000204138,207.6007322,0.023158248,0.158497559,0.14611107,0.883833708,NA
273,ENSG00000180198,87.29536882,0.002770362,0.209967418,0.013194245,0.989472821,NA
274,ENSG00000180098,95.27392519,-0.064021333,0.20339537,-0.314762983,0.752941619,NA
275,ENSG00000120656,134.3976371,0.015522144,0.16893585,0.091881883,0.926791886,NA
276,ENSG00000188060,23.00242874,0.374721004,0.553330142,0.677210538,0.498272382,NA
