,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hgnc
24,ENSG00000221978,435.476927,0.021999976,0.501698349,0.043851004,0.965023171,0.999515697,CCNL2
25,ENSG00000242485,98.21537214,-0.111030892,0.715929226,-0.155086408,0.876753198,0.999515697,MRPL20
26,ENSG00000160072,114.7064434,0.048348842,0.693588973,0.069708204,0.944425912,0.999515697,ATAD3B
27,ENSG00000197785,48.9273693,-1.515009515,0.915900536,-1.654120131,0.098103107,0.999515697,ATAD3A
28,ENSG00000205090,3.709710643,2.221388023,3.171359362,0.700452951,0.483644478,0.999515697,TMEM240
29,ENSG00000160075,589.8718151,-0.07295325,0.473019406,-0.154228873,0.877429278,0.999515697,SSU72
30,ENSG00000228594,12.71925653,-3.513204815,1.759046293,-1.997221352,0.045801143,0.999515697,FNDC10
31,ENSG00000197530,415.9859507,0.106044139,0.555139826,0.191022396,0.848508047,0.999515697,MIB2
32,ENSG00000248333,190.6628023,0.004448167,0.58294462,0.007630514,0.99391179,0.999515697,CDK11B
33,ENSG00000189339,586.5134998,0.165250379,0.473445004,0.349038173,0.727060651,0.999515697,SLC35E2B
34,ENSG00000008128,20.16895288,0.899361102,1.382546627,0.650510503,0.515362519,0.999515697,CDK11A
35,ENSG00000215790,93.00921781,-0.530821491,0.719810791,-0.737445864,0.460851253,0.999515697,SLC35E2A
36,ENSG00000008130,2807.873571,0.39014436,0.427991727,0.911569864,0.361995192,0.999515697,NADK
37,ENSG00000078369,1799.793076,-0.176671011,0.443354319,-0.398487177,0.690271108,0.999515697,GNB1
38,ENSG00000187730,4.129757556,2.25343317,3.32153056,0.678432165,0.497497721,0.999515697,GABRD
39,ENSG00000067606,98.62038326,0.369809917,0.711446913,0.519799735,0.603203164,0.999515697,PRKCZ
40,ENSG00000162585,124.3753398,-0.208661825,0.68574784,-0.304283605,0.760911835,0.999515697,FAAP20
41,ENSG00000157933,1114.713871,0.174655111,0.453031071,0.385525679,0.699847985,0.999515697,SKI
42,ENSG00000116151,78.34794073,0.328796234,0.817376969,0.402257766,0.687494333,0.999515697,MORN1
43,ENSG00000157916,372.1091468,0.102166745,0.504788388,0.202395197,0.839607783,0.999515697,RER1
44,ENSG00000157911,42.8432583,-1.197729544,1.031894346,-1.160709475,0.245760068,0.999515697,PEX10
45,ENSG00000149527,123.7537059,0.152455074,0.718561922,0.212166925,0.831976809,0.999515697,PLCH2
46,ENSG00000157881,309.051258,-0.576699748,0.528182138,-1.091857726,0.274895641,0.999515697,PANK4
47,ENSG00000157873,589.6969642,-0.308258787,0.471967153,-0.653136104,0.513668539,0.999515697,TNFRSF14
48,ENSG00000157870,59.62543063,-0.107765058,0.860751736,-0.125198769,0.900366192,0.999515697,PRXL2B
49,ENSG00000215912,51.62616445,0.19199094,0.885109189,0.216912153,0.828276806,0.999515697,TTC34
50,ENSG00000162591,389.0444004,0.372097182,0.501187859,0.742430558,0.457826511,0.999515697,MEGF6
51,ENSG00000158109,408.0216972,-0.155404088,0.517279939,-0.300425508,0.763852609,0.999515697,TPRG1L
52,ENSG00000116213,125.1315818,-0.086478566,0.662131773,-0.130606278,0.896086776,0.999515697,WRAP73
53,ENSG00000078900,17.31525094,-0.434677781,1.412131794,-0.307816723,0.758221796,0.999515697,TP73
54,ENSG00000235169,276.4501804,0.194588364,0.788575583,0.246759306,0.805094506,0.999515697,SMIM1
55,ENSG00000130764,218.8590127,-0.015253367,0.567069934,-0.026898565,0.978540638,0.999515697,LRRC47
56,ENSG00000116198,206.7334481,-1.195432266,0.584252589,-2.046088092,0.040747704,0.999515697,CEP104
57,ENSG00000169598,57.78334747,-1.683873692,0.888571255,-1.895035072,0.058087755,0.999515697,DFFB
58,ENSG00000198912,59.24763815,0.195192507,0.857160738,0.227719841,0.819864047,0.999515697,C1orf174
59,ENSG00000196581,6.961821883,0.831500645,2.4359963,0.341339043,0.732848359,0.999515697,AJAP1
60,ENSG00000131697,120.5875102,0.677309019,0.691767141,0.979099727,0.327530707,0.999515697,NPHP4
61,ENSG00000069424,1287.622837,-0.470145051,0.442853194,-1.061627324,0.288404904,0.999515697,KCNAB2
62,ENSG00000116254,7.838967093,1.158535822,2.51095105,0.461393233,0.644516506,0.999515697,CHD5
63,ENSG00000116251,270.9890006,-1.075438778,0.558290787,-1.926305793,0.054066202,0.999515697,RPL22
64,ENSG00000158286,15.88623822,0.85420312,1.45875124,0.585571478,0.55816352,0.999515697,RNF207
65,ENSG00000116237,84.87255586,-0.403421322,0.788702644,-0.511499899,0.609001059,0.999515697,ICMT
66,ENSG00000158292,14.94047244,0.594391796,1.549722064,0.383547353,0.701313967,0.999515697,GPR153
67,ENSG00000097021,26.64028919,-0.568203708,1.163650649,-0.488294067,0.625341563,0.999515697,ACOT7
69,ENSG00000215788,74.54200395,-0.323694724,0.780504371,-0.414725063,0.678343183,0.999515697,TNFRSF25
70,ENSG00000171680,14.49639465,-0.467113815,1.522261992,-0.306855073,0.758953686,0.999515697,PLEKHG5
71,ENSG00000162408,179.8515725,-0.22776118,0.590530969,-0.385688799,0.69972716,0.999515697,NOL9
72,ENSG00000204859,316.3248238,0.089373324,0.522947522,0.170903046,0.864300002,0.999515697,ZBTB48
73,ENSG00000162413,1304.01343,0.261681032,0.44039664,0.594193978,0.55238238,0.999515697,KLHL21
74,ENSG00000116273,65.77598986,0.132777227,0.812387648,0.163440726,0.870171439,0.999515697,PHF13
75,ENSG00000041988,38.36587847,-0.415889625,1.055742012,-0.393931113,0.693631899,0.999515697,THAP3
76,ENSG00000007923,63.75473978,-0.29600146,0.849652185,-0.348379566,0.727555146,0.999515697,DNAJC11
77,ENSG00000171735,42.41379452,0.144661383,0.959740227,0.150729728,0.880188922,0.999515697,CAMTA1
78,ENSG00000049245,217.450625,0.133751965,0.629220347,0.212567769,0.831664113,0.999515697,VAMP3
79,ENSG00000049246,28.36126451,-0.619553406,1.130380192,-0.548092943,0.583628086,0.999515697,PER3
80,ENSG00000049249,70.43396233,0.764321573,0.813574924,0.939460584,0.34749432,0.999515697,TNFRSF9
81,ENSG00000116288,165.6385185,-0.654461064,0.6885427,-0.950501783,0.341857349,0.999515697,PARK7
82,ENSG00000162426,2.775745316,-4.674630334,3.874841653,-1.206405513,0.227661171,0.999515697,SLC45A1
83,ENSG00000142599,1816.280484,0.398137357,0.437049004,0.910967313,0.362312597,0.999515697,RERE
84,ENSG00000074800,1536.430315,-0.808984238,0.503157173,-1.607816168,0.107875446,0.999515697,ENO1
85,ENSG00000131686,45.17928473,-0.247074015,0.93936872,-0.263021336,0.792534135,0.999515697,CA6
86,ENSG00000142583,28.76183167,-1.040379215,1.167322119,-0.891252893,0.372793514,0.999515697,SLC2A5
87,ENSG00000180758,78.9908918,-0.271616926,0.761246268,-0.356805593,0.721237349,0.999515697,GPR157
89,ENSG00000171621,16.85250253,0.788126319,1.471656011,0.53553705,0.592278545,0.999515697,SPSB1
90,ENSG00000171612,22.29150357,0.722908078,1.351452441,0.534911962,0.592710736,0.999515697,SLC25A33
91,ENSG00000188807,30.44809821,-1.048096379,1.108052847,-0.945890244,0.34420457,0.999515697,TMEM201
92,ENSG00000171608,3949.219251,0.205815085,0.445103887,0.46239786,0.643796034,0.999515697,PIK3CD
93,ENSG00000171603,365.4560391,-0.474422396,0.511931471,-0.926730283,0.35406659,0.999515697,CLSTN1
94,ENSG00000178585,37.95655661,-0.302308257,1.005500359,-0.300654549,0.76367793,0.999515697,CTNNBIP1
95,ENSG00000162441,54.61530353,0.093581643,0.882041773,0.106096611,0.9155057,0.999515697,LZIC
96,ENSG00000173614,59.9228343,-0.750753814,0.911443046,-0.823698,0.410111176,0.999515697,NMNAT1
97,ENSG00000162444,26.33086211,-1.113947387,1.173567406,-0.949197619,0.342520112,0.999515697,RBP7
98,ENSG00000130939,521.5889522,0.115544565,0.481774618,0.239831159,0.810461151,0.999515697,UBE4B
99,ENSG00000054523,762.6836371,0.69211417,0.464850353,1.488896728,0.136514565,0.999515697,KIF1B
100,ENSG00000142657,1412.742215,0.208766135,0.497696243,0.41946496,0.674876358,0.999515697,PGD
101,ENSG00000160049,91.12944468,-0.284989555,0.728091561,-0.39141994,0.695486856,0.999515697,DFFA
102,ENSG00000142655,79.38342026,-0.860342812,0.822286483,-1.046281107,0.295431266,0.999515697,PEX14
103,ENSG00000130940,80.82434894,-0.088711208,0.752186632,-0.117937762,0.906116973,0.999515697,CASZ1
104,ENSG00000175262,5.274063723,-0.78348209,2.40348567,-0.325977434,0.744441429,0.999515697,C1orf127
105,ENSG00000120948,143.374759,0.05802761,0.629879803,0.092124894,0.92659881,0.999515697,TARDBP
106,ENSG00000009724,28.98618294,0.624307301,1.119695833,0.557568656,0.577138965,0.999515697,MASP2
107,ENSG00000116649,67.88009539,-0.81820512,0.807952949,-1.012689069,0.311208701,0.999515697,SRM
108,ENSG00000171824,110.0790133,-0.615491818,0.693606955,-0.887378383,0.374875218,0.999515697,EXOSC10
109,ENSG00000198793,416.1542227,-0.253670808,0.496535304,-0.510881716,0.609433885,0.999515697,MTOR
110,ENSG00000171819,27.01812487,0.325463963,1.163546352,0.279717231,0.779694458,0.999515697,ANGPTL7
111,ENSG00000120942,87.57134282,-1.371587815,0.777125493,-1.764950228,0.077572131,0.999515697,UBIAD1
112,ENSG00000204624,5.700021623,1.588873589,2.624874767,0.605314055,0.544970344,0.999515697,DISP3
113,ENSG00000116661,8.568667557,2.178386157,1.989235715,1.095086993,0.273478527,0.999515697,FBXO2
114,ENSG00000132879,38.54895224,-0.624109721,1.004665002,-0.621211767,0.534460298,0.999515697,FBXO44
115,ENSG00000116663,93.33544781,-0.597286518,0.731618764,-0.816390376,0.414276899,0.999515697,FBXO6
116,ENSG00000116670,60.35220745,0.401707481,0.835007632,0.481082407,0.630457931,0.999515697,MAD2L2
117,ENSG00000162490,26.64130122,-0.210667215,1.185229805,-0.177743771,0.858924208,0.999515697,DRAXIN
118,ENSG00000177674,787.9229038,0.475875097,0.460877548,1.032541288,0.301818616,0.999515697,AGTRAP
119,ENSG00000177000,237.298684,-0.667977888,0.558567452,-1.195876857,0.231744618,0.999515697,MTHFR
120,ENSG00000011021,121.2319584,-0.128883158,0.658120942,-0.195835066,0.844739263,0.999515697,CLCN6
121,ENSG00000116685,689.9515872,-0.194152675,0.473042437,-0.410433949,0.681487647,0.999515697,KIAA2013
122,ENSG00000083444,261.694067,-0.524214801,0.563059498,-0.931011381,0.351847677,0.999515697,PLOD1
123,ENSG00000116688,1033.188797,0.220179673,0.506380734,0.434810525,0.663699964,0.999515697,MFN2
124,ENSG00000116691,221.1016407,-0.379681824,0.607007328,-0.625497925,0.53164431,0.999515697,MIIP
125,ENSG00000120949,83.01008983,-0.652366626,0.822824688,-0.792837934,0.427872252,0.999515697,TNFRSF8
126,ENSG00000028137,4031.230872,-0.228301341,0.464245968,-0.491768064,0.622883316,0.999515697,TNFRSF1B
127,ENSG00000048707,848.9242461,-0.146342743,0.453814901,-0.322472318,0.747094906,0.999515697,VPS13D
128,ENSG00000162496,86.93129608,0.123832656,0.762551515,0.162392511,0.870996768,0.999515697,DHRS3
129,ENSG00000116731,933.0722709,0.081739271,0.450638774,0.181385348,0.856065119,0.999515697,PRDM2
130,ENSG00000189337,65.27606502,1.750870943,0.902002947,1.941092265,0.052247087,0.999515697,KAZN
131,ENSG00000142621,11.9005718,-1.634896554,2.056492261,-0.794992807,0.426617687,0.999515697,FHAD1
132,ENSG00000142634,3482.636732,-0.163266695,0.437019996,-0.373590904,0.708708703,0.999515697,EFHD2
133,ENSG00000132906,114.0308365,-0.562320728,0.681982554,-0.824538289,0.409633769,0.999515697,CASP9
134,ENSG00000116138,104.5568532,0.086460782,0.722535692,0.119662991,0.904750119,0.999515697,DNAJC16
135,ENSG00000116771,22.56906634,0.901038329,1.252727607,0.719261174,0.471980013,0.999515697,AGMAT
136,ENSG00000197312,237.9439077,-0.255184381,0.554105736,-0.460533728,0.645133168,0.999515697,DDI2
137,ENSG00000116786,370.3632504,-0.201572376,0.508548507,-0.396368041,0.691833539,0.999515697,PLEKHM2
138,ENSG00000162461,6.919193578,0.666566022,2.127654932,0.313286714,0.754062843,0.999515697,SLC25A34
139,ENSG00000065526,1260.103238,0.04789301,0.447259468,0.107081042,0.914724687,0.999515697,SPEN
140,ENSG00000116809,225.0928532,-0.092094549,0.561790941,-0.163930284,0.869786026,0.999515697,ZBTB17
141,ENSG00000173641,6.10698141,-1.431723289,2.69776439,-0.530707312,0.595621618,0.999515697,HSPB7
142,ENSG00000184908,4.61352711,3.82657422,3.470854815,1.10248755,0.270249768,0.999515697,CLCNKB
143,ENSG00000142632,11.84415997,3.023076303,1.796217666,1.683023367,0.092370568,0.999515697,ARHGEF19
144,ENSG00000132881,17.0046038,-2.288032054,1.466876512,-1.559798685,0.118807462,0.999515697,CPLANE2
145,ENSG00000037637,214.7718898,-0.302855055,0.592287404,-0.511331244,0.609119131,0.999515697,FBXO42
146,ENSG00000055070,308.1172546,-0.597678894,0.546040869,-1.094568057,0.273705916,0.999515697,SZRD1
147,ENSG00000187144,28.06880957,1.077438336,1.207171082,0.892531599,0.372108064,0.999515697,SPATA21
148,ENSG00000157191,473.1386406,-0.420575634,0.486844169,-0.863881425,0.387653032,0.999515697,NECAP2
149,ENSG00000219481,90.93945566,-0.418581791,0.722881403,-0.579046285,0.562557943,0.999515697,NBPF1
150,ENSG00000058453,180.8980047,-0.773679908,0.589447356,-1.312551324,0.189334181,0.999515697,CROCC
151,ENSG00000159363,165.2182781,-0.982662524,0.641261194,-1.532390442,0.125426115,0.999515697,ATP13A2
152,ENSG00000117118,124.7986966,0.210387357,0.659296568,0.31910883,0.749643988,0.999515697,SDHB
153,ENSG00000117115,2262.820387,0.148897435,0.511693169,0.290989686,0.771059208,0.999515697,PADI2
154,ENSG00000159339,668.6933547,0.383490305,0.483761426,0.792726093,0.427937424,0.999515697,PADI4
155,ENSG00000179051,321.9429102,-0.661055441,0.54102829,-1.221850046,0.221764339,0.999515697,RCC2
156,ENSG00000074964,184.5578554,-0.888363574,0.872228117,-1.018499125,0.308440816,0.999515697,ARHGEF10L
157,ENSG00000159423,8.44270408,2.625418135,2.330915751,1.126346216,0.260019003,0.999515697,ALDH4A1
158,ENSG00000169991,97.18384335,-0.650193585,0.712603826,-0.912419441,0.361547959,0.999515697,IFFO2
159,ENSG00000127481,1821.875542,-0.011870219,0.440110853,-0.026970976,0.978482883,0.999515697,UBR4
160,ENSG00000127463,185.8732388,-0.170019172,0.5851818,-0.290540772,0.771402564,0.999515697,EMC1
161,ENSG00000053372,37.67808443,0.502434843,1.009497107,0.497708056,0.618689829,0.999515697,MRTO4
162,ENSG00000053371,62.97629858,-1.262747311,0.926205076,-1.363356068,0.172770319,0.999515697,AKR7A2
163,ENSG00000040487,49.03512519,-0.091819443,0.978097828,-0.093875521,0.92520804,0.999515697,PQLC2
164,ENSG00000077549,1494.144236,-0.146127383,0.439627694,-0.332388939,0.73959559,0.999515697,CAPZB
165,ENSG00000173436,42.91302002,0.227572925,0.951749358,0.239110143,0.811020177,0.999515697,MINOS1
166,ENSG00000162542,117.6310592,-0.9442754,0.720558781,-1.310476571,0.190034665,0.999515697,TMCO4
167,ENSG00000169914,53.56928311,-0.32253585,0.895697401,-0.360094659,0.718776347,0.999515697,OTUD3
168,ENSG00000162543,15.77425853,0.840798523,1.48698338,0.565439086,0.571775146,0.999515697,UBXN10
169,ENSG00000090432,119.731705,-0.668576425,0.705822899,-0.947229717,0.343521736,0.999515697,MUL1
170,ENSG00000158825,437.2545757,-0.058011625,0.634137717,-0.091481114,0.927110312,0.999515697,CDA
171,ENSG00000158828,408.8454587,-0.093335846,0.507246217,-0.184005012,0.854009523,0.999515697,PINK1
172,ENSG00000244038,343.2480684,-0.531916387,0.515271768,-1.032302602,0.301930383,0.999515697,DDOST
173,ENSG00000127483,714.2583988,-0.099156256,0.462489184,-0.214396919,0.830237544,0.999515697,HP1BP3
174,ENSG00000075151,412.2727072,0.480825667,0.503634842,0.954710888,0.339723922,0.999515697,EIF4G3
175,ENSG00000117298,1924.880558,-0.198312664,0.472692189,-0.419538696,0.67482248,0.999515697,ECE1
176,ENSG00000142794,43.78502486,-0.149396626,0.965779037,-0.154690276,0.877065496,0.999515697,NBPF3
177,ENSG00000162551,3466.307512,0.736982332,0.552789664,1.333205703,0.182464308,0.999515697,ALPL
178,ENSG00000076864,584.2275617,-2.120121607,1.788441273,-1.185457772,0.235836501,0.999515697,RAP1GAP
179,ENSG00000090686,398.2348556,0.414818408,0.499012487,0.831278613,0.405816254,0.999515697,USP48
180,ENSG00000142798,38.24562119,0.079124484,1.14692119,0.068988597,0.944998696,0.999515697,HSPG2
181,ENSG00000070831,1323.868981,0.038742949,0.439067402,0.088239183,0.929686576,0.999515697,CDC42
182,ENSG00000162552,89.49639519,1.069120054,0.755818988,1.414518649,0.157209676,0.999515697,WNT4
183,ENSG00000184677,217.847616,-0.484577703,0.568934207,-0.851728894,0.39436458,0.999515697,ZBTB40
184,ENSG00000070886,4.283989459,3.759799166,3.576935363,1.051123038,0.293202084,0.999515697,EPHA8
185,ENSG00000173372,7.026244003,-0.662040736,2.124351444,-0.311643696,0.755311322,0.999515697,C1QA
186,ENSG00000159189,6.307195231,0.984894616,2.268504305,0.434160347,0.664172006,0.999515697,C1QC
187,ENSG00000173369,6.882643302,-1.895413691,2.467146048,-0.768261649,0.442331754,0.999515697,C1QB
188,ENSG00000133216,16.30604373,-1.835659024,1.469303302,-1.249339753,0.211540834,0.999515697,EPHB2
189,ENSG00000004487,139.7976476,-0.490995691,0.669181708,-0.733725511,0.463116047,0.999515697,KDM1A
190,ENSG00000169641,112.0270782,0.071986038,0.674837846,0.106671608,0.915049508,0.999515697,LUZP1
191,ENSG00000125944,298.8522223,-0.253739975,0.52797364,-0.480592128,0.630806411,0.999515697,HNRNPR
192,ENSG00000125945,27.02482902,0.144126535,1.166844773,0.123518173,0.901696784,0.999515697,ZNF436
193,ENSG00000204219,14.35998077,0.324466417,1.65935667,0.195537477,0.844972201,0.999515697,TCEA3
194,ENSG00000088280,8.542853007,2.465555484,2.215026988,1.113104037,0.26566375,0.999515697,ASAP3
195,ENSG00000007968,1464.429858,1.095447001,0.639949725,1.711770407,0.086938988,0.999515697,E2F2
196,ENSG00000117318,33.31793697,0.370355386,1.054559618,0.351194356,0.725442544,0.999515697,ID3
197,ENSG00000142676,300.8621177,-0.694582028,0.527651762,-1.316364463,0.188051744,0.999515697,RPL11
198,ENSG00000011007,128.3204939,-0.051866704,0.662698868,-0.078265871,0.937616565,0.999515697,ELOA
199,ENSG00000057757,1269.05723,0.19368442,0.581690069,0.332968414,0.739158126,0.999515697,PITHD1
200,ENSG00000011009,191.6202738,-0.404254987,0.580396187,-0.69651558,0.486106003,0.999515697,LYPLA2
201,ENSG00000117308,38.3316181,1.0152968,1.045246575,0.971346689,0.331375666,0.999515697,GALE
202,ENSG00000117305,99.22917233,-0.407694224,0.70926015,-0.574816199,0.56541561,0.999515697,HMGCL
203,ENSG00000179163,100.4609605,-0.866026583,0.709491229,-1.220630429,0.22222598,0.999515697,FUCA1
204,ENSG00000188822,59.53089772,-0.5870605,0.914491845,-0.64195269,0.520903902,0.999515697,CNR2
205,ENSG00000189266,288.5284319,-0.360680833,0.529554922,-0.681101842,0.495807052,0.999515697,PNRC2
206,ENSG00000188529,296.3887838,-0.005578683,0.528867076,-0.010548365,0.991583778,0.999515697,SRSF10
207,ENSG00000142661,4.283989459,3.759799166,3.576935363,1.051123038,0.293202084,0.999515697,MYOM3
208,ENSG00000142677,3.954451808,3.688547931,3.696261265,0.997913206,0.318321448,0.999515697,IL22RA1
209,ENSG00000185436,17.96766205,-0.026392075,1.380537015,-0.019117253,0.984747568,0.999515697,IFNLR1
210,ENSG00000001460,19.19703832,-0.508048827,1.401955916,-0.362385737,0.717063797,0.999515697,STPG1
